,index,sentence,lambda,raw_aspect,sentiment,aspect,target
93,93,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . ","CC(is_VB_N_0(\X.get_VB_N_0(X,you_PRP_N_0),\X.lcd_NN_N_0(\X.see_VB_N_0(X),X,you_PRP_N_0)),has_VB_N_0(canon_VB_N_0(great+colorimetry_NN_N_0),camera_NN_N_0))",[],[],[],canera[+2]
94,94,the prints are beautiful ! ,"seq(beautiful_JJ_P_1,prints_NNS_N_0)",[],[],[],print[+2]
95,95,and you get about 120 images on a 256mb card at highest quality . ,"CC(highest+quality_NN_N_0(256mb+card_NN_N_0(get_VB_N_0(images_NNS_N_0)),you_PRP_N_0))",[],[],[],
96,96,"i tried out some other brands in the stores , and was disappointed by the battery life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected . ","CC(disappointed_VB_Ne_1(CC(\X.lcd_NN_N_0(is_VB_N_0(\X.CC(color_NN_N_0,output_NN_N_0,\X.get_VB_N_0(X),X,you_PRP_N_0),optical+finder_NN_N_0),\X.see_VB_N_0(X),X,you_PRP_N_0),CC(other+company_NN_N_0,battery+life_NN_N_0))),stores_NNS_N_0(tried_VB_N_0(seq(other_JJ_N_0,brands_NNS_N_0))),i_LS_N_0)",[],[],[],
97,97,"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon . ","CC(want_VB_N_0(more+power_NN_N_0,you_PRP_N_0,amazon_NN_N_0(find_VB_N_0(knockoff_NN_N_0(CC(seq(charger_NN_N_0,batteries_NNS_N_0)))),you_PRP_N_0)),CC(canon_NN_Ne_1,batteries_NNS_Ne_1,CC(camera_NN_N_0,recharge_NN_N_0,last_VB_N_0(seq(long_JJ_N_0,time_NN_N_0),they_PRP_N_0))))",['canon_NN_Ne_1'],[0],['canon'],battery[+1]
98,98,this is a great camera for you ! ,"is_VB_N_0(seq(you_PRP_N_0,great+camera_NN_N_0))",[],[],[],camera[+2]
99,99,"the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use . ","CC(has_VB_N_0(novice_NN_P_2(\X.use_VB_N_0(X),auto+mode_NN_N_0)),gives_VB_N_0(CC(photo_NN_N_0,buffs_NNS_N_0,control_NN_N_0,tons_NNS_N_0)),canon+g3_NN_N_0)",['novice_NN_P_2'],[1],['novice'],"control[+2],auto mode[+2]"
100,100,i can hand this to anyone and know they will take some great photos ! ,"CC(know_VB_N_0(take_VB_N_0(seq(anyone_NN_P_1,photos_NNS_N_0),they_PRP_N_0)),i_LS_N_0)",['anyone_NN_P_1'],[1],['anyone'],
101,101,"i love having the option to manually control the f-stop , shutter speed and even focus . ","love_NN_P_1(having_VB_N_0(CC(\X.focus_VB_N_0(X),control_VB_N_0(fstop+shutter+speed_NN_N_0),option_NN_N_0)),i_LS_N_0)",['love_NN_P_1'],[1],['love'],control[+2]
102,102,"i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers . ","CC(got_VB_N_0(playing_VB_N_0(sparklers_NNS_N_0,kids_NNS_N_0,seq(photos_NNS_P_1,shots_NNS_N_0))),i_LS_N_0)",[],[],[],photo[+3]
103,103,warning - i did read the manual ! ,"warning_VB_Ne_1(did_VB_N_0(read_VB_N_0(manual_NN_N_0),i_FW_N_0))",[],[],[],
104,104,"but if you 've used a slr 35mm camera , the controls are very intuitive ! ","CC(ve_VB_N_0(used_VB_N_0(CC(slr_NN_N_0,35mm+camera_NN_N_0)),you_PRP_N_0,the_NN_N_0))",[],[],[],control[+2]
105,105,once i read the manual i was able to point and shoot without having to fumble around trying to figure out where the controls are located . ,"having_VB_N_0(fumble_VB_Ne_1(trying_VB_N_0(figure_VB_N_0(controls_NNS_N_0))),CC(shoot_NN_N_0,point_NN_N_0),i_FW_N_0)",[],[],[],
106,106,"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality . ","CC(dial_NN_N_0,quick+spin_NN_N_0,select_VB_N_0(CC(CC(seq(camera_NN_P_1,photo+quality_NN_N_0),\X.selects_VB_N_0(X),full+program+mode_NN_N_0),focal+length_NN_N_0,speed_NN_N_0(CC(subjects_NNS_N_0,aperture+priority_NN_N_0),shutter+priority_NN_N_0)),you_PRP_N_0))",['camera_NN_P_1'],[1],['camera'],dial[+1]
107,107,the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options . ,"having_VB_N_0(CC(menu_NN_P_1,options_NNS_P_1,\X.fumble_VB_Ne_1(X)),CC(aperture_NN_P_1,speed_NN_P_1),selection_NN_P_1,fast+access_NN_P_1,\X.use_VB_N_0(X),manual+mode_NN_N_0)","['menu_NN_P_1', 'aperture_NN_P_1', 'speed_NN_P_1', 'selection_NN_P_1', 'fast+access_NN_P_1']","[1, 1, 1, 1, 1]","['menu', 'aperture', 'speed', 'selection', 'fast access']",manual mode[+2]
108,108,it does n't do you any good if a camera has all the features but you can 't access them quickly when you need them ! ,"CC(t_NN_N_0(need_VB_N_0(them_PRP_N_0,you_PRP_N_0,seq(access_NN_N_0,them_PRP_N_0)),you_PRP_N_0),has_VB_N_0(features_NNS_N_0,camera_NN_N_0,good_JJ_P_1(do_VB_N_0(you_PRP_N_0)),it_PRP_N_0))",[],[],[],
109,109,this camera also has a great feel and weight to it . ,"has_VB_N_0(it_PRP_N_0(CC(weight_NN_P_1,feel_NN_P_1)),camera_NN_N_0)","['weight_NN_P_1', 'feel_NN_P_1']","[1, 1]","['weight', 'feel']","feel[+2],weight[+2]"
110,110,"you feel like you are holding something of substance , not some cheap plastic toy . ","feel_VB_N_0(are_VB_N_0(cheap+plastic+toy_NN_N_0(holding_VB_N_0(CC(substance_NN_N_0,something_NN_N_0))),you_PRP_N_0),you_PRP_N_0)",[],[],[],feel[+2]
111,111,"the more i work with it , the more i love it ! ","seq(it_PRP_N_0,work_NN_P_1,i_FW_N_0,love_VB_P_1(it_PRP_N_0,i_FW_N_0))",['work_NN_P_1'],[1],['work'],camera[+2][p]
112,112,i would recomend that you purchase a lexar media cf for the camera as the sandisk card that comes packaged is too small and too slow ! ,"recomend_VB_P_1(CC(sandisk+card_NN_Ne_2,sandisk+card_NN_N_0,camera_NN_N_0(purchase_VB_N_0(seq(lexar_JJ_N_0,media+cf_NN_N_0))),you_PRP_N_0),i_LS_N_0)",['sandisk+card_NN_Ne_2'],[0],['sandisk card'],
113,113,i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! ,"think_VB_N_0(find_VB_N_0(am_VB_N_0(purchase_NN_N_0(\X.thrilled_VB_P_1(X)),use_NN_N_0,i_FW_N_0,CC(ease_NN_P_1,quality_NN_N_0)),i_FW_N_0),i_LS_N_0)",['ease_NN_P_1'],[1],['ease'],camera[+3][u]
114,114,"this is my first digital camera , and i am very pleased with it . ","CC(seq(digital+camera_NN_P_1,it_PRP_N_0,i_FW_N_0))",['digital+camera_NN_P_1'],[1],['digital camera'],camera[+3]
115,115,"i do not know a whole lot about photography , but i am happy to know that this camera can always perform , even as i grow in skill and knowledge . ","CC(know_VB_N_0(CC(knowledge_NN_P_1,skill_NN_P_1,\X.grow_VB_N_0(X),i_FW_N_0,\X.perform_VB_N_0(X),camera_NN_P_1),i_FW_N_0),know_VB_N_0(CC(photography_NN_N_0,whole+lot_NN_N_0),i_LS_N_0))","['knowledge_NN_P_1', 'skill_NN_P_1', 'camera_NN_P_1']","[1, 1, 1]","['knowledge', 'skill', 'camera']",
116,116,"seriously , this thing has everything that a pro or expert amateur could want . ","has_VB_N_0(\X.want_VB_N_0(X,CC(CC(everything_NN_N_0,everything_NN_N_0),everything_NN_N_0)),thing_NN_N_0)",[],[],[],camera[+2][u]
117,117,"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it ! ","CC(same+time_NN_N_0(use_VB_N_0(it_PRP_N_0,seq(me_PRP_N_0,average+joe_NN_N_0),auto+mode_NN_N_0(takes_VB_N_0(seq(wonderful_JJ_P_1,pictures_NNS_N_0))),it_PRP_N_0)))",[],[],[],"picture[+2], auto mode[+2]"
118,118,four megapixels is great . ,"seq(great_JJ_P_1,megapixels_NNS_N_0)",[],[],[],four megapixel[+1]
119,119,"i know there are five mp cameras out there , but this thing does just fine for me . ","CC(thing_NN_P_1,know_VB_N_0(are_VB_N_0(CC(mp_NN_N_0,cameras_NNS_N_0)),i_FW_N_0))",['thing_NN_P_1'],[1],['thing'],
120,120,"if you want , check out the canon website and they have some sample images , taken by this camera , for you to download . ","CC(you_PRP_N_0(\X.download_VB_N_0(X),have_VB_N_0(camera_NN_N_0(\X.taken_VB_N_0(X),CC(sample_NN_N_0,images_NNS_N_0))),they_PRP_N_0),want_VB_N_0(check_VB_N_0(canon+website_NN_N_0),you_PRP_N_0))",[],[],[],
121,121,"if you are looking for a very simple point and shoot camera , this is probably not what you are looking for . ","are_VB_N_0(looking_VB_N_0(CC(shoot+camera_NN_N_0,seq(simple_JJ_N_0,point_NN_N_0))),you_PRP_N_0,is_VB_N_0(\X.are_VB_N_0(\X.looking_VB_N_0(X),X,you_PRP_N_0)))",[],[],[],
122,122,"if you are looking for an outstanding camera that can take you from simple to complex , this is it . ","are_VB_N_0(looking_VB_N_0(outstanding+camera_NN_N_0),you_PRP_N_0,is_VB_N_0(it_PRP_N_0))",[],[],[],
123,123,it is a very amazing product . ,"is_VB_N_0(seq(amazing_JJ_P_2,product_NN_N_0),it_PRP_N_0)",[],[],[],product[+3][u]
124,124,i highly recommend it . ,"recommend_VB_P_1(it_PRP_N_0,i_LS_N_0)",[],[],[],camera[+3][p]
125,125,just received this camera two days ago and already love the features it has . ,"CC(love_VB_P_1(has_VB_N_0(features_NNS_N_0,it_PRP_N_0)),days_NNS_N_0(received_VB_N_0(camera_NN_N_0)),just_RB_N_N_0)",[],[],[],feature[+2]
126,126,takes excellent photos . ,"takes_VB_N_0(seq(excellent_JJ_P_1,photos_NNS_N_0))",[],[],[],photo[+2]
127,127,night mode is clear as day . ,night+mode_NN_P_1,['night+mode_NN_P_1'],[1],['night mode'],night mode[+2]
128,128,"i have not played with all the features yet , but the camera is easy to use once you get used to it . ","CC(camera_NN_P_1,played_VB_N_0(features_NNS_N_0,i_LS_N_0))",['camera_NN_P_1'],[1],['camera'],use[+1][u]
129,129,the only drawback is the viewfinder is slightly blocked by the lens . ,"is_VB_N_0(is_VB_N_0(lens_NN_N_0(\X.blocked_VB_N_0(X)),viewfinder_NN_N_0),only+drawback_NN_N_0)",[],[],[],viewfinder[-1]
130,130,"however , using the lcd seems to eliminate this minor problem . ","seems_VB_N_0(eliminate_VB_N_0(minor+problem_NN_N_0),using_VB_N_0(lcd_NN_N_0))",[],[],[],
131,131,overall it is the best camera on the market . ,"is_VB_N_0(CC(market_NN_N_0,best+camera_NN_N_0),it_PRP_N_0)",[],[],[],camera[+3]
132,132,i give it 10 stars ! ,"give_VB_N_0(it_PRP_N_0,stars_NNS_N_0,i_LS_N_0)",[],[],[],
133,133,this camera has significantly more noise at iso 100 than the nikon 4500 . ,"has_VB_N_0(noise_NN_N_0,camera_NN_N_0)",[],[],[],
134,134,i just bought the camera a few days ago . ,"bought_VB_N_0(camera_NN_N_0,i_LS_N_0)",[],[],[],
135,135,"before i "" get used to it "" , here are my first feelings : ","get_VB_N_0(used_VB_N_0(it_PRP_N_0),i_FW_N_0,are_VB_N_0(seq(first_JJ_N_0,feelings_NNS_N_0)))",[],[],[],
136,136,"a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) ) ","one_PRP_N_0(time_NN_N_0(eat_VB_N_0(CC(rice_NN_N_0,one+grain_NN_N_0))),eliminated_VB_N_0(CC(digital+imaging_NN_P_2,doubt_NN_P_2),it_PRP_N_0,focusing_VB_N_0(picture_NN_N_0(quality_NN_N_0(CC(sharpness_NN_N_0,color_NN_N_0))))))","['digital+imaging_NN_P_2', 'doubt_NN_P_2']","[1, 1]","['digital imaging', 'doubt']",picture quality[+3]
137,137,"b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage . ","CC(cause_VB_N_0(potential+damage_NN_Ne_1),fingerprinted_VB_N_0(CC(CC(tigt_NN_Ne_1,au+lens_NN_Ne_1),len_NN_Ne_1)),i_FW_N_0)","['potential+damage_NN_Ne_1', 'tigt_NN_Ne_1', 'au+lens_NN_Ne_1', 'len_NN_Ne_1']","[0, 0, 0, 0]","['potential damage', 'tigt', 'au lens', 'len']",lens cover[-2]
138,138,i wish canon would work out some way for that issue . ,"wish_NN_N_0(issue_NN_Ne_1(work_VB_P_1(way_NN_N_0),canon_NN_N_0),i_LS_N_0)",['issue_NN_Ne_1'],[0],['issue'],
139,139,"the zooming lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy . ",zooming+lever_NN_Ne_1,['zooming+lever_NN_Ne_1'],[0],['zooming lever'],zooming lever[-2]
140,140,i bought this last week through amazon . ,"amazon_NN_N_0(bought_VB_N_0(last+week_NN_N_0),i_LS_N_0)",[],[],[],
141,141,got a great deal from a reputable seller . ,"got_VB_N_0(CC(reputable+seller_NN_N_0,great+deal_NN_N_0))",[],[],[],
142,142,i love this camera . ,"CC(love_NN_P_1,camera_NN_N_0,i_LS_N_0)",['love_NN_P_1'],[1],['love'],camera[+2]
143,143,i am still trying to figure out the may options it has . ,"trying_VB_N_0(figure_VB_N_0(has_VB_N_0(options_NNS_N_0,it_PRP_N_0)),i_FW_N_0)",[],[],[],
144,144,took hundreds of pictures and they were great . ,"CC(seq(hundreds_NNS_P_1,they_PRP_N_0))",[],[],[],picture[+2]
145,145,"great colors , pictures and white balance . ","CC(white+balance_NN_N_0,CC(colors_NNS_P_1,pictures_NNS_P_1))",[],[],[],"color[+2],picture[+2],white balance[+2]"
146,146,has 4x optical zoom which is higher than any other in the same price range . ,"has_VB_N_0(CC(4x_NN_N_0,optical+zoom_NN_N_0))",[],[],[],optical zoom[+1]
147,147,it is generally overpriced a little bit but you get what you are paying for . ,"CC(get_VB_N_0(\X.are_VB_N_0(\X.paying_VB_N_0(X),X,you_PRP_N_0),you_PRP_N_0),little+bit_NN_N_0(\X.overpriced_VB_Ne_1(X),it_PRP_N_0))",[],[],[],
148,148,"maybe it is my lack of experience , but i found shots with this camera very disappointing . ","CC(CC(camera_NN_N_0,shots_NNS_N_0,lack_NN_Ne_2,i_FW_N_0))",['lack_NN_Ne_2'],[0],['lack'],picture[-3][u]
149,149,it was ( i sold it after a few months ) too expensive for the shots that i got . ,"was_VB_N_0(got_VB_N_0(shots_NNS_N_0,i_FW_N_0,seq(few_JJ_N_0,months_NNS_Ne_2,sold_VB_N_0(it_PRP_N_0)),i_FW_N_0),it_PRP_N_0)",[],[],[],price[-3][u]
150,150,"sure it had all the features , but when i tried to shoot a girl 's basketball game it just wan't up to the task . ","CC(tried_VB_N_0(shoot_VB_N_0(girl+basketball+game_NN_N_0),i_FW_N_0,task_NN_N_0(\X.wanot_VB_N_0(X),it_PRP_N_0)),had_VB_N_0(features_NNS_N_0,it_PRP_N_0))",[],[],[],camera[-2][u]
151,151,i do n't think i was asking too much . ,"think_VB_N_0(was_VB_N_0(asking_VB_N_0(much_RB_N_N_0),i_FW_N_0),i_LS_N_0)",[],[],[],
152,152,any film zoom p and s would have given superior results with a minimal effort . ,"film_NN_P_1(zoom_NN_P_1(CC(s_NNS_P_1,p_NN_P_1)))","['film_NN_P_1', 'zoom_NN_P_1', 'p_NN_P_1']","[1, 1, 1]","['film', 'zoom', 'p']",
153,153,and with the 500 you save you could print the results for the life of the camera . ,"CC(save_VB_N_0(print_VB_N_0(CC(camera_NN_N_0,life_NN_N_0,results_NNS_N_0),you_PRP_N_0),you_PRP_N_0))",[],[],[],
154,154,i found that low light situations combined with any sort of action left this camera in the dust . ,"found_VB_N_0(dust_NN_Ne_1(left_VB_N_0(camera_NN_N_0),combined_VB_N_0(CC(action_NN_N_0,sort_NN_N_0),seq(light_JJ_N_0,situations_NNS_N_0))),i_LS_N_0)",['dust_NN_Ne_1'],[0],['dust'],camera[-3]
155,155,i wanted it to shoot concerts as well . ,"wanted_VB_N_0(it_PRP_N_0,shoot_VB_N_0(concerts_NNS_N_0),i_LS_N_0)",[],[],[],
156,156,that meant even less light and just as much action . ,"meant_VB_N_0(CC(seq(much_JJ_N_0,action_NN_N_0),light_JJ_N_0))",[],[],[],
157,157,"sure , i adjusted the film speed to 400 . ","adjusted_VB_N_0(film+speed_NN_N_0,i_FW_N_0)",[],[],[],
158,158,the grain was terrible . ,"seq(terrible_JJ_Ne_1,grain_NN_N_0)",[],[],[],grain[-3]
159,159,next time i set it at 100 and used the flash . ,"CC(used_VB_N_0(flash_NN_N_0),set_VB_N_0(it_PRP_N_0),i_FW_N_0)",[],[],[],
160,160,"well flash photos are never great , and there was still a lot of noise . ","CC(was_VB_N_0(CC(noise_NN_Ne_1,lot_NN_N_0)),CC(flash_NN_P_1,photos_NNS_P_1))","['flash_NN_P_1', 'noise_NN_Ne_1']","[1, 0]","['flash', 'noise']","flash photo[-3],noise[-2]"
161,161,"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome . ","CC(moving_VB_N_0(objects_NNS_N_0),CC(light_NN_N_0,plenty_NN_N_0,took_VB_N_0(seq(photos_NNS_N_0,photos_NNS_N_0)),i_FW_N_0))",[],[],[],photo[+3]
162,162,the camera was a marvel . ,"was_VB_N_0(\X.marvel_VB_P_1(X),camera_NN_N_0)",[],[],[],camera[+1]
163,163,getting the printer to help output them was another tale . ,"was_VB_N_0(tale_NN_N_0,getting_VB_N_0(printer_NN_N_0,help_VB_N_0(seq(output_NN_N_0,them_PRP_N_0))))",[],[],[],
164,164,overall i think that you need to consider what you wan't to do . ,"overall_JJ_N_0(think_VB_N_0(need_VB_N_0(consider_VB_N_0(\X.wanot_VB_N_0(\X.do_VB_N_0(X),X,you_PRP_N_0)),you_PRP_N_0),i_FW_N_0))",[],[],[],
165,165,"for simple point and shoot photography , consider a cheaper digital . ","consider_VB_N_0(CC(simple+point_NN_P_1,simple+point_NN_N_0))",['simple+point_NN_P_1'],[1],['simple point'],
166,166,you do n't need the extra resolution or the cost . ,"need_VB_N_0(CC(cost_NN_N_0,extra+resolution_NN_N_0),you_PRP_N_0)",[],[],[],
167,167,then again a one time use camera may do just as well . ,"use_NN_N_0(do_VB_N_0(camera_NN_N_0),one+time_NN_N_0)",[],[],[],
168,168,"if you shoot in lots of light and desire high quality , this will be your camera . ","CC(CC(desire_NN_N_0,high+quality_NN_N_0),CC(light_NN_N_0,lots_NNS_N_0,\X.shoot_VB_N_0(X)),you_PRP_N_0,be_VB_N_0(camera_NN_N_0))",[],[],[],
169,169,it is versatile and seems to be one of the best . ,"CC(seems_VB_N_0(be_VB_N_0(best_JJ_P_1)),versatile_JJ_P_1,it_PRP_N_0)",[],[],[],camera[+3][p]
170,170,"me , i am going with a leica minilux ( the g3 was replacing mine which was stolen ) . ","was_VB_N_0(replacing_VB_N_0(was_VB_N_0(\X.stolen_VB_Ne_1(X),mine_NN_N_0)),am_VB_N_0(CC(g3_NN_N_0,leica+minilux_NN_N_0,\X.going_VB_N_0(X)),me_PRP_N_0,i_FW_N_0))",[],[],[],
171,171,sure . ,fail_RB_N_Ne_1,[],[],[],
172,172,"it is less versatile , but i am never disappointed with the output . ","CC(disappointed_VB_Ne_1(output_NN_N_0,i_FW_N_0),seq(versatile_JJ_P_1,it_PRP_N_0))",[],[],[],
173,173,"i am a long-time user of highly responsive film slrs and professional quality external flash equipment , just so you know my bias . ","know_VB_N_0(bias_NN_Ne_1,you_PRP_N_0,am_VB_N_0(CC(CC(quality_NN_N_0,external+flash+equipment_NN_N_0),CC(film_NN_P_2,slrs_NNS_P_2),longtime+user_NN_N_0)),i_LS_N_0)","['film_NN_P_2', 'bias_NN_Ne_1']","[1, 0]","['film', 'bias']",
174,174,"i have been watching the development of digicams for years , waiting to make my first move . ","have_VB_N_0(been_VB_N_0(waiting_VB_N_0(make_VB_N_0(first+move_NN_N_0),years_NNS_N_0,watching_VB_N_0(CC(digicams_NNS_N_0,development_NN_N_0)))),i_LS_N_0)",[],[],[],
175,175,"what i really want is a $ 1,500 digital slr with a full frame sensor that will take my nikon lenses . ","is_VB_N_0(take_VB_N_0(CC(nikon_NN_N_0,lenses_NNS_N_0),full+frame+sensor_NN_N_0,digital+slr_NN_N_0),\X.want_VB_N_0(X,i_FW_N_0))",[],[],[],
176,176,"i figure that is at least three years off , and i am getting impatient . ","CC(am_VB_N_0(getting_VB_N_0(years_NNS_Ne_1),i_FW_N_0))",[],[],[],
177,177,hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations . ,"have_VB_N_0(features_NNS_N_0,pointandshoot+digicam_NN_N_0,decided_VB_N_0(\X.spring_VB_N_0(X)),i_FW_N_0)",[],[],[],
178,178,"i chose the g3 because of its reputation for very high quality , clean images . ","reputation_NN_P_1(chose_VB_N_0(g3_NN_N_0),i_LS_N_0)",['reputation_NN_P_1'],[1],['reputation'],g3[+1]
179,179,"the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash . ","are_VB_N_0(CC(builtin+flash_NN_N_0(seq(bright+light_NN_Ne_1,light+quality_NN_N_0)),\X.focuslocks_VB_N_0(X),it_PRP_N_0,seq(limitations_NNS_N_0,lag+time_NN_N_0)))",['bright+light_NN_Ne_1'],[0],['bright light'],"lag time[-2],flash[-2]"
180,180,"as of this writing , technology has not solved the focus-lock lag time problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film slr . ","CC(used_VB_N_0(modern+film+slr_NN_N_0,is_VB_N_0(satisfied_VB_P_1(it_PRP_N_0),anyone_NN_N_0)),solved_VB_N_0(CC(pointandshoot_NN_N_0,digicams_NNS_N_0,CC(focuslock_NN_N_0,lag+time+problem_NN_N_0)),writing+technology_NN_N_0))",[],[],[],
181,181,"at least once youve got focus lock , the shutter release lag time for the g3 is about 1/10 of a second , which from what ive read , is better than just about anything else available . ","got_VB_N_0(focus_NN_N_0,CC(lock_NN_N_0,shutter+release_NN_N_0),youve_NN_N_0,CC(g3_NN_P_1,lag+time_NN_P_1))","['g3_NN_P_1', 'lag+time_NN_P_1']","[1, 1]","['g3', 'lag time']",
182,182,what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . ,"CC(f8_NN_N_0(shoot_VB_N_0(digicams_NNS_N_0)),is_VB_N_0(CC(field_NN_P_1,extreme+depth_NN_P_1)),makes_VB_N_0(focuslock+lag+time_NN_N_0,live_VB_N_0(something_NN_N_0,i_FW_N_0)))","['field_NN_P_1', 'extreme+depth_NN_P_1']","[1, 1]","['field', 'extreme depth']",depth[+1]
183,183,"once i get focus lock , i can then wait until my restless subject ( a pet or a child ) strikes an amusing pose and then fire the shutter with some reasonable probability of getting my subject still in focus . ","CC(getting_VB_N_0(subject_NN_N_0,focus_NN_N_0,reasonable+probability_NN_N_0,fire_VB_N_0(shutter_NN_N_0)),strikes_VB_N_0(restless+subject_NN_N_0(\X.pose_VB_N_0(X))),\X.wait_VB_N_0(X),i_FW_N_0)",[],[],[],
184,184,now what about the flash problem ? ,flash+problem_NN_N_0,[],[],[],
185,185,"relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots . ","nikon+slr_NN_N_0(external+flash_NN_N_0(\X.achieve_VB_N_0(X)),CC(g3_NN_N_0,internal+flash_NN_N_0),i_FW_N_0)",[],[],[],flash[-2]
186,186,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 . ","CC(me_PRP_N_0(owned_VB_N_0(ct4_NN_N_0(buy_VB_N_0(metz_NN_N_0),quality_NN_N_0(seq(g3_NN_N_0,flashes_NNS_N_0)),money_NN_N_0),i_FW_N_0)))",[],[],[],external flash hot shoe[+1]
187,187,"i cant use my nikon external flash on a canon camera , but i can use my metz , with the proper metz module and extension cord connected between the g3 and the 60 ct-4 . ","CC(use_VB_N_0(metz_NN_N_0,CC(60+ct4_NN_N_0,g3_NN_N_0,\X.connected_VB_N_0(X),metz_NN_P_1(CC(extension+cord_NN_P_1,module_NN_P_1))),i_FW_N_0),cant_FW_N_0(canon+camera_NN_N_0(use_VB_N_0(CC(nikon_NN_N_0,external+flash_NN_N_0))),i_FW_N_0))","['metz_NN_P_1', 'extension+cord_NN_P_1', 'module_NN_P_1']","[1, 1, 1]","['metz', 'extension cord', 'module']",
188,188,"for those who have this metz flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz module you need is the sca 3102 and the connector cord is the sca 3000c . ","CC(like_VB_P_1(g3_NN_N_0(get_VB_N_0(seq(metz+flash_NN_N_0,ultimate+quality_NN_N_0)))),CC(is_VB_N_0(sca_NN_N_0,connector+cord_NN_N_0),is_VB_N_0(sca_NN_N_0,need_VB_N_0(metz+module_NN_N_0,you_PRP_N_0))))",[],[],[],
189,189,"in order for this to work , you have to set the camera to manual mode and set the shutter speed and f-stop yourself . ","work_VB_P_1(order_NN_N_0,have_VB_N_0(CC(CC(seq(shutter+speed_NN_N_0,yourself_PRP_N_0)),manual+mode_NN_N_0(set_VB_N_0(camera_NN_N_0))),you_PRP_N_0))",[],[],[],
190,190,"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon . ","\X.g3_NN_N_0(\X.read_VB_N_0(X),X,ive_RB_N_N_0)",[],[],[],flash[+2]
191,191,"you also have to set the g3 to second shutter sync , which is what youd want to do most of the time anyhow . ","have_VB_N_0(set_VB_N_0(shutter+sync_NN_N_0),you_PRP_N_0)",[],[],[],
192,192,"then just forget about all the controls you have on the metz flash head itself and the sca 3102 control panel , because they are all ignored . ","are_VB_N_0(\X.ignored_VB_N_0(X),they_PRP_N_0,forget_VB_N_0(CC(CC(sca_NN_N_0,3102+control+panel_NN_N_0),seq(itself_PRP_N_0,metz+flash+head_NN_N_0,\X.have_VB_N_0(X),controls_NNS_N_0,you_PRP_N_0))),just_RB_N_N_0)",[],[],[],
193,193,"the g3 completely takes over controlling the duration of the metz flash , and most of the time , the exposure is spot on and when it isnt , its because youve exceeded the range of the metz flash itself . ","takes_VB_N_0(controlling_VB_N_0(CC(is_VB_N_0(CC(exceeded_VB_P_1(seq(itself_PRP_N_0,metz+flash_NN_N_0,range_NN_N_0),youve_NN_N_0,\X.isnt_VB_N_0(X),it_PRP_N_0),spot_NN_N_0),time_NN_N_0,exposure_NN_N_0,duration_NN_N_0))),g3_NN_N_0)",[],[],[],
194,194,"this might happen if you get too close to the subject and you are not bounce-flashing , or if you are bounce flashing and the walls are simply too far away . ","CC(CC(walls_NNS_N_0,are_VB_N_0(bounce_VB_N_0(\X.flashing_VB_N_0(X)),you_PRP_N_0)),CC(bounceflashing_VB_N_0(you_PRP_N_0),CC(close_JJ_N_0,subject_JJ_N_0,you_PRP_N_0)),\X.happen_VB_N_0(X))",[],[],[],
195,195,"unfortunately , the neutral density filters for the metz flash are no longer available , so the first problem cant easily be solved . ","metz+flash_NN_P_1(CC(density_NN_P_1,filters_NNS_P_1))","['metz+flash_NN_P_1', 'density_NN_P_1']","[1, 1]","['metz flash', 'density']",
196,196,the second problem is solved by more direct lighting from the metz ( with the attendant shadows unfortunately ) . ,"is_VB_N_0(metz_NN_N_0(CC(more+direct_NN_N_0,lighting_NN_N_0),\X.solved_VB_N_0(X)),second+problem_NN_N_0)",[],[],[],
