,0,aspect,prediction
392,"it has great battery life , fm radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps . ",battery life,function|speakerphone|battery|java
393,"what it lacks for me is n't available on one phone yet , namely gsm850 ( also sometimes known as gsm800 ) , bluetooth and edge . ",,|edge
394,so when the quad bands start appearing i will be upgrading again . ,,
395,but for now this will do . ,,
396,"oh and before anyone comments yes i know motorola have announced a quad band edge bluetooth phone , but its not shipping at time of writing and the tri-band gsm850 phones lack the gsm900 band which is important if you like me globally roam . ",,band|gsm850|band|gsm850|time|gsm900
397,great phone .. . ,phone,phone
398,great features .. . ,feature,
399,i purchased this phone after having been an at &#38; t subscriber with a nokia 8260 phone for over three years . ,,|subscriber
400,"i did a ton of research and settled on this phone because of the small size , speakerphone option , great priced calling plan and access to my corporate email . ",size,ton|research|email
401,i went to an at &#38; t store before i bought this phone to see if it was possible to get corporate email with any of their services and they looked at me like i had three heads . ,,|store
402,"they told me i would have to connect to my laptop , which had to be on and connected to my corporate network through the phone in order to access my corporate email . ",,|email
403,"with the t-mobile unlimited t-zones for $ 10 , i can check any number of email addresses and use unlimited internet . ",,internet
404,i have had no problems with the phone . ,phone,
405,friends of mine are always asking about it and wanting to use it . ,,
406,i 've even had one friend buy one immediately after a test drive . ,,|friend
407,"great phone , i 'd buy another . ",phone,phone
408,"excellent phone , the phone looks much better than what u see in the pictures . ",phone|look,phone
409,bluetooth functionality would have made the phone even better . ,,|functionality
410,"one more thing , the default ringtones that come with the phone are horrible . ",default ringtone,thing|default
411,overall an excellent phone . ,phone,phone
412,the service from t-mobile is very good too . ,t-mobile,service|t-mobile
413,in all a winning combination . ,,combination
414,worth every penny ! ,,
415,"great phone , easy to use , excellent network , no regrets ! ! ! ",phone,phone|network
416,i purchased this phone for just 50 $ and there is no end to what i can do with it . ,phone,
417,nokia and t-mobile really teamed up well on this baby . ,phone,|baby
418,"it puts an end to organizational deficiencies as well as communications and internet , without a bulky phone like the treo or something , which i had to cell because i was so unhappy with it . ",,cell|phone|treo|something
419,now my little 6610 is the most coveted item at school ! ,,|item|school
420,people have paid me money just to borrow it because its so elegant . ,,
421,"service is great as far as i can tell , features work like a charm , ringtones are high quality if you buy them from t-mobile and aim is great . ",service,service|aim
422,now i can always be in contact . ,,
423,"this is probably your best bet if you are looking for a phone in this price range , or like me , do not have the patience to deal with annoying flip phones . ",phone,phone|bet|bet|range
424,a great deal in general ! ,,deal
425,i would not give up this phone for the world . ,,|world
426,"1 month , no problems , great phone i 'm very pleased with my 6610 phone . ",phone,month|phone
427,"yes , the features are numerous . ",feature,
428,the speakerphone works better than any speakerphone i 've ever had . ,speakerphone,speakerphone
429,people i talk to on the speakerphone are shocked when it comes out at times that i 'm even using a speakerphone . ,,talk
430,"the sound quality is excellent , except , maybe a * tad * too quiet at times when there are quieter talkers on the other end of the line . ",sound quality,end
431,the included earpiece is very comfortable and easy to use . ,earpiece,earpiece
432,i have not had any distortion problems with this phone and am more pleased with this phone than any i 've used before . ,phone,
433,nokia has definitely won me over with this one . ,,nokia
434,first let me say that it is much smaller than it looks on the web and it also looks better . ,size|look{+1],web
435,the radio feature has superb sound quality . ,radio,quality
436,"i 've compared this phone to others such as 6100 , siemens sl55 . ",,
437,even though they might be smaller many people seem to have alot of problems with them . ,,
438,it has a classic design yet looks hip . ,design,design
439,is a lot better compared to the toy phone design of the nokia 7210 with its cheap feel . ,,feel|design
440,it is extremely light and dissapears in your pocket . ,weight,|pocket
441,for those that are looking for camera phones just get the camera attachement and comes with the stereo headphones to listen to the radio in style . ,,
442,the battery is alot better than most of the phones out there . ,battery,battery
443,one thing that i found out recently is that you do n't need t-zones from tmobile to go online . ,,
444,"every t-mobile plan comes with gsm data , meaning that instead of speeds of 56 kbps is around 9 kbps ( with those small size wap websites do you really think it makes a difference ) . ",,
445,"anyways there are ways to set up your 6610 to connect to csd which uses regular minutes and you are surfing the net , being able to download pics and ringtones ( not java apps , you need t-zones for that ) . ",,
446,tmobiles might not have the best reception in some areas but with amazing phones such as nokia 6610 and cheap plans that you get way more minutes than any other plans . ,,reception|reception
447,if you thought about getting this phone buy it . ,,
448,this phone is great as a whole and is not like others with one or two good qualities . ,phone,phone
449,"i currrently have service with t-mobile , verizon , and t-mobile . ",,|verizon|verizon
450,the reason so many is that i am a contractor and all of my subs have these carriers and i can benifit from the mobile to mobile features that companies are now offering ! ,,|reason|contractor
451,"that beside you are prob. very well aware of many of the features that this phone is known for , and one that has not yet been mentioned : using this phone as a modem for any computer with a usb 1.0 port ! ",,
452,using the gprs option you can pay 19.99 extra a month and have unlimited internet access added to you account . ,,access|internet
453,"yes it is 56k speed , but the functionality is what you are paying for . ",,
454,"i myself find this great for when i am at a site i can run to my truck and hook up my modem cable ( 49.99 @ nokiausa.com or t-mobile.com ) press dial up on my laptop ( by the way it is a mac pb 1gz. and in a matter of seconds i can access my email , fax , and the entire web from my truck ! ",,|way
455,the only problem that i have found with the internet service is that it does not access mls ( real estate broker software ) very well at all . ,internet,service|access|software
456,"i find a great amount of value in this option for any and all the people that travel buy car and do not have access to the t-mobile "" hot-spots "" . ",,amount|value
457,it does well in all aspects of internet browsing . ,browsing,
458,as i also leave you with this review i would like to thank you for reading it . ,,
459,do too many stuffs to get to a free phone after rebate . ,,phone
460,"also , if i want a family plan , which mean i need tw phones on a plan .. . ",,
461,so how can i do that ... are n't that free for two after the rebates . ,,
462,and how can i do that ... . ,,
463,print those coupons twice for two phones ? ,,
464,... ,,
465,i saw another review saying his only gripe was a lack of voice dialing . ,,gripe
466,the phone does have voice dialing according to amazon & t-mobile and nokia . ,,
467,the phone may look large but it is very small smaller then the 3390 phone . ,,
468,my sister has this series of phone and she loves the radio and headset . ,,radio|headset|sister
469,i find the lack of entertaining games on this phone quite disturbing . ,game,phone|lack
470,i do n't really like bounce . ,,
471,i have always known nokia to provide me with good games on their phones . ,,
472,battery life is good for a phone of this size . ,battery life,life|battery
473,"but anyway , the only thing you should really look at here is the fact that the phone does have voice dialing . ",voice dialing,
474,great screen and great sound . ,screen,screen|sound
475,"ok , everybody loves the fm radio in this , but you want a cell phone first , right ? ",,everybody|fm|ok
476,"the 6610 excels as a cell phone , thank god . ",phone,god
477,"the voice quality is very good , and it gets great reception ( that is , in places where you get t-mobile coverage , which is not that good ; see below ) . ",voice quality,reception|quality|voice
478,"the color screen makes this free-after-rebates phone shine bright , and commands are very responsive . ",screen,shine|phone
479,my only gripe about the hardware is the buttons . ,button,
480,"nokia seems on a campaign to revamp the phone keypad , which imho is totally unnecessary . ",,nokia|campaign
481,"this model does have the traditional key arrangement , it 's just that they are really close to one another , and have unconventional shapes , so it takes a big getting used to for someone like me with big hands . ",key,model|arrangement|someone
482,"( to be fair , the same can be said about many korean imports , and the nokia 's build quality is light years ahead of the koreans . ) ",,
483,"other than that , this is a perfect phone for those of us with no patience for flips . ",phone,phone
484,"finally , i reiterate my thumbs-down rating for t-mobile as a carrier . ",t-mobile,
485,"their network coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience . ",t-mobile,experience|coverage|network
486,"if you can get this phone for cingular or at&t , go with the other carriers . ",,
487,"the nokia 6610 is a relatively new phone , and what a great phone it is . ",phone,phone
488,"when i first saw the 6610 , i thought it was too small . ",,
489,"after using it , i found the size to be perfect for carrying in a pocket . ",size,
490,"it is just a tad small to hold to your ear with your shoulder , but that is solved with the very comfortable handsfree ear-piece which is included . ",earpiece,ear-piece|handsfree|tad
491,"the ear-piece has a button that answers and hangs-up the phone so you do not have to mess with the phone at all , unless dialing a number . ",,ear-piece|button
492,"unfortunately , the 6610 does not offer voice dialing like my previous phone , but the other features it packs outweighs this shortcoming . ",voice dialing,voice
493,"when i turned the phone on , the first thing that hit me is how good the screen is . ",screen,
494,the resolution is very good and the colors are bright and even changeable ! ,resolution|color,resolution
495,the phone has several color schemes you can choose from . ,,
496,i like the default blue . ,,
497,you can also set a background wallpaper . ,,
498,"the ringtones included are awesome , and did i mention they were polyphonic ? ",ringtone,
499,no more annoying series of beeps . ,,series
500,this phone plays up to 4 tones at one time and it actually sounds like music . ,,phone|time
501,you can also assign special rings and graphics to special people when they call . ,ring,
502,"the massive phonebook can hold 300 entries , with multiple phone number per entry , so you can program your boss 's home , work and cellphone numbers all under one contact . ",,phonebook
503,"the phone also sports an image gallery ( with option camera attachment ) , a calendar / organizer , alarm clock with snooze , fm radio ( way cool , even if it is just through an ear-peice ) , games , java applications and gprs high-speed internet connection . ",phone,|snooze|gallery
504,"the gprs connection is sometimes slow , and writing instant messages with the included aol instant messenger software is a pain , but the other t-zones applications are quite useful . ",gprs,connection|pain
505,"you can get weather , movies , horoscopes and more with a few clicks . ",,
506,"the service deafults to showing the information associated with your billing zip code , but you can change the default and seach other areas while on the go . ",,|default|go|seach
507,"one downside : as of this writing , t-mobile has n't updated their t-zone system to fully support the 6610 . ",t-zone,|downside|writing
508,"their website does not show it as a compatible phone , and should i try to access the game downloads on t-zones the system returns an error message saying my phone is not supported . ",,system|phone|message
509,i have been assured this will be fixed soon . ,,
510,"now , for the t-mobile service : ",,
511,i cannot say enough good things about the people who answer the phones . ,,
512,"if you have a question , they have the answer . ",,
513,"and should they not know it , they can find it out pretty quick . ",,
514,every phone experience has started with a very brief time on hold followed by a cheerful representative answering the phone . ,,representative|time
515,all my questions or problems have been quickly and satisfactorily resolved . ,t-mobile service,
516,i 'd like to see my old carrier do that ! ,,
517,"the rate plans are also very good , at least for me . ",rate plan,rate
518,"different people have different needs , of course , but the t-mobile plans are priced very well for the minutes and services you receive . ",,course
519,the phone would have received 5 stars if the phone had voice dialing and the game downloads from t-zones worked . ,,game
520,this phone is highly recommended otherwise . ,phone,
521,"nokia makes a great phone , that 's clear . ",phone,phone
522,"with all its complicated features , the menus are easily accessible and the quality of the features is great . ",menu|feature,quality
523,the one huge disappointment is that the phones manufactured for t-mobile lack many of the menus and functions that a nokia straight from the manufacturer should have . ,menu,disappointment
524,"one of the things t-mobile brags about is the fact that it 's a "" worldphone "" and can be used in europe , etc. ",,
525,"yet they 've gotten rid of most of the languages that should be in the phone , including italian , german , and dutch . ",,
526,"the internet functions of the phone - wap and gprs - will only work through t-mobile 's services , because they have deleted the menu options that would enable you to configure the phone to be used on a different network . ",internet,internet
527,"therefore , if you wanted to travel abroad and pop in a local sim card , even if you unlock the phone , there is no way you can use the local wap browser or internet . ",,|browser|card|sim
528,"after spending hours being transferred from one tech help person to another , i got fed up and have decided to return the phone . ",,
529,"bottom line , if you 're attracted to this phone because of its tri-band feature so you can take it abroad , forget it . ",,
530,"find another phone , or buy this one in its manufacturer-unlocked form . ",,|form
531,this phone is good with a huge array of features built into it . ,phone|feature,phone|array
532,i purchased the phone last week and have been using till then . . ,,|week
533,i did n't had any problem till now . ,,
534,the design is sleek and the color screen has good resolution . ,design,resolution|design
535,it is very light weight and has a good signal strength . ,weight,strength|signal|weight
536,"however , the main problem that i think is the with the sound quality . ",sound quality,quality
537,it is not as good as the samsung phones that i have used earlier . ,,
538,when talking the voice is not very clear . ,voice,voice
539,"but , i would definately recommend this phone . ",phone,phone
540,go for it ... ,,
541,i have read a lot of the reviews and my phone does not have a hiss or anything that people are talking about . ,,phone|hiss
542,it is crystal clear . ,sound quality,
543,this is one of the nicest phones nokia has made . ,phone,nokia
544,i do recommend getting the data kit for those geeks . ,,
545,there are a lot of cool websites with games and midi ringtones to download for free . ,,lot
