,id,review,target,category,term
250,1561259:2,the hostess and the waitress were incredibly rude and did everything they could to rush us out.,"hostess,waitress","SERVICE,SERVICE",hostess|waitress|everything
251,1561259:3,we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,waitress,SERVICE,dessert|waitress|bill|chance|order
252,1561259:4,"this place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","place,food,service","PRICES,FOOD,SERVICE",service|price|price|like|food|place
253,1572027:3,i ate here a week ago and found most dishes average at best and too expensive.,"dishes,dishes","FOOD,PRICES",dishes
254,1572033:1,decor is nice though service can be spotty.,"Decor,service","AMBIENCE,SERVICE",service|nice
255,1586174:6,the waitstaffs are nice though.,waitstaffs,SERVICE,staff|nice
256,1603698:2,"both times i was extremely dissappointed by the service, which was boarderline rude.",service,SERVICE,service
257,1606837:2,the service was attentive.,service,SERVICE,service
258,1609375:2,"the svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","svc,restaurant",SERVICE,restaurant
259,1609375:3,"try the pad thai, it's fabulous and their prices are so cheap!","Pad Thai,NULL","FOOD,PRICES",price
260,1609375:4,"just because it's cheap does not mean the portions are small or the food is nasty, it is great!","portions,food,NULL","FOOD,FOOD,PRICES",food|great
261,1611489:1,"also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","sandwiches,sandwiches","FOOD,PRICES",like
262,1611489:3,"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","atmosphere,NULL",AMBIENCE,atmosphere|desk|experience
263,1615322:2,they have authentic indian at amazin prices.,"Indian,Indian","FOOD,PRICES",price
264,1615322:4,the seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,AMBIENCE,seats|wall|benches
265,1615322:5,it's a rather cramped and busy restaurant and it closes early.,"restaurant,restaurant",AMBIENCE,restaurant
266,1623276:0,patroon features a nice cigar bar and has great staff.,"cigar bar,staff","AMBIENCE,SERVICE",staff|great|nice
267,1626564:3,waitstaff are very friendly.,Waitstaff,SERVICE,staff
268,1632445:3,the service is good and ambience is good for a date or group outing.,"service,ambience","SERVICE,AMBIENCE",service|good|good
269,1632445:4,the only fallback on this restaurant is the prices.,restaurant,PRICES,restaurant|price
270,1632445:5,"even though its good seafood, the prices are too high.","seafood,seafood","FOOD,PRICES",price|food|good
271,1632445:6,the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"lobster sandwich,lobster sandwich,lobster sandwich","FOOD,FOOD,PRICES",price|good
272,1632929:4,"when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,SERVICE,dessert|candle|anyone|waiter|birthday|card|gift|occassion|sort
273,1632929:5,truly the mark of an attentive waiter.,waiter,SERVICE,mark|waiter
274,1649025:2,the food is so cheap and the waiters are nice.,"food,waiters","PRICES,SERVICE",food|nice
275,1655504:1,cheese plate is a varied delight and great bargain at $10.,"Cheese plate,Cheese plate,Cheese plate","FOOD,FOOD,PRICES",great
276,1655504:4,wine list is extensive without being over-priced.,"Wine list,Wine list","FOOD,PRICES",wine|price
277,1655521:1,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,atmosphere,AMBIENCE,great
278,1655521:2,"the food was very good, a great deal, and the place its self was great.","food,food,place","FOOD,PRICES,AMBIENCE",food|place|great|great|good
279,1655521:3,"the wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff,SERVICE,like|staff
280,1660047:0,"i like cafe noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!","people,Cafe Noir",SERVICE,like
281,1660047:1,"the service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",service,SERVICE,service
282,1660047:2,"the waitress, seems to be more concerned of looking good than actually waitressing.",waitress,SERVICE,good
283,1660047:3,"after dinner the manager grabbed my boyfriend, asked him: where are you from...maybe you dont know how things work in america...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",manager,SERVICE,dinner|manager|boyfriend|things|tips|thing
284,1660047:4,"we did tip, i guess the model/waitress just wanted more and complained to the manager.",waitress,SERVICE,model/waitress|manager
285,1660047:5,"the whole set up is truly unprofessional and i wish cafe noir would get some good staff, because despite the current one this is a great place.","staff,Cafe Noir",SERVICE,staff|place|great|good
286,1661043:4,decor is charming.,Decor,AMBIENCE,decor
287,1661043:5,service is average.,Service,SERVICE,service
288,1661757:2,"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","ambience,NULL,food","AMBIENCE,PRICES,FOOD",price|food|great
289,1662726:0,i was here a few weeks back and we had the worst customer service experience at a restaurant ever.,customer service,SERVICE,service|restaurant
290,1662726:1,"a gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",gentleman,SERVICE,gentleman|manager|table|smile|order
291,1671113:1,the food is great and reasonably priced.,"food,food","FOOD,PRICES",price|food|great
292,1671113:2,"i have tried to make reservations, but both times, the hostess didn't have my name.",hostess,SERVICE,reservations|times|hostess|name
293,1671113:3,"if the weather is nice, try to snag an outside table.",outside table,AMBIENCE,nice
294,1671113:4,"the staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","staff,staff,unisex bathroom","SERVICE,SERVICE,AMBIENCE",staff|nice
295,1700205:2,"considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",waitstaff,SERVICE,staff
296,1702257:3,friendly staff that actually lets you enjoy your meal and the company you're with.,staff,SERVICE,staff
297,1706644:4,"we ate out in the back patio, which is worth it as it's cool and the music is hear well there.","back patio,music","AMBIENCE,AMBIENCE",patio|music
298,1707201:2,the place was nice and calm.,place,AMBIENCE,place|nice
299,1707201:3,but the service was a bit slow.,service,SERVICE,service
300,1707741:3,service was also very good.,Service,SERVICE,service|good
301,1718513:3,"the back garden sitting area is very pleasant, where you can see their personal herb garden.",back garden sitting area,AMBIENCE,garden|area|herb|garden
302,1727363:1,this is a wonderful place on all stand points especially value ofr money.,"place,place",PRICES,place
303,1727363:2,an excellent service,service,SERVICE,service
304,1728733:1,we were greeted promptly by the waiter who was very nice and cordial.,waiter,SERVICE,nice
305,1730127:2,"always a nice crowd, but never loud.","crowd,NULL",AMBIENCE,nice
306,1748813:1,all of the pizzas are terrific and the price is even better!,"pizzas,pizzas","FOOD,PRICES",price
307,1748839:1,"immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",waiter,SERVICE,waiter|money|guys|outta
308,404464:3,i expected quite a bit more from such an expensive menu.,"menu,menu","PRICES,FOOD",menu
309,426930:0,authentic taiwanese food that's cheap... what more could you ask for?,"Taiwanese food,Taiwanese food","FOOD,PRICES",food
310,430342:1,"kind, attentive wait staff.",wait staff,SERVICE,staff
311,433878:3,the counter service is bad.,counter service,SERVICE,service
312,436868:2,"the sandwiches are dry, tasteless and way overpriced.","sandwiches,sandwiches","FOOD,PRICES",price
313,436868:3,"calling the place hampton chutney co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.","place,room,clerks","AMBIENCE,SERVICE",place
314,445960:0,"this is such a lovely, peaceful place to eat outside.",place,AMBIENCE,place
315,445960:1,the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,restaurant,AMBIENCE,restaurant
316,445960:4,"this is a great place to take out-of-towners, and perfect for watching the sunset.",place,AMBIENCE,place|great
317,449802:5,but who says murray's is anything about service.,service,SERVICE,service
318,454704:1,the service is awful.,service,SERVICE,service
319,454704:2,this place is not worth the prices.,"place,place",PRICES,price|place
320,464342:1,i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,SERVICE,cheese|sandwich|manager|business
321,475298:0,"good, fast service.",service,SERVICE,service|good
322,475298:2,food is great and inexpensive.,"Food,Food","FOOD,PRICES",food|great
323,475298:3,the location is perfect.,location,AMBIENCE,location
324,475512:2,"well, this place is so ghetto its not even funny.",place,AMBIENCE,place
325,475512:3,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"bottle minimun,music","PRICES,AMBIENCE",like|great
326,476473:2,great atmoshere and worth every bit.,"atmoshere,NULL",AMBIENCE,great
327,483111:0,winnie and her staff are the best crew you can find serving you.,"staff,Winnie","SERVICE,SERVICE",staff
328,483111:1,the food is reliable and the price is moderate.,"food,NULL","FOOD,PRICES",price|food
329,485767:1,"the service was attentive, yet discreet.",service,SERVICE,service
330,485966:1,the place was quiet and delightful.,place,AMBIENCE,place
331,490565:1,"the wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",wait staff,SERVICE,staff
332,490565:3,"but the best part about ls is the late night atmosphere, delightfully free of the bts.",late night atmosphere,AMBIENCE,part|atmosphere
333,490565:4,"you can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty, mmmm!) in a great homey setting with great music.","martini,martini,martini,Vanilla Shanty,setting,music","FOOD,FOOD,PRICES,FOOD,AMBIENCE,AMBIENCE",great|great
334,490565:5,"the in-house lady dj on saturday nights has outrageously good taste in music, and moreover, takes requests.",in-house lady DJ,AMBIENCE,good
335,493013:1,"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.","location,Suan","AMBIENCE,PRICES",price|good
336,493013:6,in summer-eat outside on a terrace (another great feature of suan)!!!,terrace,AMBIENCE,great
337,493514:0,i cannot imagine a friendlier staff working in a restaurant.,staff,SERVICE,restaurant|staff
338,496132:1,the setting is casual and romantic.,setting,AMBIENCE,setting
339,498657:2,"the rest of the dim sum, though pricey by chinatown standards, is worth it.","dim sum,dim sum","PRICES,FOOD",price
340,498657:4,"the wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for chinatown) alternative.","wait,atmosphere,NULL","SERVICE,AMBIENCE",like
341,503807:5,the service was friendly and the atmosphere was casual.,"service,atmosphere","SERVICE,AMBIENCE",service
342,505535:0,this little place has a cute interior decor and affordable city prices.,"interior decor,place","AMBIENCE,PRICES",price|place
343,507844:0,this place would be so much better served by being run by a group that actually understands customer service.,customer service,SERVICE,service|place
344,507844:4,"terrible, terrible management - deserves to be shut-down.","management,NULL",SERVICE,management
345,507937:2,spreads and toppings are great - though a bit pricey.,"Spreads,toppings,Spreads,toppings","FOOD,FOOD,PRICES,PRICES",price|great
346,507937:3,service is fast and friendly.,Service,SERVICE,service
347,511290:4,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,"ambience,staff","AMBIENCE,SERVICE",like|staff|place
348,512294:0,"great food, great prices, great service.","food,NULL,service","FOOD,PRICES,SERVICE",service|price|food|great|great|great
349,512294:1,"if you are looking for a good quality, cheap eats - this is the place.","eats,eats","FOOD,PRICES",place|good
350,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!","place,service","AMBIENCE,SERVICE",service|place|place|great
351,513521:2,drawbacks: service is slow and they don't toast!,service,SERVICE,service
352,519425:3,the waiter was attentive.,waiter,SERVICE,waiter
353,519425:4,the place itself is beautiful the bar scene seems to be happening.,"place,bar scene","AMBIENCE,AMBIENCE",place
354,527109:0,"volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service,SERVICE,service
355,527109:3,the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,"wine list,meal","FOOD,PRICES",wine|price
356,527109:4,"still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","NULL,measures of liquers","PRICES,FOOD",quibbles|bill|measures|liquers|courtesey|house
357,535171:1,not the typical nyc gimmick theme restaurant.,restaurant,AMBIENCE,restaurant
358,541532:0,cozy romantic atomosphere with only around 15 tables at most.,atomosphere,AMBIENCE,atomosphere|tables
359,558423:4,"however, if you want great food at a great price and don't mind the decor, you can't beat this place.","food,decor,food","FOOD,AMBIENCE,PRICES",price|food|place|great|great
360,561054:1,"when you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.","main dining room,ceiling","AMBIENCE,AMBIENCE",dining|room|ceiling|world|outside
361,561054:3,"i can't wait for summer, when they serve outside on their gigantic patio.",patio,AMBIENCE,patio
362,565344:1,this little place definitely exceeded my expectations and you sure get a lot of food for your money.,"food,place,food","FOOD,PRICES",food|place
363,584025:1,warm and friendly in the winter and terrific outdoor seating in the warmer months.,"NULL,outdoor seating","AMBIENCE,AMBIENCE",seating
364,584025:2,the food is great and they have a good selecion of wines at reasonable prices.,"food,selecion of wines,selecion of wines","FOOD,FOOD,PRICES",wine|price|food|great|good
365,620892:3,ravioli was good...but i have to say that i found everything a bit overpriced.,"Ravioli,NULL","FOOD,PRICES",price|good
366,620892:6,"food was just average...if they lowered the prices just a bit, it would be a bigger draw.","Food,Food","FOOD,PRICES",price|food
367,624715:0,this place is a great bargain.,place,PRICES,place|great
368,624715:3,don't waste money on decor.,decor,AMBIENCE,money|decor
369,624715:4,"just straight up cheap, good food.","food,food","FOOD,PRICES",food|good
370,626269:2,the design and atmosphere is just as good.,"design,atmosphere","AMBIENCE,AMBIENCE",good
371,626269:3,bottles of wine are cheap and good.,"bottles of wine,bottles of wine","PRICES,FOOD",wine|good
372,632121:1,the jukebox plays everything from italian opera to the strokes.,jukebox,AMBIENCE,jukebox|everything|opera|strokes
373,657129:3,the drinks are amazing and half off till 8pm.,"drinks,drinks","FOOD,PRICES",drinks|half
374,680390:0,"toons has recently been redone, so it's now a very attractive space.",Toons,AMBIENCE,toons|redone|space
375,709294:1,"we recently decided to try this location, and to our delight, they have outdoor seating, perfect since i had my yorkie with me.",outdoor seating,AMBIENCE,location|delight|seating|yorkie
376,709294:2,indoor was very cozy and cute.,Indoor,AMBIENCE,
377,717570:1,the decor is very simple but comfortable.,decor,AMBIENCE,decor
378,720418:4,great food and the prices are very reasonable.,"food,NULL","FOOD,PRICES",price|food|great
379,720620:5,simply some good tasting chinese food at incredible prices...,"Chinese food,Chinese food","FOOD,PRICES",price|food|good
380,735448:1,"whoever the jazz duo was, they were on point.",jazz duo,AMBIENCE,jazz|point
381,735448:2,"good music, great food, speedy service affordable prices.","music,food,service,NULL","AMBIENCE,FOOD,SERVICE,PRICES",service|price|food|great|good
382,737999:3,atmosphere is nice and relaxed too...,Atmosphere,AMBIENCE,nice
383,740923:2,price and quality of fish alone will keep us from making a return visit.,"fish,fish,NULL","PRICES,FOOD",price
384,744478:1,"fabulous decor - makes you feel like you're in a trendy manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a manhattanite, or spend most of your time in manhattan, rice avenue will make you feel at home.....very soho/village/upper west side minus the expensive prices and pretentious clientele.....all on roosevelt avenue!","decor,food,food,staff,Rice Avenue,Rice Avenue,Rice Avenue","AMBIENCE,FOOD,PRICES,SERVICE,AMBIENCE,AMBIENCE,PRICES",restaurant|price|price|like|staff|food|good
385,746254:4,"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.","food,wait-staff,service,management","PRICES,SERVICE,SERVICE,SERVICE",service|restaurant|price|staff|food|good
386,751493:0,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,"service,food,food","SERVICE,PRICES,FOOD",service|price|food
387,754495:2,the food is okay and the prices here are mediocre.,"food,NULL","FOOD,PRICES",price|food
388,757762:0,baluchi's has solid food and a nice decor at reasonable prices.,"food,decor,Baluchi's","FOOD,AMBIENCE,PRICES",price|food|nice
389,758263:3,$20 for all you can eat sushi cannot be beaten.,all you can eat sushi,PRICES,sushi
390,875139:0,"love the scene first off- the place has a character and nice light to it..very fortunate, location wise.","scene,place,location","AMBIENCE,AMBIENCE,AMBIENCE",place|nice
391,955711:2,love the atmosphere - felt like i was in paris.,atmosphere,AMBIENCE,like
392,BFC#4:2,it was totally overpriced- fish and chips was about $15....,"NULL,fish and chips","PRICES,PRICES",price
393,EVPK#10:1,i was visiting new york city with a friend and we discovered this really warm and inviting restaurant.,restaurant,AMBIENCE,restaurant
394,Z#3:1,"the space kind of feels like an alice in wonderland setting, without it trying to be that.",space,AMBIENCE,like
395,Z#3:2,"i paid just about $60 for a good meal, though :)","meal,meal","FOOD,PRICES",good
396,Y#2:1,"the place is a bit hidden away, but once you get there, it's all worth it.","place,place",AMBIENCE,place
397,TR#3:0,great place to relax and enjoy your dinner,place,AMBIENCE,place|great
398,TR#3:1,there is something about their atmosphere that makes me come back nearly every week.,atmosphere,AMBIENCE,something|atmosphere
399,TM#7:0,excellent food for great prices,"food,food","FOOD,PRICES",price|food|great
400,RL#3:1,"im not necessarily fanatical about this place, but it was a fun time for low pirces.","place,place",PRICES,place
401,PP#4:4,i thought the restaurant was nice and clean.,"restaurant,restaurant",AMBIENCE,restaurant|nice
402,Y#5:0,overpriced japanese food with mediocre service,"japanese food,service","PRICES,SERVICE",service|price|food
403,TFS#8:0,"not because you are ""the four seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",The Four Seasons,PRICES,
404,TFS#8:2,i do not think dinner in manhattan should cost $400.00 where i am not swept off my feet.,dinner,PRICES,dinner|feet
405,Y#6:3,"in the summer months, the back garden area is really nice.",back garden area,AMBIENCE,nice
406,P#10:3,and $11 for a plate of bland guacamole?,"guacamole,guacamole","FOOD,PRICES",plate|guacamole
407,TM#3:3,"the food was good, the place was clean and affordable.","food,place,place","FOOD,AMBIENCE,PRICES",food|place|good
408,TR#1:3,i highly recommend this beautiful place.,"place,place",AMBIENCE,place
409,TR#8:4,we were offered water for the table but were not told the voss bottles of water were $8 a piece.,Voss bottles of water,PRICES,water|table|voss|bottles|water|piece
410,TR#8:6,nice view of river and nyc.,view of river and NYC,AMBIENCE,nice
411,CLF#1:0,a beautifully designed dreamy egyptian restaurant that gets sceney at night.,Egyptian restaurant,AMBIENCE,restaurant
412,CLF#1:2,"oh, and there's hookah.",hookah,AMBIENCE,hookah
413,P#9:9,"overall, decent food at a good price, with friendly people.","food,food,people","FOOD,PRICES,SERVICE",price|food|good
414,Z#11:4,most of the booths allow you to sit next to eachother without looking like 'that' couple.,booths,AMBIENCE,like
415,TR#2:2,the high prices you're going to pay is for the view not for the food.,"view,food,NULL","AMBIENCE,FOOD,PRICES",price|food
416,TR#2:7,"oh speaking of bathroom , the mens bathroom was disgusting.",mens bathroom,AMBIENCE,bathroom|mens|bathroom
417,TFS#10:8,not what i would expect for the price and prestige of this location.,"NULL,location,location","SERVICE,PRICES",price
418,Z#9:0,"short and sweet – seating is great:it's romantic,cozy and private.",seating,AMBIENCE,great
419,Z#9:1,the boths are not as small as some of the reviews make them out to look they're perfect for 2 people.,boths,AMBIENCE,boths|reviews|people
420,Z#9:6,so what you really end up paying for is the restaurant not the food.,"restaurant,restaurant,food","PRICES,AMBIENCE,FOOD",restaurant|food
421,NP#3:6,prices are fair across the board for both food and bev.,"food,bev","PRICES,PRICES",price|food
422,CLF#5:5,we were drawn into the belly dancing show that captivated the crowd.,belly dancing show,AMBIENCE,belly|dancing|crowd
423,BzG#2:0,"great place, great value.","place,place",PRICES,place|great|great
424,BzG#2:1,"the food is flavorful, plentiful and reasonably priced.","food,food,food","FOOD,FOOD,PRICES",price|food
425,BzG#2:2,the atmosphere is relaxed and casual.,atmosphere,AMBIENCE,atmosphere
426,Z#5:1,mazing interior.,interior,AMBIENCE,interior
427,Z#5:4,"the atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.","atmosphere,scheme of mirrors","AMBIENCE,AMBIENCE",nice
428,TM#5:3,helpful service and average price per dish $10.,"service,dish","SERVICE,PRICES",service|price
429,TM#5:4,the only thing that strikes you is the decor?(not very pleasant).,decor,AMBIENCE,thing|decor
430,TVU#6:3,the martinis are amazing and very fairly priced.,"martinis,martinis","FOOD,PRICES",price
431,TVU#6:5,"the dj is awesome, i have been there for my birthday and a bunch of other times with friends and i keep going back.","DJ,NULL",AMBIENCE,birthday|bunch|times|friends
432,TFS#5:2,but $500 for a dinner for two that didn't include wine?,dinner for two,PRICES,wine
433,TFS#5:7,what you are paying for is the environment and the name.,"environment,NULL,NULL","AMBIENCE,PRICES",environment|name
434,TFS#5:8,"yes, the place is classy and beautiful, but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while.","place,place","AMBIENCE,PRICES",place
435,TFS#5:21,"i read reviews that called the restaurant too expensive and i thought to myself, but may be it is worth it.","restaurant,restaurant",PRICES,restaurant
436,TFS#5:23,"the four seasons has history and it is a sort of landmark of new york city restaurants, but trust me, they will charge you through the nose just so that you can say ""i've been to the four seasons restaurant"".","The Four Seasons,The Four Seasons",PRICES,restaurant|restaurant
437,TFS#5:26,the environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.,"environment,NULL",AMBIENCE,environment|guys|trophy|wives|escorts
438,TFS#5:30,"service was just ok, it is not what you'd expect for $500.","Service,NULL","SERVICE,PRICES",service
439,CLF#3:4,i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,"Casa La Femme,Casa La Femme",PRICES,home|visit|diners|money|time
440,CLF#3:11,the place is beautiful!,place,AMBIENCE,place
441,CLF#3:13,"however, our $14 drinks were were horrible!","drinks,drinks","FOOD,PRICES",drinks
442,CLF#3:23,i would not expect this for a $55 dinner.,"dinner,dinner","FOOD,PRICES",dinner
443,CLF#3:28,"by the time we left our wallets were empy and so were our stomachs and we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!","food,NULL,NULL","FOOD,PRICES",food|good
444,CLF#3:29,if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible!,"meal,NULL","FOOD,PRICES",bill|dinner|portion|meal
445,CLF#3:30,"i have never left a restaurant feeling as if i was abused, and wasted my hard earned money.","restaurant,restaurant",PRICES,restaurant
446,BFC#9:21,"all in all the food was good - a little on the expensive side, but fresh.","food,food","FOOD,PRICES",food|good
447,BG#5:4,"i have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which i would expect at a upscale indian restaurant but this place doesn't have an upscale feel.","place,place,chicken tikka masala,feel","PRICES,PRICES,AMBIENCE",restaurant|price|place
448,BG#5:7,"but if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for indian food","Indian food,place","FOOD,PRICES",food|place
449,BG#8:3,the lunch buffet is expensive but is deff worth it.,"lunch buffet,lunch buffet","PRICES,FOOD",lunch|buffet
450,CLF#7:0,gorgeous place ideal for a romantic dinner,"place,place",AMBIENCE,place
451,DBG#7:5,too bad i had paid an extra $2 for the stone bowl.,stone bowl,PRICES,stone|bowl
452,Z#6:5,"my party had the bbe $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!","BBE $29 fixe prix menu,BBE $29 fixe prix menu","PRICES,FOOD",party|fixe|prix|menu|deal|flight|sake
453,Z#6:13,"maybe it was the great company (i had friends visiting from philly – yes, it was not a date this time) or the super reasonable price point, but i just can’t say enough good things about this brasserie.","brasserie,brasserie",PRICES,price|great|good
454,CLF#6:5,"they are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!","service,drinks,pita bread,NULL","SERVICE,PRICES,PRICES,SERVICE",service
455,DBG#6:7,"the meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.","meat,sauces,service,meal,kimchi,salad","FOOD,FOOD,SERVICE,FOOD,PRICES,PRICES",service|great|good
456,TR#5:6,"price is high but the food is good, so i would come back again.","food,food,NULL","FOOD,PRICES",price|food|good
457,FF#3:9,"i took one bite from the $24 salmon, and i have never, in the 17 years i have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in flatbush farms.","salmon,salmon","FOOD,PRICES",restaurant
458,CLF#4:12,the decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 frickin hours to come!!!!,"decor,eggplant,eggplant,NULL","AMBIENCE,FOOD,PRICES,SERVICE",decor|distraction|bucks|eggplant|frickin
459,BHD#4:5,only complaint is the pricing--i believe it would be more reasonable to pay a dollar less on each item listed on the menu.,menu,PRICES,complaint|pricing|item|menu
460,BFC#7:11,"considering you will spend at least $60 a head, i expect better service.","service,NULL","SERVICE,PRICES",service
461,BHD#8:1,"at first glance this place seems a bit pricey for a hot dog joint, but at bark you don't just get your average hot dog.","Bark,hot dog","PRICES,FOOD",price|place
462,CLF#8:9,can’t believe how an expensive nyc restaurant can be so disrespectful to its clients.,"restaurant,NULL","PRICES,SERVICE",restaurant
463,WE#1:3,"the bread was stale, the salad was overpriced and empty.","bread,salad,salad","FOOD,PRICES,FOOD",price
