,Review,Kategori,Polarity,Restaurant,preprocessed_sentence_lemma,preprocessed_sentence,aspect_prediction,opinion_term_prediction,entity_prediction
110,"We had 2 breakfast at Signature kempinsky Jakarta and we enjoyed the variety of foods and great hospitality, especially thanks to Kevin who served us very well","Food, Service","positive, positive",Signatures Restaurant,breakfast signature kempinsky jakarta enjoy variety food great hospitality especially thanks kevin serve us well,"we had NUM breakfast at signature kempinsky jakarta and we enjoyed the variety of foods and great hospitality , especially thanks to kevin who served us very well","[['breakfast', 'signature', 'kempinsky', 'jakarta', 'food', 'hospitality', 'thanks', 'kevin']]","[['enjoy', 'variety', 'great', 'well']]",['FOOD']
111,The staff here also very polite and nice! Glad to meet them @lisa and @kevin!!! Thank you for such an excellent service!!,Service,positive,Signatures Restaurant,staff also polite nice glad meet lisa kevinthank excellent service,the staff here also very polite and nice glad to meet them lisa and kevin thank you for such an excellent service,"[['staff', 'lisa', 'kevin', 'service']]","[['polite', 'nice', 'glad', 'thank', 'excellent']]",['SERVICE']
112,"food is Ok, not fantastic",Food,positive,Signatures Restaurant,food ok fantastic,"food is ok , not fantastic",[['food']],"[['ok', 'fantastic']]",['FOOD']
113,"However the service is excellent, especially Kevin & Agus who always greet me & my family nicely, like friends.",Service,positive,Signatures Restaurant,however service excellent especially kevin agus always greet family nicely like friend,"however the service is excellent , especially kevin agus who always greet me my family nicely , like friends .","[['service', 'kevin', 'agus', 'family']]","[['excellent', 'nicely']]",['SERVICE']
114, Food is not tasty and prices are high,"Food, Price","negative, negative",Signatures Restaurant,food tasty price high,food is not tasty and prices are high,"[['food'], ['price']]","[['tasty'], ['high']]","['FOOD', 'PRICE']"
115,Design looks good,Ambience,positive,Signatures Restaurant,design look good,design looks good,[['design']],[['good']],['AMBIENCE']
116,Seafood tastes fishy and not fresh,Food,negative,Signatures Restaurant,seafood taste fishy fresh,seafood tastes fishy and not fresh,"[['seafood'], ['taste']]","[['fishy'], ['fresh']]","['FOOD', 'FOOD']"
117,The steak was just alright but the sauce was awful,Food,negative,Signatures Restaurant,steak alright sauce awful,the steak was just alright but the sauce was awful,"[['steak', 'sauce'], ['sauce']]","[['alright', 'awful'], ['awful']]","['FOOD', 'FOOD']"
118," If I'm being polite, I'd say the grilled prawns were really bad",Food,negative,Signatures Restaurant,iam polite say grilled prawn really bad,"if iam being polite , i 'd say the grilled prawns were really bad","[['iam', 'prawn'], ['iam'], ['prawn']]","[['polite', 'grilled', 'bad'], ['polite'], ['grilled', 'bad']]","['FOOD', 'SERVICE', 'FOOD']"
119,The recommended barbecue sauce was terrible too,Food,negative,Signatures Restaurant,recommend barbecue sauce terrible,the recommended barbecue sauce was terrible too,"[['barbecue', 'sauce']]","[['recommend', 'terrible']]",['FOOD']
120, The texture of the prawn was bad and it had no taste whatsoever,Food,negative,Signatures Restaurant,texture prawn bad taste whatsoever,the texture of the prawn was bad and it had no taste whatsoever,"[['texture', 'prawn']]",[['bad']],['FOOD']
121,The service was so so bad and lousy,Service,negative,Signatures Restaurant,service bad lousy,the service was so so bad and lousy,[['service']],"[['bad', 'lousy']]",['SERVICE']
122,Services quite dispointing booked on june 8th 2016 for breakfasting on June 11 2016,Service,negative,Collage All Day Dining,service quite dispointing book june 8th breakfast june,services quite dispointing booked on june 8th NUM for breakfasting on june NUM NUM,"[['service', 'june', 'num']]",[['8th']],['SERVICE']
123,Staffs it self below service standard for 5 stars hotel not really friendly and attentive,Service,negative,Collage All Day Dining,staff self service standard star hotel really friendly attentive,staffs it self below service standard for NUM stars hotel not really friendly and attentive,"[['staff', 'self', 'service', 'standard', 'num', 'star', 'hotel']]","[['friendly', 'attentive']]",['SERVICE']
124,"This absolutely shows poor management and very poor customer service, considering it is a 5star hotel restaurant",Service,negative,Collage All Day Dining,absolutely show poor management poor customer service consider 5star hotel restaurant,"this absolutely shows poor management and very poor customer service , considering it is a 5star hotel restaurant","[['management', 'customer', 'service', 'hotel', 'restaurant']]",[['poor']],['SERVICE']
125,"The food is average and they do have variety of food range from Japanese food (sushi, sashimi, oden), Indonesia Food, Soup and soon",Food,negative,Collage All Day Dining,food average variety food range japanese food sushi sashimi oden indonesia food soup soon,"the food is average and they do have variety of food range from japanese food ( sushi , sashimi , oden ) , indonesia food , soup and soon","[['food'], ['food', 'range']]","[['average'], ['variety', 'japanese']]","['FOOD', 'FOOD']"
126,"The food here was ok, at this price range (before BCA credit card promo) it is acceptable","Food, Price","positive, positive",Collage All Day Dining,food ok price range bca credit card promo acceptable,"the food here was ok , at this price range ( before bca credit card promo ) it is acceptable","[['food', 'price', 'range', 'bca', 'credit', 'card', 'promo']]","[['ok', 'acceptable']]",['PRICE']
127,"But I do enjoy the grill section, excellent slow roast pork belly and red wine sauce, definitely the highlight of the day",Food,positive,Collage All Day Dining,enjoy grill section excellent slow roast pork belly red wine sauce definitely highlight day,"but i do enjoy the grill section , excellent slow roast pork belly and red wine sauce , definitely the highlight of the day","[['grill', 'section', 'roast', 'pork', 'belly', 'wine', 'sauce', 'highlight', 'day'], ['grill', 'section', 'roast', 'pork', 'belly', 'wine', 'sauce', 'highlight', 'day']]","[['enjoy', 'excellent', 'slow', 'red'], ['enjoy', 'excellent', 'slow', 'red']]","['FOOD', 'FOOD']"
128," It was very hard to find any servant around, can't find anyone to refill our mineral water, the tables were left dirty from plates, I even notice a guess already leaving for about 1 hours and they haven't clean up the table",Service,negative,Collage All Day Dining,hard find servant around canot find anyone refill mineral water table leave dirty plate even notice guess already leave hour havenot clean table,"it was very hard to find any servant around , ca not find anyone to refill our mineral water , the tables were left dirty from plates , i even notice a guess already leaving for about NUM hours and they have not clean up the table","[['anyone', 'mineral', 'water', 'table'], ['guess', 'table'], ['guess']]","[['dirty'], ['clean'], ['hard']]","['SERVICE', 'AMBIENCE', 'AMBIENCE']"
129,I've been here for lunch occasionally & always thought the food was pretty good,Food,positive,Al Nafoura Lebanese Restaurant,lunch occasionally always think food pretty good,i have been here for lunch occasionally always thought the food was pretty good,"[['lunch'], ['food']]","[['pretty'], ['good']]","['FOOD', 'FOOD']"
130,the quality of the food is mediocre,Food,negative,Al Nafoura Lebanese Restaurant,quality food mediocre,the quality of the food is mediocre,"[['quality', 'food']]",[['mediocre']],['FOOD']
131,The ambiance of the restaurant is very warm and cozy with rustic middle eastern decor and classical music.,Ambience,positive,Al Nafoura Lebanese Restaurant,ambiance restaurant warm cozy rustic middle eastern decor classical music,the ambiance of the restaurant is very warm and cozy with rustic middle eastern decor and classical music .,"[['ambiance', 'restaurant']]","[['warm', 'cozy', 'rustic', 'middle', 'eastern', 'classical']]",['AMBIENCE']
132,tiny portions and very expensive,"Food, Price","negative, negative",Al Nafoura Lebanese Restaurant,tiny portion expensive,tiny portions and very expensive,[['portion']],"[['tiny', 'expensive']]",['SERVICE']
133,Food was very inauthentic,Food,negative,Al Nafoura Lebanese Restaurant,food inauthentic,food was very inauthentic,[['food']],[['inauthentic']],['FOOD']
134,the service was excellent and the fresh juices were perfect,"Service, Food","positive, positive",Al Nafoura Lebanese Restaurant,service excellent fresh juice perfect,the service was excellent and the fresh juices were perfect,"[['service'], ['juice']]","[['excellent'], ['fresh', 'perfect']]","['SERVICE', 'FOOD']"
135,Ambience was great,Ambience,positive,Al Nafoura Lebanese Restaurant,ambience great,ambience was great,[['ambience']],[['great']],['AMBIENCE']
136,Portion size was really small,Food,negative,Al Nafoura Lebanese Restaurant,portion size really small,portion size was really small,"[['portion', 'size']]",[['small']],['SERVICE']
137,For 2 of us we paid 1.8 Million Rupiah and i felt shocked looking at the bill,Price,negative,Al Nafoura Lebanese Restaurant,us pay million rupiah felt shocked look bill,for NUM of us we paid NUM.NUM million rupiah and i felt shocked looking at the bill,"[['rupiah'], ['rupiah']]","[['shocked'], ['shocked']]","['PRICE', 'PRICE']"
138,"The lamb was nice,soft and juicy",Food,positive,Al Nafoura Lebanese Restaurant,lamb nice soft juicy,"the lamb was nice , soft and juicy","[['lamb', 'juicy']]","[['nice', 'soft']]",['FOOD']
139,the rice were too dry,Food,negative,Al Nafoura Lebanese Restaurant,rice dry,the rice were too dry,[['rice']],[['dry']],['FOOD']
140,"I tried the shawarma,it was also too dry and poor taste",Food,negative,Al Nafoura Lebanese Restaurant,try shawarma also dry poor taste,"i tried the shawarma , it was also too dry and poor taste","[['shawarma', 'taste']]","[['dry', 'poor']]",['FOOD']
141,The kibbe was too salty and dry,Food,negative,Al Nafoura Lebanese Restaurant,kibbe salty dry,the kibbe was too salty and dry,[['kibbe']],"[['salty', 'dry']]",['FOOD']
142,The quality of the beef / lamb in the mixed grill was poor though the chicken was ok and the garlic sauce was good,Food,negative,Al Nafoura Lebanese Restaurant,quality beef lamb mixed grill poor though chicken ok garlic sauce good,the quality of the beef lamb in the mixed grill was poor though the chicken was ok and the garlic sauce was good,"[['quality', 'beef', 'lamb', 'grill', 'chicken', 'garlic', 'sauce'], ['chicken'], ['garlic', 'sauce']]","[['mixed', 'poor', 'ok', 'good'], ['ok'], ['good']]","['FOOD', 'FOOD', 'FOOD']"
143," The Indian food was cold ( even samosa and chicken tikka), tom-yum is too hot, cakes are cut in pieces and put on the cold display ( obvious leftovers), fruit station -all watery and no taste ( 100% sure from the breakfast)",Food,negative,Café Gran Via,indian food cold even samosa chicken tikka tom yum hot cake cut piece put cold display obvious leftover fruit station watery taste sure breakfast,"the indian food was cold ( even samosa and chicken tikka ) , tom-yum is too hot , cakes are cut in pieces and put on the cold display ( obvious leftovers ) , fruit station -all watery and no taste ( NUM sure from the breakfast )","[['food'], ['tom-yum'], ['tom-yum']]","[['indian', 'cold', 'hot', 'obvious', 'watery'], ['hot', 'cold', 'obvious'], ['hot']]","['FOOD', 'FOOD', 'FOOD']"
144,Personnel was slow with empty/ used plates removal,Service,negative,Café Gran Via,personnel slow empty use plate removal,personnel was slow with empty/ used plates removal,"[['personnel', 'removal']]","[['slow', 'empty']]",['SERVICE']
145,"Ambiance of Gran Via after the renovation is huge plus - all shiny, new and in luxury brown pallet, but if you come to have lunch the nice decor will not save the day as the food quality is less than satisfactory","Ambience, Food","positive, negative",Café Gran Via,ambiance gran via renovation huge plus shiny new luxury brown pallet come lunch nice decor save day food quality less satisfactory,"ambiance of gran via after the renovation is huge plus - all shiny , new and in luxury brown pallet , but if you come to have lunch the nice decor will not save the day as the food quality is less than satisfactory","[['ambiance', 'gran', 'renovation', 'pallet', 'lunch', 'decor', 'day', 'food', 'quality'], ['renovation'], ['lunch', 'decor', 'day', 'food'], ['decor', 'day']]","[['huge', 'shiny', 'new', 'luxury', 'brown', 'nice', 'less', 'satisfactory'], ['huge'], ['nice'], ['nice']]","['AMBIENCE', 'SERVICE', 'FOOD', 'AMBIENCE']"
146,Overall the food was great,Food,positive,Sana Sini Restaurant,overall food great,overall the food was great,[['food']],[['great']],['FOOD']
147,The seafood was not fresh enough and the steak was like a rubber,Food,negative,Sana Sini Restaurant,seafood fresh enough steak like rubber,the seafood was not fresh enough and the steak was like a rubber,"[['seafood'], ['steak']]","[['fresh', 'enough', 'like'], ['enough']]","['FOOD', 'FOOD']"
148,The service also very poor,Service,negative,Sana Sini Restaurant,service also poor,the service also very poor,[['service']],[['poor']],['SERVICE']
149,The food also poor,Food,negative,Sana Sini Restaurant,food also poor,the food also poor,[['food']],[['poor']],['FOOD']
150,"All foods are taste excellent, everything is in good place and fresh",Food,positive,Sana Sini Restaurant,food taste excellent everything good place fresh,"all foods are taste excellent , everything is in good place and fresh",[['food']],"[['excellent', 'good', 'fresh']]",['FOOD']
151,Thank you Mr. Deni for your BAD Service,Service,negative,Sana Sini Restaurant,thank mr deni bad service,thank you mr. deni for your bad service,"[['deni', 'service']]",[['bad']],['SERVICE']
152,"Nonetheless the waiters and personnel there are very courteous, friendly and sincere",Service,positive,Sana Sini Restaurant,nonetheless waiter personnel courteous friendly sincere,"nonetheless the waiters and personnel there are very courteous , friendly and sincere","[['waiter', 'personnel']]","[['courteous', 'friendly', 'sincere']]",['SERVICE']
153,"The decor and the setting is not too bad, especially after a tired day's out",Ambience,positive,Sana Sini Restaurant,decor setting bad especially tired day,"the decor and the setting is not too bad , especially after a tired day is out","[['decor', 'setting', 'day'], ['day']]","[['bad', 'tired'], ['tired']]","['AMBIENCE', 'AMBIENCE']"
154,This has left a bitter taste in my dining experience,Food,negative,Sana Sini Restaurant,leave bitter taste dining experience,this has left a bitter taste in my dining experience,"[['taste', 'dining', 'experience']]",[['bitter']],['AMBIENCE']
155,The staffs are incredibly friendly and helpful and you can't help to think you'll have a great time,Service,positive,Sana Sini Restaurant,staff incredibly friendly helpful canot help think great time,the staffs are incredibly friendly and helpful and you ca not help to think you 'll have a great time,"[['staff'], ['time'], ['time']]","[['incredibly', 'friendly', 'helpful'], ['great'], ['great']]","['SERVICE', 'AMBIENCE', 'AMBIENCE']"
156,"However, every bite of anything tasted nothing else but blandness",Food,negative,Sana Sini Restaurant,however every bite anything taste nothing else blandness,"however , every bite of anything tasted nothing else but blandness","[['bite', 'anything']]",[['else']],['SERVICE']
157,This is a fairly average buffet and the quality is somewhat below the best hotel buffets in Jakarta,Food,negative,Sana Sini Restaurant,fairly average buffet quality somewhat best hotel buffet jakarta,this is a fairly average buffet and the quality is somewhat below the best hotel buffets in jakarta,"[['buffet', 'quality', 'hotel', 'jakarta']]","[['fairly', 'average', 'best']]",['AMBIENCE']
158,"he thing that really annoyed me, though, was being told that we would have to pay for drinking water whereas they were seemingly giving it to some diners for free",Food,negative,Sana Sini Restaurant,thing really annoy though tell would pay drinking water whereas seemingly give diner free,"he thing that really annoyed me , though , was being told that we would have to pay for drinking water whereas they were seemingly giving it to some diners for free","[['drinking', 'water', 'diner']]","[['annoy', 'free']]",['SERVICE']
159,The ambience of the restaurant is good though and they had some nice cheeses and sushi.,"Ambience, Food","positive, positive",Sana Sini Restaurant,ambience restaurant good though nice cheese sushi,the ambience of the restaurant is good though and they had some nice cheeses and sushi .,"[['ambience', 'restaurant'], ['cheese', 'sushi']]","[['good'], ['nice']]","['AMBIENCE', 'FOOD']"
160," Sushi and Sashimi Platter (forgot the exact name), it was good, nice to try but dont think to say WOW",Food,positive,Sana Sini Restaurant,sushi sashimi platter forget exact name good nice try think say wow,"sushi and sashimi platter ( forgot the exact name ) , it was good , nice to try but do not think to say wow","[['platter', 'name'], ['platter', 'name']]","[['exact', 'good', 'nice'], ['exact', 'good', 'nice']]","['AMBIENCE', 'AMBIENCE']"
161,The food was very nice but the waiter and server are not nice,"Food, Service","positive, negative",Sana Sini Restaurant,food nice waiter server nice,the food was very nice but the waiter and server are not nice,"[['food', 'waiter', 'server'], ['waiter', 'server']]","[['nice'], ['nice']]","['SERVICE', 'SERVICE']"
162, The dirty plates arent removed quickly till our tables are piled high with plates (yes we eat a lot but we want to try the varies menus),Service,negative,Sana Sini Restaurant,dirty plate arent remove quickly till table pile high plate yes eat lot want try vary menu,the dirty plates arent removed quickly till our tables are piled high with plates ( yes we eat a lot but we want to try the varies menus ),"[['table', 'lot', 'menu']]",[['high']],['AMBIENCE']
163, Ramadan themed menu was catastrophic,Food,negative,Sana Sini Restaurant,ramadan theme menu catastrophic,ramadan themed menu was catastrophic,"[['ramadan', 'menu'], ['menu']]","[['catastrophic'], ['catastrophic']]","['AMBIENCE', 'AMBIENCE']"
164,I have to admit that the food variety is excellent,Food,positive,Sana Sini Restaurant,admit food variety excellent,i have to admit that the food variety is excellent,"[['food'], ['food']]","[['variety', 'excellent'], ['variety', 'excellent']]","['FOOD', 'FOOD']"
165,And taste good as well,Food,positive,Sana Sini Restaurant,taste good well,and taste good as well,[],[],[]
166," But when it come to services, it is not that excellent",Service,negative,Sana Sini Restaurant,come service excellent,"but when it come to services , it is not that excellent",[['service']],[['excellent']],['SERVICE']
167,All the food is under average,Food,negative,Sana Sini Restaurant,food average,all the food is under average,[],[],[]
168, It's not worth the price at all,Price,negative,Sana Sini Restaurant,worth price,it is not worth the price at all,[['price']],[['worth']],['PRICE']
169,"I always like sana sini restaurant for the food and services, this time tried for breakfast, the food still good but service to be improved, they offered with coffee or tea but never come back again, also the egg... my order was never delivered...","Food, Service","positive, negative",Sana Sini Restaurant,always like sana sini restaurant food service time try breakfast food still good service improve offer coffee tea never come back also eggmy order never deliver,"i always like sana sini restaurant for the food and services , this time tried for breakfast , the food still good but service to be improved , they offered with coffee or tea but never come back again , also the egg ... my order was never delivered ...","[['sana', 'sini', 'restaurant', 'food', 'service', 'time', 'breakfast', 'coffee', 'tea', 'egg', 'order']]","[['like', 'good', 'improve']]",['SERVICE']
170,"Nice service, excellent service",Service,positive,Sana Sini Restaurant,nice service excellent service,"nice service , excellent service",[['service']],"[['nice', 'excellent']]",['SERVICE']
171, But the staff was very helpful and they made me happy at the end,Service,positive,Sana Sini Restaurant,staff helpful make happy end,but the staff was very helpful and they made me happy at the end,[['staff']],[['helpful']],['SERVICE']
172,The ambience is really nice with excellence service,"Ambience, Service","positive, positive",Sana Sini Restaurant,ambience really nice excellence service,the ambience is really nice with excellence service,[['ambience']],"[['nice', 'excellence']]",['AMBIENCE']
173,"I tried most of them, and my favorite ones were soto ayam (chicken soup) and chi kut tea herbal soup",Food,positive,Sana Sini Restaurant,try favorite one soto ayam chicken soup chi kut tea herbal soup,"i tried most of them , and my favorite ones were soto ayam ( chicken soup ) and chi kut tea herbal soup","[['one', 'ayam', 'chicken', 'soup', 'chi', 'kut', 'tea']]","[['favorite', 'soto', 'herbal']]",['FOOD']
174,My favorite is grilled chicken,Food,positive,Sana Sini Restaurant,favorite grilled chicken,my favorite is grilled chicken,[['chicken']],"[['favorite', 'grilled']]",['FOOD']
175,And that tempe ice cream is also good,Food,positive,Sana Sini Restaurant,tempe ice cream also good,and that tempe ice cream is also good,"[['tempe', 'ice', 'cream']]",[['good']],['FOOD']
176,"The buffet had a broad range of choices, well stocked, great variety from several nations including Western and Asian dishes",Food,positive,Sana Sini Restaurant,buffet broad range choice well stock great variety several nation include western asian dish,"the buffet had a broad range of choices , well stocked , great variety from several nations including western and asian dishes","[['buffet', 'range', 'choice', 'nation', 'dish']]","[['broad', 'well', 'great', 'variety', 'several', 'western', 'asian']]",['FOOD']
177,"The dishes were well made, high quality and constantly restocked",Food,positive,Sana Sini Restaurant,dish well make high quality constantly restock,"the dishes were well made , high quality and constantly restocked",[['dish']],"[['well', 'high']]",['FOOD']
178,The restaurant has some nice tables by the window for daylight as well as elsewhere,Ambience,positive,Sana Sini Restaurant,restaurant nice table window daylight well elsewhere,the restaurant has some nice tables by the window for daylight as well as elsewhere,"[['restaurant', 'table', 'window', 'daylight']]","[['nice', 'well']]",['AMBIENCE']
179,The staff is very attentive to my needs and always give an extra mile to make me feel special,Service,positive,Sana Sini Restaurant,staff attentive need always give extra mile make feel special,the staff is very attentive to my needs and always give an extra mile to make me feel special,"[['staff', 'mile']]","[['attentive', 'extra', 'special']]",['SERVICE']
180,"Service was pretty good, food was okay","Service, Food","positive, positive",Sana Sini Restaurant,service pretty good food okay,"service was pretty good , food was okay","[['service'], ['food']]","[['pretty', 'good', 'okay'], ['okay']]","['SERVICE', 'FOOD']"
181,The staff is adequate to the local and also the prices,Service,positive,Sana Sini Restaurant,staff adequate local also price,the staff is adequate to the local and also the prices,[['staff']],"[['adequate', 'local']]",['SERVICE']
182,"The buffet is really rich and I had the opportunity to choose several pieces of sushi and sashimi, prepared with care and of excellent quality",Food,positive,Sana Sini Restaurant,buffet really rich opportunity choose several piece sushi sashimi prepare care excellent quality,"the buffet is really rich and i had the opportunity to choose several pieces of sushi and sashimi , prepared with care and of excellent quality",[['buffet']],[['rich']],['FOOD']
183," The interior is very bright and pleasing, the service is excellent","Ambience, Service","positive, positive",Sana Sini Restaurant,interior bright please service excellent,"the interior is very bright and pleasing , the service is excellent","[['interior'], ['service']]","[['bright', 'pleasing', 'excellent'], ['excellent']]","['AMBIENCE', 'SERVICE']"
184,Terribly Taste and Service Not Good,"Food, Service","positive, negative",OKU,terribly taste service good,terribly taste and service not good,"[['taste'], ['service']]","[['terribly'], ['good']]","['FOOD', 'SERVICE']"
185,Long waiting and inefficient booking system,Service,negative,OKU,long wait inefficient book system,long waiting and inefficient booking system,[['system']],[['inefficient']],['SERVICE']
186,"The chef is on holiday, and the food is no at standard and the manager also on leave",Food,negative,OKU,chef holiday food standard manager also leave,"the chef is on holiday , and the food is no at standard and the manager also on leave","[['chef', 'food', 'manager']]",[['standard']],['FOOD']
187,The food is awfull we spend 6.8 million and the staf is not responding to our complain its very unJapanese just go somewhere else,"Food, Service","negative, negative",OKU,food awfull spend million staf respond complain unjapanese go somewhere else,the food is awfull we spend NUM.NUM million and the staf is not responding to our complain its very unjapanese just go somewhere else,"[['food', 'awfull', 'staf'], ['staf']]","[['complain', 'unjapanese'], ['complain', 'unjapanese']]","['FOOD', 'SERVICE']"
188, the food is absolutley divine and unfortunately that is the only positive thing we can say about OKU,Food,positive,OKU,food absolutley divine unfortunately positive thing say oku,the food is absolutley divine and unfortunately that is the only positive thing we can say about oku,[['food']],"[['absolutley', 'divine', 'unfortunately', 'positive']]",['FOOD']
189,Not sure if we will be back as it is a lot to pay for this poor level of service,Service,negative,OKU,sure back lot pay poor level service,not sure if we will be back as it is a lot to pay for this poor level of service,"[['lot', 'level', 'service'], ['lot', 'level', 'service']]","[['poor'], ['poor']]","['SERVICE', 'SERVICE']"
190,We ordered the truffle gyu don bento set and were sorely disappointed,Food,negative,OKU,order truffle gyu bento set sorely disappointed,we ordered the truffle gyu don bento set and were sorely disappointed,"[['truffle', 'gyu', 'set'], ['truffle', 'gyu', 'set']]","[['bento', 'sorely', 'disappointed'], ['bento', 'sorely', 'disappointed']]","['PRICE', 'PRICE']"
191,The beef was a little over cooked and the lack of truffle smell was quite noticeable,Food,negative,OKU,beef little cook lack truffle smell quite noticeable,the beef was a little over cooked and the lack of truffle smell was quite noticeable,"[['beef', 'little', 'truffle']]","[['lack', 'smell', 'noticeable']]",['FOOD']
192,Service was also sorely lacking,Service,negative,OKU,service also sorely lack,service was also sorely lacking,[['service']],"[['sorely', 'lack']]",['SERVICE']
193,The teriyaki chicken don wasn't bad as well.,Food,positive,OKU,teriyaki chicken wasnot bad well,the teriyaki chicken don was not bad as well .,"[['teriyaki', 'chicken']]","[['bad', 'well']]",['FOOD']
194,The service however was simply terrible,Service,negative,OKU,service however simply terrible,the service however was simply terrible,[['service']],[['terrible']],['SERVICE']
195,"All in all, average food and terribly arrogant service",Service,negative,OKU,average food terribly arrogant service,"all in all , average food and terribly arrogant service","[['food', 'service']]","[['average', 'terribly', 'arrogant']]",['SERVICE']
196,"If the taste and quality had been up to par, then the tiny portions and huge prices would have been bearable","Food, Price","negative, negative",OKU,taste quality par tiny portion huge price would bearable,"if the taste and quality had been up to par , then the tiny portions and huge prices would have been bearable","[['taste', 'quality', 'portion', 'price']]","[['tiny', 'huge', 'bearable']]",['PRICE']
197, The chicken terriyaki was terrible,Food,negative,OKU,chicken terriyaki terrible,the chicken terriyaki was terrible,"[['chicken', 'terriyaki']]",[['terrible']],['FOOD']
198,"The food was innovative, classic, yet modern at the same time",Food,positive,OKU,food innovative classic yet modern time,"the food was innovative , classic , yet modern at the same time",[['food']],"[['innovative', 'classic', 'modern', 'same']]",['FOOD']
199,"While the food was good, it was not a fine dining restaurant, even by the admission of my waitstaff when I was discussing.",Food,negative,OKU,food good fine dining restaurant even admission waitstaff discuss,"while the food was good , it was not a fine dining restaurant , even by the admission of my waitstaff when i was discussing .","[['food', 'dining', 'restaurant', 'admission', 'waitstaff'], ['food']]","[['good', 'fine'], ['good']]","['AMBIENCE', 'FOOD']"
200,"Awesome food, nice place, friendly server, but the food a bit pricey","Food, Service, Ambience, Price","positive, positive,  positive, negative",OKU,awesome food nice place friendly server food bit pricey,"awesome food , nice place , friendly server , but the food a bit pricey","[['food', 'place', 'server']]","[['awesome', 'nice', 'friendly', 'pricey']]",['SERVICE']
201,Love the ambience,Ambience,positive,OKU,love ambience,love the ambience,[['ambience']],[['love']],['AMBIENCE']
202,the staff were so nice,Service,positive,OKU,staff nice,the staff were so nice,[['staff']],[['nice']],['SERVICE']
203,Nice atmosphere and welcome,Ambience,positive,OKU,nice atmosphere welcome,nice atmosphere and welcome,[['atmosphere']],"[['nice', 'welcome']]",['AMBIENCE']
204,excellent food,Food,positive,OKU,excellent food,excellent food,[['food']],[['excellent']],['FOOD']
205,a good place for lunch and dinner,Ambience,positive,OKU,good place lunch dinner,a good place for lunch and dinner,"[['place', 'lunch', 'dinner']]",[['good']],['AMBIENCE']
206, The food is cooked very well,Food,positive,OKU,food cook well,the food is cooked very well,[['food']],[['well']],['FOOD']
207,served elegantly but the taste is complex,Service,positive,OKU,serve elegantly taste complex,served elegantly but the taste is complex,[['taste']],[['complex']],['FOOD']
208,Service was superb,Service,positive,OKU,service superb,service was superb,[['service']],[['superb']],['SERVICE']
209,Ambience is nice,Ambience,positive,OKU,ambience nice,ambience is nice,[['ambience']],[['nice']],['AMBIENCE']
210,"Overall everything in OKU is perfect! If you’re looking for authentic japanese cuisine, you have to try them",Food,positive,OKU,overall everything oku perfect look authentic japanese cuisine try,"overall everything in oku is perfect if you ’ re looking for authentic japanese cuisine , you have to try them",[['oku']],"[['overall', 'perfect', 'authentic', 'japanese']]",['FOOD']
211,They give you fresh salmon with the perfect amount of rice in their sushi,Food,positive,OKU,give fresh salmon perfect amount rice sushi,they give you fresh salmon with the perfect amount of rice in their sushi,"[['salmon', 'amount', 'rice', 'sushi']]","[['fresh', 'perfect']]",['FOOD']
212, Their medium well beef is perfectly cook,Food,positive,OKU,medium well beef perfectly cook,their medium well beef is perfectly cook,"[['medium', 'beef']]","[['well', 'perfectly']]",['FOOD']
213,Their salmon teriyaki is also good,Food,positive,OKU,salmon teriyaki also good,their salmon teriyaki is also good,"[['salmon', 'teriyaki']]",[['good']],['FOOD']
214,The ambience is soo japanese 5 star restaurant. Very clean and calm.,Ambience,positive,OKU,ambience soo japanese star restaurant clean calm,the ambience is soo japanese NUM star restaurant . very clean and calm .,"[['ambience', 'star', 'restaurant']]","[['soo', 'japanese']]",['AMBIENCE']
215,"For the prices, they quite expensive, but for me, its worth it",Price,positive,OKU,price quite expensive worth,"for the prices , they quite expensive , but for me , its worth it",[['price']],"[['expensive', 'worth']]",['PRICE']
216,"The ambience is very good, perfect for family dinner or special event for couple",Ambience,positive,OKU,ambience good perfect family dinner special event couple,"the ambience is very good , perfect for family dinner or special event for couple","[['ambience', 'event']]","[['good', 'perfect', 'special']]",['AMBIENCE']
217,"The foods are very good, one that amazes me is the black Chicken Karage",Food,positive,OKU,food good one amaze black chicken karage,"the foods are very good , one that amazes me is the black chicken karage","[['food', 'chicken', 'karage'], ['chicken', 'karage']]","[['good', 'amaze', 'black'], ['black']]","['FOOD', 'FOOD']"
218,"The taste is super unique and I never tasted anything like it before, very highly recommended!",Food,positive,OKU,taste super unique never taste anything like highly recommend,"the taste is super unique and i never tasted anything like it before , very highly recommended","[['taste', 'anything']]","[['super', 'unique', 'like', 'recommend']]",['FOOD']
219, Lastly the service is very professional and kind @Agus,Service,positive,OKU,lastly service professional kind agus,lastly the service is very professional and kind agus,"[['service'], ['agus']]","[['professional'], ['kind']]","['SERVICE', 'AMBIENCE']"
220,The katsu is too greasy so at first couldnt even taste the beef at all,Food,negative,Kahyangan Restaurant,katsu greasy first couldnt even taste beef,the katsu is too greasy so at first couldnt even taste the beef at all,"[['katsu', 'beef']]","[['greasy', 'first']]",['FOOD']
221,"Anyway bottom line, not worth the money, use the money to go to Bali instea",Price,negative,Kahyangan Restaurant,anyway bottom line worth money use money go bali instea,"anyway bottom line , not worth the money , use the money to go to bali instea","[['line', 'money', 'instea']]","[['bottom', 'worth']]",['PRICE']
