,index,sentence,lambda,raw_aspect,aspect,sentiment
119,146,has 4x optical zoom which is higher than any other in the same price range . ,"has_VB_N_0(seq(4x_NN_N_0,zoom_NN_N_0))",[],[],[]
120,147,it is generally overpriced a little bit but you get what you are paying for . ,"CC(get_VB_N_0(\x.are_VB_N_0(paying_VB_N_0(\x.x),x,you_PRP_N_0),you_PRP_N_0),bit_NN_N_0(\X.overpriced_VB_Ne_1(X),it_PRP_N_0))",[],[],[]
121,150,"sure it had all the features , but when i tried to shoot a girl 's basketball game it just wan't up to the task . ","CC(tried_VB_N_0(shoot_VB_N_0(girl+basketball+game_NN_N_0),i_FW_N_0,task_NN_N_0(\X.wanot_VB_N_0(X),it_PRP_N_0)),had_VB_N_0(features_NNS_N_0,it_PRP_N_0))",[],[],[]
122,151,i do n't think i was asking too much . ,"think_VB_N_0(was_VB_N_0(asking_VB_N_0(much_RB_N),i_FW_N_0),i_LS_N_0)",[],[],[]
123,152,any film zoom p and s would have given superior results with a minimal effort . ,"have_VB_N_0(effort_NN_N_0(given_VB_N_0(results_NNS_P_1)),film_NN_N_0(zoom_NN_N_0(CC(s_NNS_N_0,p_NN_N_0))))",[],[],[]
124,153,and with the 500 you save you could print the results for the life of the camera . ,"CC(save_VB_N_0(\x.x,you_PRP_N_0,print_VB_N_0(seq(life_NN_N_0,results_NNS_N_0),you_PRP_N_0)))",[],[],[]
125,154,i found that low light situations combined with any sort of action left this camera in the dust . ,"found_VB_N_0(dust_NN_Ne_1(left_VB_N_0(camera_NN_N_0),combined_VB_N_0(sort_NN_N_0,situations_NNS_N_0)),i_LS_N_0)",['dust_NN_Ne_1'],['dust'],[0]
126,155,i wanted it to shoot concerts as well . ,"wanted_VB_N_0(it_PRP_N_0,shoot_VB_N_0(concerts_NNS_N_0),i_LS_N_0)",[],[],[]
127,156,that meant even less light and just as much action . ,"meant_VB_N_0(CC(action_NN_N_0,light_JJ_N_0),\x.x)",[],[],[]
128,157,"sure , i adjusted the film speed to 400 . ","adjusted_VB_N_0(film+speed_NN_N_0,i_FW_N_0)",[],[],[]
129,159,next time i set it at 100 and used the flash . ,"time_NN_N_0(CC(used_VB_N_0(flash_NN_N_0),set_VB_N_0(it_PRP_N_0),i_FW_N_0))",[],[],[]
130,161,"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome . ","CC(moving_VB_N_0(objects_NNS_N_0),plenty_NN_N_0(took_VB_N_0(photos_NNS_N_0),i_FW_N_0),photos_NNS_P_1)",[],[],[]
131,162,the camera was a marvel . ,"was_VB_N_0(\X.marvel_VB_P_1(X),camera_NN_N_0)",[],[],[]
132,163,getting the printer to help output them was another tale . ,"was_VB_N_0(tale_NN_N_0,getting_VB_N_0(printer_NN_N_0,help_VB_N_0(output_NN_N_0(them_PRP_N_0))))",[],[],[]
133,164,overall i think that you need to consider what you wan't to do . ,"overall_JJ_N_0(think_VB_N_0(need_VB_N_0(consider_VB_N_0(\x.wanot_VB_N_0(\X.do_VB_N_0(X),x,you_PRP_N_0)),you_PRP_N_0),i_FW_N_0))",[],[],[]
134,165,"for simple point and shoot photography , consider a cheaper digital . ","CC(shoot_VB_N_0(photography_NN_P_1),point_NN_N_0)",['photography_NN_P_1'],['photography'],[1]
135,166,you do n't need the extra resolution or the cost . ,"need_VB_N_0(CC(cost_NN_N_0,resolution_NN_N_0),you_PRP_N_0)",[],[],[]
136,167,then again a one time use camera may do just as well . ,"use_NN_N_0(do_VB_N_0(camera_NN_N_0),time_NN_N_0)",[],[],[]
137,168,"if you shoot in lots of light and desire high quality , this will be your camera . ","CC(seq(desire_NN_N_0,quality_NN_N_0),lots_NNS_N_0(\X.shoot_VB_N_0(X)),you_PRP_N_0,be_VB_N_0(camera_NN_N_0,\x.x))",[],[],[]
138,169,it is versatile and seems to be one of the best . ,"CC(seems_VB_N_0(be_VB_N_0(\x.x)),versatile_JJ_P_1,it_PRP_N_0)",[],[],[]
139,170,"me , i am going with a leica minilux ( the g3 was replacing mine which was stolen ) . ","was_VB_N_0(replacing_VB_N_0(was_VB_N_0(\X.stolen_VB_Ne_1(X),mine_NN_N_0)),am_VB_N_0(seq(g3_NN_N_0,leica+minilux_NN_N_0,\X.going_VB_N_0(X)),me_PRP_N_0,i_FW_N_0))",[],[],[]
140,171,sure . ,fail_RB_N,[],[],[]
141,172,"it is less versatile , but i am never disappointed with the output . ","CC(disappointed_VB_P_1(output_NN_N_0,i_FW_N_0),versatile_JJ_P_1(it_PRP_N_0))",[],[],[]
142,173,"i am a long-time user of highly responsive film slrs and professional quality external flash equipment , just so you know my bias . ","know_VB_N_0(bias_NN_Ne_1,you_PRP_N_0,am_VB_N_0(user_NN_N_0),i_LS_N_0)",['bias_NN_Ne_1'],['bias'],[0]
143,174,"i have been watching the development of digicams for years , waiting to make my first move . ","have_VB_N_0(been_VB_N_0(waiting_VB_N_0(make_VB_N_0(move_NN_N_0),years_NNS_N_0,watching_VB_N_0(development_NN_N_0))),i_LS_N_0)",[],[],[]
144,175,"what i really want is a $ 1,500 digital slr with a full frame sensor that will take my nikon lenses . ","is_VB_N_0(take_VB_N_0(seq(nikon_NN_N_0,lenses_NNS_N_0),frame+sensor_NN_N_0,slr_NN_N_0),\x.want_VB_N_0(x,i_FW_N_0))",[],[],[]
145,177,hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations . ,"have_VB_N_0(let_VB_N_0(me_PRP_N_0,get_VB_N_0(limitations_NNS_N_0),features_NNS_N_0),\x.x,pointandshoot+digicam_NN_N_0,decided_VB_N_0(\X.spring_VB_N_0(X)),i_FW_N_0)",[],[],[]
146,178,"i chose the g3 because of its reputation for very high quality , clean images . ","chose_VB_N_0(g3_NN_N_0,i_LS_N_0)",[],[],[]
147,180,"as of this writing , technology has not solved the focus-lock lag time problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film slr . ","CC(used_VB_N_0(film+slr_NN_P_1,is_VB_N_0(satisfied_VB_P_1(it_PRP_N_0),anyone_NN_N_0)),solved_VB_N_0(seq(pointandshoot_NN_N_0,digicams_NNS_N_0,seq(focuslock_NN_N_0,lag+time+problem_NN_N_0)),\x.x))",['film+slr_NN_P_1'],['film slr'],[1]
148,181,"at least once youve got focus lock , the shutter release lag time for the g3 is about 1/10 of a second , which from what ive read , is better than just about anything else available . ","got_VB_N_0(focus_NN_N_0,seq(lock_NN_N_0,shutter+release_NN_N_0),youve_NN_N_0,is_VB_N_0(\x.x,seq(g3_NN_N_0,lag+time_NN_N_0)))",[],[],[]
149,182,what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . ,"CC(f8_NN_N_0(shoot_VB_N_0(digicams_NNS_N_0)),is_VB_N_0(depth_NN_P_1),makes_VB_N_0(focuslock+lag+time_NN_N_0,live_VB_N_0(\x.x,something_NN_N_0,i_FW_N_0)))",['depth_NN_P_1'],['depth'],[1]
150,184,now what about the flash problem ? ,\x.x,[],[],[]
151,186,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 . ","CC(me_PRP_N_0(owned_VB_N_0(\x.x,i_FW_N_0)),has_VB_N_0(take_VB_N_0(flash_NN_N_0,shoe_NN_P_1),g3_NN_N_0))",['shoe_NN_P_1'],['shoe'],[1]
152,188,"for those who have this metz flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz module you need is the sca 3102 and the connector cord is the sca 3000c . ","CC(like_VB_P_1(get_VB_N_0(quality_NN_N_0)),have_VB_N_0(CC(45cl3_NN_N_0,metz+flash_NN_N_0)),\x.x,CC(is_VB_N_0(sca_NN_N_0(\x.x),connector+cord_NN_N_0),is_VB_N_0(sca_NN_N_0(\x.x),need_VB_N_0(metz+module_NN_N_0,you_PRP_N_0))))",[],[],[]
153,189,"in order for this to work , you have to set the camera to manual mode and set the shutter speed and f-stop yourself . ","work_VB_P_1(order_NN_N_0,have_VB_N_0(CC(set_VB_N_0(shutter+speed_NN_N_0),mode_NN_N_0(set_VB_N_0(camera_NN_N_0))),you_PRP_N_0))",[],[],[]
154,190,"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon . ","does_VB_N_0(seq(canon_NN_N_0,flashes_NNS_P_1,\X.does_VB_N_0(X),it_PRP_N_0,sync_NN_N_0(\x.x)),contrary_JJ_N_0(\x.read_VB_N_0(x,ive_RB_N)))",[],[],[]
155,191,"you also have to set the g3 to second shutter sync , which is what youd want to do most of the time anyhow . ","have_VB_N_0(set_VB_N_0(seq(g3_NN_N_0,shutter+sync_NN_N_0)),you_PRP_N_0)",[],[],[]
156,192,"then just forget about all the controls you have on the metz flash head itself and the sca 3102 control panel , because they are all ignored . ","are_VB_N_0(\x.x,\X.ignored_VB_N_0(X),they_PRP_N_0,forget_VB_N_0(CC(seq(sca_NN_N_0,control+panel_NN_N_0),itself_PRP_N_0(metz+flash+head_NN_N_0,\X.have_VB_N_0(X),controls_NNS_N_0,you_PRP_N_0))),just_RB_N)",[],[],[]
157,193,"the g3 completely takes over controlling the duration of the metz flash , and most of the time , the exposure is spot on and when it isnt , its because youve exceeded the range of the metz flash itself . ","takes_VB_N_0(controlling_VB_N_0(duration_NN_N_0),g3_NN_N_0)",[],[],[]
158,194,"this might happen if you get too close to the subject and you are not bounce-flashing , or if you are bounce flashing and the walls are simply too far away . ","CC(CC(\x.x,are_VB_N_0(bounce_VB_N_0(\X.flashing_VB_N_0(X)),you_PRP_N_0)),CC(bounceflashing_VB_N_0(you_PRP_N_0),seq(close_JJ_N_0,subject_JJ_N_0,you_PRP_N_0)),\X.happen_VB_N_0(X),\x.x)",[],[],[]
159,196,the second problem is solved by more direct lighting from the metz ( with the attendant shadows unfortunately ) . ,"is_VB_N_0(shadows_NNS_N_0(seq(metz_NN_N_0,lighting_NN_N_0),\X.solved_VB_N_0(X)),problem_NN_N_0)",[],[],[]
160,197,"but once youve got your exposure within an acceptable range , the g3 is shown to produce utterly stunning images that i can hardly get with my nikon f100 film camera . ","CC(range_NN_N_0(got_VB_N_0(exposure_NN_N_0),youve_NN_N_0,is_VB_N_0(shown_VB_N_0(produce_VB_N_0(seq(nikon_NN_N_0,f100+film+camera_NN_N_0,\X.get_VB_N_0(X),images_NNS_P_2,i_FW_N_0))),g3_NN_N_0)))",[],[],[]
161,199,the results are shadow-free images that look as if theyve been exposed with the gentlest natural light you could imagine . ,"are_VB_N_0(look_VB_N_0(images_NNS_N_0),results_NNS_N_0)",[],[],[]
162,200,"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 ! ","CC(was_VB_N_0(replace_VB_N_0(mbyte+cf_NN_N_0,gives_VB_N_0(me_PRP_N_0,opposed_VB_N_0(images_NNS_N_0),mbyte+cf_NN_N_0)),did_VB_N_0(thing_NN_N_0,i_FW_N_0)),CC(is_VB_N_0(processing_VB_N_0(image+mode_NN_N_0(\X.shoot_VB_N_0(X),images_NNS_N_0,i_FW_N_0),comes_VB_N_0(it_PRP_N_0),software_NN_N_0),\x.x),is_VB_N_0(g3_NN_N_0(\X.have_VB_N_0(X),complaint_NN_N_0,i_FW_N_0),\x.x)))",[],[],[]
163,201,"the canon software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image-affecting settings in the camera . ","has_VB_N_0(been_VB_N_0(camera_NN_N_0(imageaffecting_VB_N_0(settings_NNS_N_0),\X.processed_VB_N_0(X))),it_PRP_N_0,CC(image_NN_N_0,\x.x,image_NN_N_0),seq(images_NNS_N_0,canon+software_NN_N_0))",[],[],[]
164,202,i believe this is enabled by a second file that comes out of the camera that stores all this information . ,"believe_VB_N_0(is_VB_N_0(seq(stores_NNS_N_0,information_NN_N_0,comes_VB_N_0(file_NN_N_0),\X.enabled_VB_N_0(X)),\x.x),i_LS_N_0)",[],[],[]
165,203,"maybe if you delete those files before you looked at them with the software , youd see the true , raw image that the camera actually produces . ","software_NN_N_0(looked_VB_N_0(them_PRP_N_0),you_PRP_N_0,delete_VB_N_0(files_NNS_N_0),you_PRP_N_0,see_VB_N_0(produces_VB_N_0(image_NN_N_0,camera_NN_N_0),youd_NN_N_0))",[],[],[]
166,204,i didnt wait to experiment . ,"didnt_FW_N_0(wait_VB_N_0(experiment_NN_N_0),i_FW_N_0)",[],[],[]
167,205,"instead , i bought the adobe photoshop camera raw plug-in . ","bought_VB_N_0(adobe_NN_N_0(photoshop_NN_N_0(seq(camera_NN_N_0,plugin_NN_N_0))),i_FW_N_0)",[],[],[]
168,206,what this plug-in reveals is the truly stunning quality of the raw g3 hardware . ,"is_VB_N_0(quality_NN_P_1,\x.reveals_VB_N_0(x,plugin_NN_N_0))",['quality_NN_P_1'],['quality'],[1]
169,208,the adobe camera raw plug-in shows once again that hardware is miles ahead of software . ,"shows_VB_N_0(is_VB_N_0(\x.x,hardware_NN_N_0),adobe_NN_N_0(seq(camera_NN_N_0,plugin_NN_N_0)))",[],[],[]
170,209,what the g3 raw image software gives you is a fantasy world designed to please the uncritical . ,"is_VB_N_0(fantasy+world_NN_N_0,\x.gives_VB_N_0(you_PRP_N_0,x,seq(g3_NN_N_0,image+software_NN_N_0)))",[],[],[]
171,210,"what the photoshop plug-in gives you is reality , and then if you want fantasy , you can use photoshop to create it . ","CC(want_VB_N_0(fantasy_NN_N_0,you_PRP_N_0,use_VB_N_0(photoshop_NN_N_0,create_VB_N_0(it_PRP_N_0),you_PRP_N_0)),is_VB_N_0(reality_NN_N_0,\x.gives_VB_N_0(you_PRP_N_0,x,photoshop+plugin_NN_N_0)))",[],[],[]
172,212,"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits . ","CC(put_VB_N_0(seq(cameras_NNS_N_0,limitations_NNS_Ne_1)),am_VB_N_0(quality_NN_N_0(CC(\X.amazed_VB_P_1(X),stunned_JJ_P_1))),i_FW_N_0)",[],[],[]
173,213,"i 've had this for 3 months now , and i am pleased with my decision . ","CC(pleased_VB_P_1(decision_NN_N_0,i_FW_N_0),ve_FW_N_0(months_NNS_N_0(had_VB_N_0(\x.x)),i_FW_N_0))",[],[],[]
174,214,this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well . ,"is_VB_N_0(wants_VB_N_0(CC(seq(shoot_NN_N_0,ability_NN_N_0),have_VB_N_0(point_NN_P_1)),photo+hobbiest_NN_N_0,camera_NN_P_1),\x.x)","['point_NN_P_1', 'camera_NN_P_1']","['point', 'camera']","[1, 1]"
175,215,my girlfriend loved using this camera so much as a point and shoot that i had to pry it out of her hands most of the time . ,"CC(shoot_VB_N_0(had_VB_N_0(camera_NN_0)),girlfriend_NN_N_0)",[],[],[]
176,216,"battery life , the drawback to most digital cameras , to quote k. reeves . ","quote_VB_N_0(seq(k_NN_N_0,reeves_NNS_N_0),\x.x,seq(drawback_NN_Ne_1,battery+life_NN_N_0))",['drawback_NN_Ne_1'],['drawback'],[0]
177,217,whoa . ,whoa_NN_P_1,['whoa_NN_P_1'],['whoa'],[1]
178,218,"manual functionality is excellent , downloading pictures is quick and a breeze , and the quality is astounding . ","CC(CC(quality_NN_P_1,breeze_NN_P_1),is_VB_N_0(downloading_VB_N_0(pictures_NNS_N_0),functionality_NN_N_0))","['quality_NN_P_1', 'breeze_NN_P_1']","['quality', 'breeze']","[1, 1]"
179,219,"i did a good month 's worth of research before buying this over other similar priced digital cameras , and this is the best buy for the buck . ","CC(is_VB_N_0(seq(buck_NN_N_0,buy_NN_P_1),\x.x),priced_VB_N_0(cameras_NNS_N_0,buying_VB_N_0(\x.x),did_VB_N_0(worth_NN_P_1(\x.x,month_NN_P_1)),i_LS_N_0))","['buy_NN_P_1', 'worth_NN_P_1', 'month_NN_P_1']","['buy', 'worth', 'month']","[1, 1, 1]"
180,222,"or save time and just do it , you won't regret it . ","CC(CC(do_VB_N_0(it_PRP_N_0),save_VB_N_0(time_NN_N_0)),wonot_VB_N_0(regret_VB_Ne_1(it_PRP_N_0),you_PRP_N_0))",[],[],[]
181,223,"after reading the very positive review of this camera in a leading consumer magazine , i decided to head here , to amazon , to read through the online reviews . ","consumer+magazine_NN_P_1(reading_VB_N_0(review_NN_P_2),decided_VB_N_0(reviews_NNS_N_0(\X.read_VB_N_0(X),\X.amazon_VB_N_0(X),\X.head_VB_N_0(X)),i_FW_N_0))","['consumer+magazine_NN_P_1', 'review_NN_P_2']","['consumer magazine', 'review']","[1, 1]"
182,224,"the objections of the naysayers almost caused me to purchase a different camera , but , in the end , i figured i 'd give the g3 a try . ","CC(end_NN_N_0(figured_VB_N_0(d_FW_N_0(give_VB_N_0(g3_NN_N_0,try_NN_N_0),i_FW_N_0),i_FW_N_0)),caused_VB_N_0(me_PRP_N_0,purchase_VB_N_0(camera_NN_N_0),objections_NNS_Ne_1))",[],[],[]
183,225,i 'm very glad i did . ,"glad_JJ_P_2(did_VB_N_0(i_FW_N_0),i_FW_N_0)",[],[],[]
184,226,the service from the supplier was exceptional . ,"seq(supplier_NN_P_1,service_NN_N_0)",['supplier_NN_P_1'],['supplier'],[1]
185,227,the camera arrived on time and in perfect condition . ,"CC(condition_NN_P_1,time_NN_N_0,\X.arrived_VB_N_0(X),camera_NN_N_0)",['condition_NN_P_1'],['condition'],[1]
186,228,"having used it for more than a month , i can say that it consistently produces topnotch photos . ","having_VB_N_0(month_NN_N_0(used_VB_N_0(it_PRP_N_0)),say_VB_N_0(produces_VB_N_0(photos_NNS_P_1,it_PRP_N_0),i_FW_N_0))",[],[],[]
187,229,"recently , i attended a "" flyball "" competition ","attended_VB_N_0(flyball+competition_NN_N_0,i_FW_N_0)",[],[],[]
188,230,-- an event that involves dogs running and jumping hurdles . ,"involves_VB_N_0(CC(\X.jumping_VB_N_0(X),\X.running_VB_N_0(X),hurdles_NNS_N_0,dogs_NNS_N_0),event_NN_N_0)",[],[],[]
189,232,"the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture priority , shutter priority , and manual modes . ","CC(aperture_NN_N_0(priority_NN_N_0(shutter_NN_N_0(CC(modes_NNS_N_0,priority_NN_N_0))),gives_VB_N_0(flexibility_NN_N_0)),is_VB_N_0(automode_NN_N_0(\X.operate_VB_N_0(X),dream_NN_N_0)),camera_NN_N_0)",[],[],[]
190,234,about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder . ,"is_VB_N_0(fact_NN_N_0(does_VB_N_0(obstruct_VB_Ne_1(viewfinder_NN_N_0),lens_NN_N_0)),seq(reviews_NNS_N_0,criticsm_NN_N_0))",[],[],[]
191,235,this effect is increased when one buys and uses a telephoto doubler . ,"is_VB_N_0(CC(\X.uses_VB_N_0(X),\X.buys_VB_N_0(X),telephoto+doubler_NN_N_0,\x.x,\X.increased_VB_N_0(X)),effect_NN_N_0)",[],[],[]
192,236,but who cares ? ,CC(\X.cares_VB_N_0(X)),[],[],[]
193,237,i always shoot using the lcd panel . ,"shoot_VB_N_0(using_VB_N_0(lcd+panel_NN_N_0),i_LS_N_0)",[],[],[]
194,238,i can 't write enough positive things about this great little camera ! ,"t_NN_N_0(write_VB_N_0(camera_NN_P_1(\x.x)),i_LS_N_0)",['camera_NN_P_1'],['camera'],[1]
195,240,but canon never fails to amaze . ,"CC(fails_VB_P_1(\X.amaze_VB_P_1(X),\x.x))",[],[],[]
196,241,some of the great gains over g2 -- ,\x.x,[],[],[]
197,242,1 . the ability to selectively switch to raw format during record review gives you incredible more post-processing flexibility . ,"gives_VB_N_0(you_PRP_N_0,flexibility_NN_P_1,record+review_NN_N_0(switch_VB_N_0(format_NN_N_0),ability_NN_N_0))",['flexibility_NN_P_1'],['flexibility'],[1]
198,243,"2 . battery life is over 4.5 hours , compared to about 2.5 hours for the g2 or the 2 hours for most nikons . ","compared_VB_N_0(CC(seq(nikons_NNS_N_0,hours_NNS_N_0),g2_NN_N_0,hours_NNS_N_0),is_VB_N_0(hours_NNS_N_0),battery+life_NN_N_0)",[],[],[]
199,244,3 . the remote capture and fileviewer software bundled for photo capture is mind-blowing . ,"is_VB_N_0(\X.mindblowing_VB_N_0(X),bundled_VB_N_0(photo+capture_NN_N_0,CC(fileviewer+software_NN_N_0,capture_NN_N_0)))",[],[],[]
200,245,"looks sort of like picasa software ( google it if you dont know ) in the interface and is as easy to install and operate as g2 's , but more intuitive . ","CC(CC(CC(seq(g2_NN_P),\X.operate_VB_N_0(X)),\X.install_VB_N_0(X)),interface_NN_N_0(dont_VB_N_0(\X.know_VB_N_0(X))),you_PRP_N_0,google_NN_N_0(it_PRP_N_0),looks_VB_N_0(sort_NN_N_0))",[],[],[]
201,246,"4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking . ",4_LS_N_0(shape_NN_N_0),[],[],[]
202,247,a big plus in my book . ,book_NN_N_0(CC(big_JJ_N_0)),[],[],[]
203,248,"5 . the 1/200 sec , f5.6 + nd filter for highly exposed ( or very brightly lit ) environments . ","CC(\X.lit_VB_N_0(X),\X.exposed_VB_N_0(X),environments_NNS_N_0,seq(sec_NN_N_0,f56+nd+filter_NN_N_0,\x.x))",[],[],[]
204,249,the light auto-correction is awesome . ,autocorrection_NN_P_1,['autocorrection_NN_P_1'],['autocorrection'],[1]
205,250,you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right . ,"CC(CC(right_NN_N_0,avoid_VB_N_0(shining_VB_N_0(\X.glaze_VB_N_0(X)))),take_VB_N_0(picture_NN_N_0),you_PRP_N_0)",[],[],[]
206,251,"6 . the g2 's "" color effect "" exposure mode has now been removed , the replacement is a selectable "" effect func "" menu option available in all exposure modes . ","been_VB_N_0(removed_VB_N_0(is_VB_N_0(seq(effect_NN_P_1,func+menu+option_NN_N_0),replacement_NN_N_0)),g2_NN_N_0(seq(color_NN_N_0,effect+exposure+mode_NN_N_0)))",['effect_NN_P_1'],['effect'],[1]
207,252,"there are six default settings ( off , vivid , sepia , neutral , low sharpening , b & w ) as well as a ' custom effect ' that allows you to control sharpening , contrast and saturation . ","are_VB_N_0(allows_VB_N_0(you_PRP_N_0,control_VB_N_0(sharpening_VB_N_0(CC(saturation_NN_N_0,contrast_NN_N_0))),custom+effect_NN_N_0,sepia_NN_P_1(sharpening_VB_N_0(b_NN_N_0),seq(default_NN_N_0,settings_NNS_N_0),w_NN_N_0)),\x.x)",['sepia_NN_P_1'],['sepia'],[1]
208,253,7 . a new photostich software for stiching your pics into a panoramic view . ,"stiching_VB_N_0(pics_NNS_N_0,view_NN_P_1,photostich+software_NN_N_0(\x.x))",['view_NN_P_1'],['view'],[1]
209,254,i can of course buy such a tool off the shelves separately but helps if it comes with my camera . ,"CC(comes_VB_N_0(camera_NN_N_0,it_PRP_N_0,\X.helps_VB_N_0(X)),shelves_NNS_N_0(buy_VB_N_0(tool_NN_N_0)),i_LS_N_0)",[],[],[]
210,255,"( looks quite neat too suggesting that canon may have , er , canonized it a bit ). ","suggesting_VB_N_0(have_VB_N_0(er_NN_N_0,bit_NN_N_0(canonized_VB_N_0(it_PRP_N_0)),canon_NN_N_0),neat_JJ_P_1(\X.looks_VB_N_0(X)))",[],[],[]
211,256,"8 . perhaps inspired by the canon 's factory white-correction settings ( which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out ) , the g3 has much sharper white offsets . ","has_VB_N_0(offsets_NNS_N_0,CC(had_VB_N_0(be_VB_N_0(be_VB_N_0(g3_NN_N_0(\X.cleaned_VB_N_0(X)),etc_FW_N_0(buildings_NNS_N_0,edges_NNS_N_0),user_NN_N_0(\X.altered_VB_N_0(X))))),were_VB_N_0(found_VB_N_0(\X.lacking_VB_Ne_1(X))),canon_NN_N_0(factory_NN_N_0(seq(whitecorrection_NN_N_0,settings_NNS_N_0))),\X.inspired_VB_N_0(X),\x.x))",[],[],[]
212,257,"in english , this means that even straight out of the box , you 'll be amazed at the pics you end up taking . ","means_VB_N_0(ll_VB_N_0(be_VB_N_0(end_VB_N_0(\x.x,\X.taking_VB_N_0(X),pics_NNS_N_0,you_PRP_N_0,\X.amazed_VB_P_1(X))),you_PRP_N_0),\x.x)",[],[],[]
213,259,personally i believe it even outperforms the g2 in terms of less haze and astonishingly real colors . ,"believe_VB_N_0(terms_NNS_N_0(outperforms_VB_P_1(g2_NN_N_0),it_PRP_N_0),i_FW_N_0)",[],[],[]
214,260,"overall , the g3 delivers what must be considered the best image quality of any current > 4 megapixel digicams , from a detail , tonal balance and color response point of view . ","delivers_VB_N_0(be_VB_N_0(detail_NN_N_0(CC(color+response+point_NN_N_0,balance_NN_N_0),considered_VB_N_0(image+quality_NN_P_1))),g3_NN_N_0)",['image+quality_NN_P_1'],['image quality'],[1]
215,261,there 's really very little about g3 images to criticize . ,"seq(g3_NN_N_0,images_NNS_N_0,\X.criticize_VB_Ne_4(X),there_RB_N)",[],[],[]
216,262,short of the eos range from canon or the d100s from nikon ( both slrs ) .,short_RB_N,[],[],[]
217,263,this is quite simply the best you can ask for . ,"is_VB_N_0(ask_VB_N_0(\x.x,best_JJ_P_1,you_PRP_N_0),\x.x)",[],[],[]
218,264,i love my g2 so thought i would upgrade . ,"thought_VB_N_0(upgrade_VB_N_0(i_FW_N_0),love_VB_P_1(g2_NN_N_0),i_FW_N_0)",[],[],[]
219,265,big mistake . ,mistake_NN_N_0,[],[],[]
220,266,the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds . ,"CC(CC(had_VB_N_0(been_VB_N_0(seconds_NNS_N_0(\X.released_VB_N_0(X))),shutter_NN_N_0),was_VB_N_0(\X.pressed_VB_N_0(X),shutter_NN_N_0),take_VB_N_0(picture_NN_N_0)),had_VB_N_0(light_NN_N_0(\X.focusing_VB_N_0(X),problems_NNS_Ne_1)),g3_NN_N_0)",[],[],[]
221,268,i have returned the g3 ( actually i tried two of them ) and have my g2 ! ,"CC(have_VB_N_0(g2_NN_N_0),tried_VB_N_0(\x.x),i_FW_N_0,have_VB_N_0(returned_VB_N_0(g3_NN_N_0)),i_LS_N_0)",[],[],[]
222,269,"when shopping for digital cameras i looked at the nikon cp5700 , olympus c5050 , nikon cp5000 , and the canon g3 . ","shopping_VB_N_0(cameras_NNS_N_0,looked_VB_N_0(CC(canon+g3_NN_N_0,seq(nikon+cp5700+olympus_NN_N_0,c5050+nikon+cp5000_NN_N_0)),i_FW_N_0))",[],[],[]
223,270,"yes , all cameras except g3 were 5mp but i was looking for a lot more than just megapixel power . ","CC(was_VB_N_0(looking_VB_N_0(lot_NN_N_0),i_FW_N_0),\x.x)",[],[],[]
224,271,"not only was i was shopping for a camera that would suit my casual and artistic photographic needs , i had to keep in mind that my fiance wanted to use this camera as well . ","was_VB_N_0(i_FW_N_0,shopping_VB_N_0(suit_VB_N_0(had_VB_N_0(wanted_VB_N_0(use_VB_N_0(camera_NN_N_0),fiance_NN_N_0,mind_NN_N_0(\X.keep_VB_N_0(X))),CC(needs_NNS_0),i_FW_N_0),camera_NN_N_0),\X.was_VB_N_0(X)))",[],[],[]
225,273,the nikon 's are great cameras . ,"are_VB_N_0(cameras_NNS_P_1,nikon_NN_N_0)",[],[],[]
226,274,"+ they have great optics ( cp5700 has great optical zoom ) and features , not to mention take great pictures . ","have_VB_N_0(CC(features_VB_N_0(mention_VB_N_0(take_VB_N_0(pictures_NNS_P_1))),has_VB_N_0(zoom_NN_P_1),seq(cp5700_NN_P_1,optics_NNS_N_0)),they_PRP_N_0)","['zoom_NN_P_1', 'cp5700_NN_P_1']","['zoom', 'cp5700']","[1, 1]"
