,review,type,aspect,clauses
159,the software that comes with it is amazing and the online service that comes free is really very neat. clean clear and well focused on over 95 % of all photos taken by a beginner . ,complex_sentence,"software[+3], online service[+2]","[('that comes', 'DC'), ('with it is amazing', 'DC'), ('the software and the online service is really very neat', 'IC')]"
160,100 % perfect if you put some thought and time into reading the manual before you take the photos . ,phrase,,"[('if you put some thought and time into reading the manual', 'DC'), ('before you take the photos', 'DC')]"
161,i took the camera and just gave it to someone . ,simple_sentence,,"[('i took the camera and just gave it to someone', 'IC')]"
162,no instructions . ,phrase,,"[('no instructions . ', 'Phrase')]"
163,just point and shoot and the photos were great . ,simple_sentence,photo[+2],"[('just point and shoot and the photos were great', 'IC')]"
164,just imagine if you place a bit of knowledge when you take your photos . ,phrase,,"[('if you place a bit of knowledge', 'DC'), ('when you take your photos', 'DC')]"
165,the memory card fit nicely since i also have a pocket pc and it automatically installed a picture software on my pda wolla . ,compound_sentence,memory card[+2],"[('the memory card fit nicely since i also have a pocket pc', 'IC'), ('it automatically installed a picture software on my pda wolla', 'IC')]"
166,my pda becames a digital album . ,simple_sentence,,"[('my pda becames a digital album', 'IC')]"
167,i have a 128mb card in it and can shoot over 150 hi res photos . ,simple_sentence,,"[('i have a card in it and can shoot over hi res photos', 'IC')]"
168,"if you have to buy a camera on a buget, this has got to be the one . ",complex_sentence,camera[+2],"[('if you have to buy a camera on a buget', 'DC'), ('this has got to be the one', 'IC')]"
169,go get it . ,phrase,,"[('go get it . ', 'Phrase')]"
170,before they are sold out ! ,phrase,,"[('before they are sold out', 'DC')]"
171,"great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro etc. ",compound_sentence,camera[+2],"[('great camera close up macro etc.', 'IC'), ('i have been using this for several months and got excellent results simple friendly usage in many scenes indoor outdoor snow', 'IC')]"
172,i bought my nikon coolpix4300 about a week ago . ,simple_sentence,,"[('i bought my nikon coolpix4300 about a week ago', 'IC')]"
173,this is my first digital camera and i can say that i am quite impressed with the features that it has . ,compound_complex_sentence,"camera[+3], feature[+2]","[('this is my first digital camera', 'IC'), ('i can say', 'IC'), ('that i am quite impressed with the features', 'DC'), ('that it has', 'DC')]"
174,it is easy enough to use for a beginner like me but it has plenty of features for me to grow into . ,compound_sentence,use[+2][u],"[('it is easy enough to use for a beginner like me', 'IC'), ('it has plenty of features for me to grow into', 'IC')]"
175,i particularly like the way it aids me in taking my macro shots . ,simple_sentence,macro[+2],"[('i particularly like the way it aids me in taking my macro shots', 'IC')]"
176,my friends were impressed with the quality of the pictures i took ! ,compound_sentence,picture quality[+2],"[('my friends were impressed with the quality of the pictures', 'IC'), ('i took', 'IC')]"
177,one downside though is that autofocus does not work well when battery is low . ,complex_sentence,autofocus[-2],"[('one downside though is', 'IC'), ('that autofocus does not work well', 'DC'), ('when battery is low', 'DC')]"
178,i assume this is the case for most cameras since it does not have enough power to do autofocus . ,phrase,,"[('since it does not have enough power to do autofocus', 'DC')]"
179,battery life is ok . ,simple_sentence,battery life[+1],"[('battery life is ok', 'IC')]"
180,i plan on buying a second battery and a larger cf for it . ,simple_sentence,,"[('i plan on buying a second battery and a larger cf for it', 'IC')]"
181,"great camera , and for the price you can 't beat it . ",complex_sentence,camera[+2],"[('for the price you can', 'DC'), ('great camera and t beat it', 'IC')]"
182,i 've been using it for about 3 months now . ,simple_sentence,,"[('i been using it for about months now', 'IC')]"
183,i found the controls very intuitive and learned how to manuver through the menus quickly . ,complex_sentence,control[+3],"[('i found the controls very intuitive and learned', 'IC'), ('how to manuver through the menus quickly', 'DC')]"
184,the quality is superb . ,simple_sentence,quality[+3],"[('the quality is superb', 'IC')]"
185,"the small size is perfect for my little hands , but may perhaps be uncomfortable or awkward for a bigger person . ",simple_sentence,size[+2],"[('the small size is perfect for my little hands but may perhaps be uncomfortable or awkward for a bigger person', 'IC')]"
186,"we use older versions 880 , 885 of this model in the office and i find them to produce excellent quality photos . ",complex_sentence,,"[('we use older versions', 'IC'), ('of this model in the office and i find them to produce excellent quality photos', 'DC')]"
187,"the 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust . ",compound_complex_sentence,nikon 4300[+3],"[('i find nikon to be a brand', 'IC'), ('that i can trust', 'DC'), ('the is a very durable compact package', 'IC')]"
188,it comes with a 16mb flash card that you will need to upgrade ! ,complex_sentence,,"[('that you will need to upgrade', 'DC'), ('it comes with a flash card', 'IC')]"
189,"we got a 256mb card , and have been hard-pressed to fill it over a weekend . ",simple_sentence,,"[('we got a card and have been hard-pressed to fill it over a weekend', 'IC')]"
190,the only drawbacks that i have noticed : ,phrase,,"[('that i have noticed', 'DC')]"
191,"it comes with a rechargable battery that does not seem to last all that long , especially if you use the flash a lot . ",complex_sentence,battery[-2],"[('it comes with a rechargable battery', 'IC'), ('that does not seem to last all that long', 'DC'), ('especially if you use the flash a lot', 'DC')]"
192,"so , it 's a good idea to purchase an extra battery to insure that you are not left hanging . ",complex_sentence,,"[('that you are not left hanging', 'DC'), ('so it a good idea to purchase an extra battery to insure', 'IC')]"
193,it does not have an auto-focus assist light which is nice for taking shots in low-light situations it allows the camera to focus in low light . ,compound_complex_sentence,auto-focus assist light[-1],"[('it does not have', 'IC'), ('an auto-focus assist light', 'IC'), ('which is nice for taking shots in low-light situations', 'DC'), ('it allows the camera to focus in low light', 'IC')]"
194,"i would say that this is not a major issue , but it can be slightly annoying if you care about these things . ",compound_complex_sentence,,"[('i would say', 'IC'), ('that this is not a major issue', 'DC'), ('it can be slightly annoying', 'IC'), ('if you care about these things', 'DC')]"
195,"it has a 3x optical zoom , which is average for these cameras . ",complex_sentence,optical zoom[-1],"[('which is average for these cameras', 'DC'), ('it has a optical zoom', 'IC')]"
196,"for more , you sacrifice weight and size : more optical zoom requires more glass and focal length . ",complex_sentence,,"[('for more you sacrifice', 'IC'), ('weight and size more optical zoom requires more glass and focal length', 'DC')]"
197,"it does have a digital zoom on top of the optical zoom , but you sacrifice quality . ",compound_sentence,,"[('it does have a digital zoom on top of the optical zoom', 'IC'), ('you sacrifice quality', 'IC')]"
198,"i set the camera to the "" manual "" mode for one main reason : ",phrase,,"[('i set the camera to the "" manual "" mode for one main reason : ', 'Phrase')]"
199,in any other mode it autofocuses continuously and burns batteries . ,simple_sentence,,"[('in any other mode it autofocuses continuously and burns batteries', 'IC')]"
200,"in manual , you can set it to "" single af "" where it will focus by depressing the shudder button prior to taking the pic ; this is not really a hinderance , you just have to be familiar with its menus and features . ",compound_sentence,,"[('it will focus by depressing the shudder button prior to taking the pic', 'IC'), ('this is not really a hinderance', 'IC'), ('you just have to be familiar with its menus and features', 'IC'), ('in manual you can set it to single af where', 'IC')]"
201,"in reality , these are the only drawbacks this camera has , much less than many other models ! ",complex_sentence,,"[('in reality these are the only drawbacks', 'IC'), ('this camera has much less than many other models', 'DC')]"
202,"it is easy to "" focus "" in on the drawbacks , so do n't think i hate this camera . ",complex_sentence,,"[(""so do n't think i hate this camera"", 'DC'), ('it is easy to focus in on the drawbacks', 'IC')]"
203,it really is an awesome camera that is hard to beat for general-to moderate snapping . ,complex_sentence,camera[+3],"[('it really is an awesome camera', 'IC'), ('that is hard to beat for general-to moderate snapping', 'DC')]"
204,"for work , we use them in the field often , and they hold up really well . ",compound_sentence,,"[('we use them in the field often', 'IC'), ('they hold up really well', 'IC')]"
205,they take excellent macro shots as well . ,simple_sentence,macro[+2],"[('they take excellent macro shots as well', 'IC')]"
206,"the menus and features are easy to manipulate and access , and it takes silent movies . ",compound_sentence,menu[+2],"[('the menus and features are easy to manipulate and access', 'IC'), ('it takes silent movies', 'IC')]"
207,"i compared this to a lot of other cameras , believe me , it 's value for money . ",simple_sentence,camera[+2],"[('i compared this to a lot of other cameras believe me it value for money', 'IC')]"
208,the picturers are amazing . ,simple_sentence,picture[+3],"[('the picturers are amazing', 'IC')]"
209,"do n't waste time looking at anything else , just buy this one . ",phrase,,"[(""do n't waste time looking at anything else , just buy this one . "", 'Phrase')]"
210,it do n't get any better then the nikon 4300 . ,simple_sentence,,"[(""it do n't get any better then the nikon"", 'IC')]"
211,"i am a nikon fan , and owned and used slr nikon fe , n50 and n90s for many many years . ",simple_sentence,,"[('i am a nikon fan and owned and used slr nikon fe n50 and n90s for many many years', 'IC')]"
212,"recently bought this coolpix 4300 along with a 256mb ultra flash card . as expected , i happily found that qualities of the picture are excellent with 3m-4m pixel / fine combos and many of the user-friendly functions are very similar to slr models , and with added convenience of a digital camera that you can see pictures immediately . ",phrase,"picture quality[+2],function[+2]","[('recently bought this coolpix 4300 along with a 256mb ultra flash card . as expected , i happily found that qualities of the picture are excellent with 3m-4m pixel / fine combos and many of the user-friendly functions are very similar to slr models , and with added convenience of a digital camera that you can see pictures immediately . ', 'Phrase')]"
213,"i particularly like the "" txt "" file which records all the control information for all the pictures you take. ",phrase,txt file[+2],"[('which records all the control information for all the pictures', 'DC'), ('you take', 'DC')]"
214,the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them . ,compound_complex_sentence,size[+2][u],"[('the compact digital camera is especially useful', 'IC'), ('if you have little children around', 'DC'), ('you can always take the camera with you and take many pictures of them', 'IC')]"
215,"try to buy a high capacity ultra card , as it 's 2x as faster as the regular cf card . ",phrase,,"[('as it as faster as the regular cf card', 'DC')]"
216,"consider the time you save during picture taking especially not missing a good moment and during download , it 's well worth the little extra money . ",complex_sentence,,"[('you save during picture taking especially not missing a good moment and during download', 'DC'), ('consider the time it well worth the little extra money', 'IC')]"
217,"an extra rechargeable en-el 1 battery is also handy , so you will seldom run into "" out of battery "" situation . ",compound_sentence,,"[('an extra rechargeable en-el battery is also handy', 'IC'), ('you will seldom run into out of battery situation', 'IC')]"
218,use the rechargeable because that saves you money and helps the environment in a long run . ,phrase,,"[('because that saves you money and helps the environment in a long run', 'DC')]"
219,"one thing puzzles me is that for "" fine and 2200 + "" quality pictures , one ultra 256mb cf card can only hold 130-140 pics , but the size of the pictures are only around 1.2 mb , the math does not add up . ",complex_sentence,,"[('one thing puzzles  does not add up', 'IC'), ('me is that for fine and', 'DC'), ('quality pictures one ultra cf card can only hold pics but the size of the pictures are only around mb the math', 'DC')]"
220,i would expecct the card to hold over 200 pictures for size of 1.2 mb/per . ,simple_sentence,,"[('i would expecct the card to hold over pictures for size of mb/per', 'IC')]"
221,anybody can explain that ? ,simple_sentence,,"[('anybody can explain that', 'IC')]"
222,"a nikon will make you happier and leave you lots of good memories , as always . ",simple_sentence,nikon[+3],"[('a nikon will make you happier and leave you lots of good memories as always', 'IC')]"
223,i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n't take weeks to figure out how to operate . ,complex_sentence,"camera[+3],picture[+2]","[('i highly recommend this camera to anyone looking for a good digital camera', 'IC'), ('that takes', 'DC'), ('that takes', 'DC'), (""great pictures yet does n't take weeks to figure out how to operate"", 'DC')]"
224,we take this camera with us everywhere and are constantly amazed at the quality of the pictures that we get and the number of different ways the camera allows for pictures to be taken . ,compound_complex_sentence,picture quality[+2],"[('we take this camera with us everywhere and are constantly amazed at the quality of the pictures', 'IC'), ('that we get', 'DC'), ('the number of different ways the camera allows for pictures to be taken', 'IC')]"
225,i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down.now buy it ! ,complex_sentence,camera[+3],"[('i consider myself picky', 'DC'), ('if your the same way this camera will not let you down.now buy it', 'DC'), ('i am a picture fanatic so and', 'IC')]"
226,"first of all , let 's start with my needs : 1 $ 500 budget 2 4mp resolution , 3 optical clarity and color , 4 fast - very little shutter lag and quick sep-up for next picture , 5 compact size , and 6 good camera grip to minimize camera shake . ",phrase,,"[(""first of all , let 's start with my needs : 1 $ 500 budget 2 4mp resolution , 3 optical clarity and color , 4 fast - very little shutter lag and quick sep-up for next picture , 5 compact size , and 6 good camera grip to minimize camera shake . "", 'Phrase')]"
227,"for three months , i 've researched the internet and magazines , queried various sales personnel , and took hands-on in-store test drives . ",simple_sentence,,"[('for three months i researched the internet and magazines queried various sales personnel and took hands-on in-store test drives', 'IC')]"
228,and i finally settled on the nikon coolpix 4300 . ,simple_sentence,,"[('and i finally settled on the nikon coolpix', 'IC')]"
229,"i have it for a week now , and this camera has exceeded my expectations . ",compound_sentence,camera[+3],"[('i have it for a week now', 'IC'), ('this camera has exceeded my expectations', 'IC')]"
230,the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away . ,compound_complex_sentence,"picture[+2],indoor shot[+1]","[('the daylight pictures are brilliant', 'IC'), ('the indoor shots are very good provided', 'IC'), ('that your subject is no more than about feet away', 'DC')]"
231,the shutter lag is on par with what i 've experienced with point and shoot 35mm and aps film cameras and the next frame advance is about a couple seconds using a high speed 12x 128mb compact flash card a salesperson recommended the high speed card since next frame advance speed was important to me - and it was only a few dollars more . ,phrase,,"[(""the shutter lag is on par with what i 've experienced with point and shoot 35mm and aps film cameras and the next frame advance is about a couple seconds using a high speed 12x 128mb compact flash card a salesperson recommended the high speed card since next frame advance speed was important to me - and it was only a few dollars more . "", 'Phrase')]"
232,uploading the images to my windows-based pc is very fast and simple . ,phrase,image download[+2][u],"[('uploading the images to my windows-based pc is very fast and simple . ', 'Phrase')]"
233,"the only drawbacks i 've encountered are : 1 indoor shots from a distance > 8ft lack contrast and color , but i 've found this to be a problem with all cameras with built-in flashes that i 've used even on a nikon slr . ",phrase,indoor shot[-1],"[(""the only drawbacks i 've encountered are : 1 indoor shots from a distance > 8ft lack contrast and color , but i 've found this to be a problem with all cameras with built-in flashes that i 've used even on a nikon slr . "", 'Phrase')]"
234,"right now , i 'm researching for an inexpensive slave flash unit that 's designed for digital cameras . ",phrase,,"[(""right now , i 'm researching for an inexpensive slave flash unit that 's designed for digital cameras . "", 'Phrase')]"
235,2 the battery life seems to be on the short side but adequate for most situations . ,phrase,battery life[-1],"[('2 the battery life seems to be on the short side but adequate for most situations . ', 'Phrase')]"
236,i got 45 outdoor and 15 indoor shots with the monitor on turning the camera off and on over a 4 hour period before the battery died . ,phrase,,"[('i got 45 outdoor and 15 indoor shots with the monitor on turning the camera off and on over a 4 hour period before the battery died . ', 'Phrase')]"
237,an extra for a back-up battery would be a good investment . ,simple_sentence,,"[('an extra for a back-up battery would be a good investment', 'IC')]"
238,"3 the picture editing software it came with is adequate , but not very robust . ",complex_sentence,software[-1],"[('it came with', 'DC'), ('the picture editing software is adequate but not very robust', 'IC')]"
239,i 'll still use my photosuite for editing . ,simple_sentence,,"[('i still use my photosuite for editing', 'IC')]"
240,one more thing about indoor shots - many of the reviews knocked this camera for low light focusing . ,simple_sentence,,"[('one more thing about indoor shots many of the reviews knocked this camera for low light focusing', 'IC')]"
241,"just for the heck of it , i took it into my dark kitchen with only indirect light coming in though the door , and the focusing was just fine . ",compound_sentence,,"[('i took it into my dark kitchen with only indirect light coming in though the door', 'IC'), ('the focusing was just fine', 'IC')]"
242,"in summary , i love this camera and would whole-heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range . ",simple_sentence,camera[+3],"[('in summary i love this camera and would whole-heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range', 'IC')]"
243,"- since i wrote the review above in january 2003 , i still love this camera . ",complex_sentence,,"[('since i wrote the review above in january', 'DC'), ('i still love this camera', 'IC')]"
244,i 've picked up a few accessories that i found to be useful . ,complex_sentence,,"[('that i found to be useful', 'DC'), ('i picked up a few accessories', 'IC')]"
245,i bought a digi-slave dsf-1s flash unit . ,simple_sentence,,"[('i bought a digi-slave dsf-1s flash unit', 'IC')]"
246,"i do n't use a bracket , i just hold it above my head and aim the flash with my left hand . ",compound_sentence,,"[(""i do n't use"", 'IC'), ('a bracket i just hold it above my head and aim the flash with my left hand', 'IC')]"
247,"i also got a ur-e 4 step down ring adapter , lc-e 900 lens cap , and the nikon 28mm filter set . ",simple_sentence,,"[('i also got a ur-e step down ring adapter lc-e lens cap and the nikon mm filter set', 'IC')]"
248,this provides added protection for the camera lens and allows the use of filters . ,simple_sentence,,"[('this provides added protection for the camera lens and allows the use of filters', 'IC')]"
249,i leave the adapter and uv filter on all the time . ,simple_sentence,,"[('i leave the adapter and uv filter on all the time', 'IC')]"
250,this also allows you to turn on the camera on without having to remove the lens cap . ,compound_sentence,,"[('this also allows', 'IC'), ('you to turn on the camera on without having to remove the lens cap', 'IC')]"
251,"the downside is that you might accidentally take pictures with the lens cap on , the camera wo n't fit in the small cases , and 28mm filters are expensive and hard to find . ",compound_complex_sentence,,"[('the downside is', 'IC'), ('that you might accidentally take pictures with the lens cap on', 'DC'), (""the camera wo n't fit in the small cases"", 'IC'), ('mm filters are expensive and hard to find', 'IC')]"
252,great camera . ,phrase,camera[+2],"[('great camera . ', 'Phrase')]"
253,i am impressed with how easy this camera is to use . ,complex_sentence,use[+2],"[('i am impressed with', 'IC'), ('how easy this camera is to use', 'DC')]"
254,it takes great pictures . ,simple_sentence,picture[+2],"[('it takes great pictures', 'IC')]"
255,"the manual is easy to understand , and it is mostly idiot proof . ",compound_sentence,manual[+2],"[('the manual is easy to understand', 'IC'), ('it is mostly idiot proof', 'IC')]"
256,"it is small , unlike my canon slr , so it easily fits in my pocket . ",compound_sentence,size[+2][u],"[('it easily fits in my pocket', 'IC'), ('it is small unlike my canon slr', 'IC')]"
257,i have not yet figured out how to make it snap quick pictures for action shots . ,complex_sentence,,"[('i have not yet figured out', 'IC'), ('how to make it snap quick pictures for action shots', 'DC')]"
258,now where did i put that manual ? ,phrase,,"[('now where did i put that manual ? ', 'Phrase')]"
259,do n't let my five star rating fool you . ,phrase,,"[(""do n't let my five star rating fool you . "", 'Phrase')]"
260,the nikon coolpix 4300 deserves six . ,simple_sentence,,"[('the nikon coolpix deserves six', 'IC')]"
261,i got this camera about a month ago and i can 't put it down . ,simple_sentence,camera[+3],"[('i got this camera about a month ago and i can t put it down', 'IC')]"
262,"i was considering buying the minolta f-100 and the sony dsc-p 9 , but at the camera shop , realized this one went above and beyond . ",compound_sentence,,"[('this one went above and beyond', 'IC'), ('i was considering buying the minolta f-100 and the sony dsc-p but at the camera shop realized', 'IC')]"
263,i selected the 4300 right away and have gotten high quality pictures every time . ,simple_sentence,picture quality[+2],"[('i selected the right away and have gotten high quality pictures every time', 'IC')]"
264,autofocus feels exactly like my film camera while scene and manual mode add a little fun challenge to it all . ,complex_sentence,"autofocus[+1],scene mode[+1],manual mode[+1]","[('autofocus feels exactly like my film camera', 'IC'), ('while scene and manual mode add a little fun challenge to it all', 'DC')]"
265,i would also recommend buying an extra battery and at least a 128 mb compact flash type i memory card . ,simple_sentence,,"[('i would also recommend buying an extra battery and at least a mb compact flash type i memory card', 'IC')]"
266,buy this camera and savour it . ,phrase,,"[('buy this camera and savour it . ', 'Phrase')]"
267,i reviewed several digital cameras before settling on this one . ,simple_sentence,,"[('i reviewed several digital cameras before settling on this one', 'IC')]"
268,this one was rated very high by several people check out this site and epinions.com . ,simple_sentence,,"[('this one was rated very high by several people check out this site and epinions.com', 'IC')]"
269,i have not been disappointed with my purchase . ,simple_sentence,camera[+2][p],"[('i have not been disappointed with my purchase', 'IC')]"
270,picture quality in outdoor settings is indistinguishable from 35mm . ,simple_sentence,picture quality[+2],"[('picture quality in outdoor settings is indistinguishable from mm', 'IC')]"
271,"on average , indoor shots with a flash are not quite as good as 35mm . ",simple_sentence,indoor shot[-2],"[('on average indoor shots with a flash are not quite as good as mm', 'IC')]"
272,"however , the convenience of using digital far outweighs the slightly less accurate indoor pictures . ",simple_sentence,,"[('however the convenience of using digital far outweighs the slightly less accurate indoor pictures', 'IC')]"
273,i am extremely satisfied with this camera . ,simple_sentence,camera[+3],"[('i am extremely satisfied with this camera', 'IC')]"
274,i purchased it from amazon on a since discontinued promotion . ,simple_sentence,,"[('i purchased it from amazon on a since discontinued promotion', 'IC')]"
275,buy an extra battery - life is good but still somewhat short . ,simple_sentence,,"[('life is good but still somewhat short', 'IC')]"
276,do n't buy this camera if you are not going to purchase a 128 megabyte card . ,phrase,,"[('if you are not going to purchase a megabyte card', 'DC')]"
277,you need the storage to hold a decent amount of shots at 4 megapixel resolution . ,compound_sentence,,"[('you need', 'IC'), ('the storage to hold a decent amount of shots at megapixel resolution', 'IC')]"
278,i have one thing to say to the numbskulls who complain that this camera 's controls are confusing and hard to remember : ,compound_complex_sentence,,"[('i have', 'IC'), ('one thing to say to the numbskulls', 'IC'), ('who complain', 'DC'), ('that this camera controls are confusing and hard to remember', 'DC')]"
279,read the directions ! ,phrase,,"[('read the directions ! ', 'Phrase')]"
280,the regular mode in this camera works for 80 % of settings . ,simple_sentence,,"[('the regular mode in this camera works for of settings', 'IC')]"
281,"the "" scene "" mode works well for the remainder of shots that are not going to be in a "" regular "" setting . ",phrase,scene mode[+2],"[('the "" scene "" mode works well for the remainder of shots that are not going to be in a "" regular "" setting . ', 'Phrase')]"
282,i wish the camera had a higher optical zoom so that i could take better wildlife photos . ,complex_sentence,,"[('i wish', 'IC'), ('the camera had a higher optical zoom', 'DC'), ('so that i could take better wildlife photos', 'DC')]"
283,"however , its 3x optical setting is acceptable for 70 % of the shots that i take . ",complex_sentence,optical setting[+1],"[('that i take', 'DC'), ('however its optical setting is acceptable for of the shots', 'IC')]"
284,"buy this camera , you wo n't regret it . ",simple_sentence,,"[(""buy this camera you wo n't regret it"", 'IC')]"
285,"if you 're looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 ! ",complex_sentence,camera[+2],"[('you can end your search with the nikon', 'IC'), ('if you looking for a small compact super resolution digital camera', 'DC')]"
286,"after a lengthy and extensive journey for a feature-loaded , high performance , travel size camera , i initially gravitated to this little gem because of the superior picture quality 4 mega pixel . ",phrase,picture quality[+3],"[('after a lengthy and extensive journey for a feature-loaded , high performance , travel size camera , i initially gravitated to this little gem because of the superior picture quality 4 mega pixel . ', 'Phrase')]"
287,"after using it for about a month , i can state unequivocably that this nikon definitely delivers a huge bang for the buck . ",complex_sentence,nikon[+3],"[('that this nikon definitely delivers a huge bang for the buck', 'DC'), ('after using it for about a month i can state unequivocably', 'IC')]"
288,its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide-angle lenses is the proverbial icing on the cake . ,simple_sentence,"use[+1], accessory[+2]","[('the sheer fun of being able to use an array of nikon accessories like the telephoto and wide-angle lenses is the proverbial icing on the cake', 'IC')]"
289,"yes , the picture quality and features which are too numerous to mention are unmatched for any camera in this price range . ",complex_sentence,"picture quality[+3],feature[+3]","[('which are too numerous to mention', 'DC'), ('yes the picture quality and features are unmatched for any camera in this price range', 'IC')]"
290,the design and construction are excellent -- as is the legendary quality of the nikon optics . ,complex_sentence,"design[+2],construction[+2],optic[+2]","[('the design and construction are excellent', 'IC'), ('as is the legendary quality of the nikon optics', 'DC')]"
291,i own a 35mm slr camera and this is my second digital . ,phrase,,"[('i own a 35mm slr camera and this is my second digital . ', 'Phrase')]"
292,"if you 're seeking that elusive state of photographic euphoria that is free of buyer 's remorse and filled with cool , then travel to the world of the coolpix 4300 ! ",phrase,,"[('if you seeking that elusive state of photographic euphoria that is free of buyer remorse and filled with cool', 'DC')]"
293,had it for a week . ,phrase,,"[('had it for a week . ', 'Phrase')]"
294,"there are so many functions in this little , yet powerful camera ! ",simple_sentence,camera[+2],"[('there are so many functions in this little yet powerful camera', 'IC')]"
295,seriously ! i love it ! ,phrase,camera[+3][p],"[('seriously ! i love it ! ', 'Phrase')]"
296,"my room is so dark and when i tried taking pics of it with my old camera , they came out black , but with this , they look the same in the picture as in real life . ",compound_complex_sentence,,"[('my room is so dark', 'IC'), ('when i tried taking pics of it with my old camera', 'DC'), ('and  they look the same in the picture as in real life', 'IC'), ('they came out black but with this', 'IC')]"
297,"better actually cause my carpet looks clean , lol . ",phrase,,"[('better actually cause my carpet looks clean , lol . ', 'Phrase')]"
298,but this camera is great ! ,simple_sentence,camera[+2],"[('but this camera is great', 'IC')]"
299,the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to . ,compound_complex_sentence,"picture quality[+3],movie[+1]","[('the picture quality is amazing', 'IC'), ('you can connect it to your tv and could make silent movies that way', 'IC'), ('if you wanted to', 'DC')]"
300,"i can 't connect it to my computer though , but that 's a problem with windows me , not the camera . ",compound_sentence,,"[('i can t connect it to my computer though', 'IC'), ('that a problem with windows me not the camera', 'IC')]"
301,"if you have windows me you should upgrade to xp anyway , lol . ",complex_sentence,,"[('if you have windows me', 'DC'), ('you should upgrade to xp anyway lol', 'IC')]"
302,but it works perfectly fine on my parent 's computer . ,simple_sentence,,"[('but it works perfectly fine on my parent computer', 'IC')]"
303,"it does have a lense cap , but it wo n't let you take pics with it on which is real good . ",compound_complex_sentence,lense cap[+1],"[('it does have a lense cap', 'IC'), (""it wo n't let"", 'IC'), ('you take pics with it on', 'IC'), ('which is real good', 'DC')]"
304,the battery recharges ral fast and the recharger thingy that comes with is real nice . ,compound_complex_sentence,battery[+2],"[('the battery recharges ral fast', 'IC'), ('that comes with', 'DC'), ('the recharger thingy is real nice', 'IC')]"
305,"ooh , and i dropped it and it still works fine : this little camera has so many features i have n't even gotten to all of them yet . ",compound_complex_sentence,camera[+2],"[('it and it still works fine', 'DC'), ('this little camera has so many features', 'IC'), (""i have n't even gotten to all of them yet"", 'DC'), ('ooh and i dropped', 'IC')]"
306,"i did quite a bit of research before buying this camera , and this one had everything i was looking for . ",compound_complex_sentence,,"[('i did quite a bit of research before buying this camera', 'IC'), ('this one had everything', 'IC'), ('i was looking for', 'DC')]"
307,"it 's easy for beginners to use , but has features that more serious photographers will love , so it 's an excellent camera to grow into . ",complex_sentence,"use[+1],feature[+2], camera[+2]","[('that more serious photographers will love', 'DC'), ('it easy for beginners to use but has features', 'IC'), ('so it an excellent camera to grow into', 'DC')]"
308,"it 's light weight enough to take with you everywhere , but powerful enough to get outstanding pix . ",complex_sentence,"weight[+2], picture[+2][u]","[('weight enough to take with you everywhere', 'DC'), ('it light but powerful enough to get outstanding pix', 'IC')]"
309,"i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots . ",complex_sentence,continuous shot mode[+3],"[('i love the continuous shot mode', 'IC'), ('which allows you to take up to pix in rapid succession great for action shots', 'DC')]"
310,i 'm amazed at the photo quality -- prints are indistinguishable from 35mm prints . ,compound_sentence,"photo quality[+3],print[+2]","[('i amazed at the photo quality', 'IC'), ('prints are indistinguishable from mm prints', 'IC')]"
311,"i only have one complaint , and that is the 8mb card included . ",compound_sentence,8mb card[-2],"[('i only have one complaint', 'IC'), ('that is the card included', 'IC')]"
312,8mb for a camera like this is a joke . ,simple_sentence,8mb[-2],"[('for a camera like this is a joke', 'IC')]"
313,a card with more memory is a must . ,simple_sentence,,"[('a card with more memory is a must', 'IC')]"
314,"a minor quibble , since most cameras on the market still only include the 8mb cards . ",simple_sentence,,"[('a minor quibble since most cameras on the market still only include the cards', 'IC')]"
315,"if you do any research into digital cameras , you 'll quickly find that this camera is just about the best value out there . ",complex_sentence,,"[('if you do any research into digital cameras', 'DC'), ('that this camera is just about the best value out there', 'DC'), ('you quickly find', 'IC')]"
316,these are the reasons i think it 's great : ,complex_sentence,,"[('these are the reasons', 'IC'), ('i think', 'DC'), ('it great', 'DC')]"
317,1 it has all the features an amatuer photo-enthusiast would want . ,complex_sentence,feature[+2],"[('it has all the features an amatuer photo-enthusiast', 'DC'), ('would want', 'IC')]"
318,2 it is easy enough for my grandmother to use . ,simple_sentence,use[+2],"[('it is easy enough for my grandmother to use', 'IC')]"
319,3 it is very compact but the controls are so well designed that they 're still easy to use . ,complex_sentence,"size[+2][u],control[+2]","[('it is very compact but the controls', 'DC'), ('are so well designed', 'IC'), ('that they still easy to use', 'DC')]"
320,4 it has optional lenses like wide angles and extra zooms . ,simple_sentence,,"[('it has optional lenses like wide angles and extra zooms', 'IC')]"
