review,target,domain,aspect
added 2-24 . ,0,Canon_G3.txt,
i 've now had the camera for two months and i 'm even more pleased with it . ,1,Canon_G3.txt,camera[+3]
i wound up buying a gray card and use it all the time with the custom white-balance setting . ,0,Canon_G3.txt,
"it helps avoid the problem of a color cast on the pictures , especially in mixed-light settings . ",0,Canon_G3.txt,
"if you do n't have a gray card , you can use a plain white piece of paper . ",0,Canon_G3.txt,
"i also discovered the exposure-bracket setting , which enables you to take three exposures with one press of the shutter : the first at the camera-determined exposure , then one lighter and one darker . ",0,Canon_G3.txt,
especially useful with portraits and difficult-to-meter situations . ,0,Canon_G3.txt,
i did buy the telephoto lens ( and the required extension ) . ,0,Canon_G3.txt,
very easy to use . ,0,Canon_G3.txt,
"i 'll probably also get the wide-angle now , too . ",0,Canon_G3.txt,
"very comfortable camera , easy to use , and the best digital photos you 're going to get at this price . ",1,Canon_G3.txt,"camera[+3],use[+1],photo[+3]"
i 've been using the g3 for about six weeks and it has proven itself to be all that it 's advertised . ,1,Canon_G3.txt,g3[+2]
"after doing a hands-on comparison between the nikon coolpix 5700 and sony dsc-f 717 ( both of which lack the quality , feel , or features of the g3 ) , i ultimately chose the g3 because of its outstanding image quality ( resolution and coloration are superior ) . ",0,Canon_G3.txt,
"it beats the competition in almost every area including battery life , enthusiast features , external flash capabilities , available storage types , image formats , and more . ",0,Canon_G3.txt,
this is a camera you will need to study and use in order to fully exploit its many features . ,0,Canon_G3.txt,
"it can be a point-and-shoot camera , but if you do not intend to "" get into "" it 's finer features , i 'd suggest a less enthusiast featured choice . ",0,Canon_G3.txt,
"all-in-all , i believe this is arguably the best non-slr digital camera on the market . ",1,Canon_G3.txt,camera[+3]
"the canon g3 improves in almost all ways on the g1 and g2 before it , and in fact beats the nikon coolpix 5000 in performance ( picture quality and battery life ) -- which is amazing because the 5000 is a 5 megapixel camera and the canon is a 4 megapixel camera . ",0,Canon_G3.txt,
canon 's optics are better and i believe their processing algorithms are also better . ,1,Canon_G3.txt,optic[+2]
"simply , the canon g3 is the best digital camera out there today at this price point . ",1,Canon_G3.txt,digital camera[+3]
"the canon allows you to change lenses , and it accepts the ibm microdrive ( type ii compact flash ) , so you can have up to 1 gigabyte of storage . ",0,Canon_G3.txt,
for me on the fine resolution setting ( not maximum but very close ) this adds up to over 1000 images with the 1 gig card . ,0,Canon_G3.txt,
the battery life of this camera is twice that of the nikon 5000 and is better than anything else i 've seen . ,1,Canon_G3.txt,battery life[+2]
"the only minor nits i have with the camera are it is fairly boxy looking , it needs a wrist strap instead of a neck strap , and it is a bit slow between shots . ",1,Canon_G3.txt,look[-2]
"even with these shortcomings , i still think it is the best digital camera available under $ 1200 . ",1,Canon_G3.txt,camera[+3]
definetely a great camera . ,1,Canon_G3.txt,camera[+3]
proven canon built quality and lens . ,1,Canon_G3.txt,"quality[+2],lens[+2]"
feels solid in hand . ,1,Canon_G3.txt,feel[+2]
rather heavy for point and shoot but a great camera for semi pros . ,1,Canon_G3.txt,"weight[-1],camera[+2]"
"repost from january 13 , 2004 with a better fit title . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
does your apex dvd player only play dvd audio without video ? ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
or does it play audio and video but scrolling in black and white ? ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"before you try to return the player or waste hours calling apex tech support , or run the player over with your car , try these simple troubleshooting ideas first . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
no picture : ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
hopefully you still have the remote control . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"if you tossed it out the window , you need to fetch it . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"using the remote control , press the i/p button located on the bottom right corner of the remote . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
the i/p button switches the tv display between interlace and progressive . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"if this doesnt bring back the picture , try pressing this button without playing a dvd . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"if you dont get video back , now you can run the player over with your car ! ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
picture scrolling in b/w : ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
you need the remote control for this so you better get it from your dog before he burries it in the backyard . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
press the p/n button located on the bottom right corner of the remote . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
the p/n button switches your dvd players video output signal between pal and ntsc . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"by pressing p/n , you should be able to get a good picture on the screen . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
for other problems go to http://www.apexdigitalinc.com/support.asp ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video signal . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
im a more happier person after discovering the i/p button ! ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,i/p button[+2]
the button was probably accidentally pushed to cause the black screen in the first place . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"but , if you 're looking for my opinion of the apex dvd player , i love it ! ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,dvd player[+2]
it practically plays almost everything you give it . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,dvd player[+1][p]
i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"player[+2],sound[-1]"
for the price it is a well spent investment ! ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,price[+2]
i would recommend buying one . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i 've owned 6 or 7 dvd players since 1998 . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"this is by far the nicest one , in so many ways . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,dvd player[+3][p]
"it 's very sleek looking with a very good front panel button layout , and it has a great feature set . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"look[+3],panel button layout[+3],feature[+2]"
its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"forward[+2], rewind[+2]"
"it plays alternate video formats ( vcds , svcds , cvds ) very well . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,video format[+3]
and amazon.com has it for such a great price -- how can you go wrong ? ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,price[+3]
i 've bought one for the den and will buy a 2nd one for the bedroom . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
strengths are well listed by other reviewers . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"what got me to buy was the reviewer that said it would play dvd-rs fill of files ( e. , mp3s ) . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"play[+2], dvd-r[+1]"
it sure does ! ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,dvd-r[+1][p]
that 's a rare and valuable feature . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,dvd-r[+2][p]
"i have a dvd burner on my computer and a zillion mp3s , and it 's a lot nicer to access them 4.5 gb at a time ( dvd-r ) than 0.7 gb at a time ( cd-r ) ! ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"another nice thing is that the unit has both optical and coax digital audio outputs , though the latter was not mentioned in the literature i 'd scanned before buying . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,audio output[+2]
"saved me from having to buy an expensive optical cable , as i already had a coax cable . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"at double-speed ( 2x forward speed ) , it still plays mp3s with sound -- they are pitch-corrected and smooth , but twice as fast ! ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,forward[+2]
"i wish it would do the same for movies , but that 's one rare / cool feature you will have to forgo . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"weaknesses are minor : the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom setting ( 2x , 3x , 4x , 1/2x , etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ] . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"remote control[-1], mp3 filename[-1]"
"if you 're a bargain hunter and you want a great feature set for a rock-bottom price , i highly recommend this model . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"update : the finish is more "" mirror "" than silver -- and i like it ! ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,finish[+2]
many of our disney movies do n't play on this dvd player . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"play[-2], disney movie[-2]"
i spoke to a rep. at apex and was told that a new format is being used and we wont be able to view any disney movies made in the last couple months . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
player has a problem with dual-layer dvd 's such as alias season 1 and season 2 . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,dual-layer dvd[-2]
"for the money , get a better quality player . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
player works and looks great - if you can get the dvd 's to play . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"player[+1], look[+3]"
"i know the saying is "" you get what you pay for "" but at this stage of game dvd players must have better quality than this - there is no excuse . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3]
will never purchase apex again . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,apex[-3]
customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"customer service[-3], technical support[-3]"
"pass this player up , and never believe the reviews on a product right before christmas ! ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"for the first few weeks , this player was everything i expected it to be , an affordable multi-format dvd player with a stylish slim case as advertised . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,case[+2]
"then my dvds would stop playing in the middle , or not even be read at all . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"dvd[-2], read[-2], play[-2]"
new cds almost always began skipping after a few plays . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,cd[-2]
"i thought it was just the player , but then i started checking the discs to find that the apex 2600 is actually ruining my media . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3]
there are funny little ridges on the dvd that look like the slice of a tree trunk ! ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
this player is not worth any price and i recommend that you do n't purchase it . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3]
"i intend to contact the company , but from what i 've read . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i just got screwed out of fifty bucks . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
apex does n't answer the phone . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,support[-3][u]
* sigh . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
no way to contact their customer service . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,customer service[-2]
very bad quality . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,quality[-3]
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+2]
i took it to my father 's house to play a tom jones concert dvd and he loved the player so much i gave it to him . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+1]
now i need to buy myself another one ! ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
have used it frequently and have had no problems . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+2][p]
"i always research electronics online before i buy because even within the same company , some models are better than others . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i liked this one enough to buy another . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+2][p]
my dad also has an apex tv and it was another great value for the money . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,apex[+2]
great quality picture and features . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"picture quality[+2],feature[+2]"
thought i 'd weigh in here with my stats . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i 've bought 3 apex dvd players now . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"they play just about everything , but # 2 and # 3 died very shortly after getting them . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2][p]
i am back to using # 1 . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"nice machines , but i consider their quality pretty low now . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-1]
this item broke just two weeks after i gave it to my kids for christmas . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2][u]
the door would not close . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,door[-2]
i tried to contact apex to return it ( i missed the amazon return period ) and it took 3 months to get through to their customer service dept . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,customer service[-3]
i am still trying to resolve it four months later . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
it looks great - and is loaded with features . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"look[+2], feature[+2]"
"unfortunately it turns out to be the "" disposable "" type . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2][p]
have had problems since the first day ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2][u]
"- not playing some dvds and then finally after less than 60 days , it just would not recognize anything i pop in it . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"play[-2], dvd[-2]"
save money on the long run - buy something decent once instead of buying cheap every month . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
the apex 2600 has been a steady performer for me . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,apex[+2]
"i bought mine in december of 2003 , and have had no real problems with it . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+1][p]
it does tend to run quite hot and should be given lots of room for air circulation . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,heat[-1][u]
"it did also seem to have a strong "" new electronics "" smell for some time . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,smell[-2]
"the only thing i did experience was a problem of the player freezing while playing , which i was able to clear by opening it up and blowing it out with "" canned air . "" ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,freezing[-1]
"this problem vanished after the first month , so i assume it was a temporary dust issue . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
the two main reasons i had for getting this model were the range of disks types played and the recommendation of a friend . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"( he had owned two apex dvd players , and was pleased with both of them . ) ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+2]
"the fact that this model would play jpeg slideshows was a big plus for me as a visual artist , and i discovered by accident ( it is not mentioned anywhere in the literature ) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"jpeg slideshow[+2],mpeg1[+1]"
"the remote is okay , but i am not a fan of remotes with tiny buttons . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,remote[-1]
"i especially like the more commonly used buttons , such as play , pause , and stop , to be larger and conveniently placed . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,button[-2]
"while it is true that it will stand on end , it is also easy to knock over that way . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i also did n't like the way it displayed information way down into the screen when you are in zoom mode . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,zoom mode[-2]
"the zoom goes up and down in magnification , which is nice , but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,zoom[-2]
"having spent considerable time with professional video gear , i find onscreen displays annoying . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,onscreen display[-2]
i have not used the progressive scan feature . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
this model has come down in price since i purchased mine . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"while it seems like some people have had trouble with theirs , mine has run well , and i would recommend it if you are considering a dvd player purchase . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"any possible problems should be weighed against the bang-for-the-buck factor , along with the fact that companies like apex seldom have good after-sale support . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"while i would like to give it 3.5 stars instead of 4 , i gave it a 4 because it has run well for me during the time i have owned it . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+2][p]
i purchased this unit 3 months back and i think the unit knew when my warrenty expires . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
it is more than 90 days and it does not show the picture no matter what i do . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"picture[-2], player[-3][p]"
i can only hear the sound . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"i changed video cables , tried connecting to tv on input1 and input2 but no help . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i think you get what you pay for stands true . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"i have had this player for 3 months and have been able to see a total of 6 dvd 's , after the frustration and aggrivation of getting the player to do it 's job . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2]
i have tried many times to get a hold of apex who does n't seem to answer their emails and telephone number is constantly busy as ( i believe ) the one lonely customer service rep is probably extremely overworked . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,customer service[-3]
"as i emailed to the the customer service department , the only thing this player has done consistantly is use enought electricity to keep the red led burning . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"do yourself a favor and save your money to get something of better quality , or at least works . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"if i could give this a negative rating , i would . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i am surprised amazon still carries this after all of the continued problems . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
wo n't play a lot of discs . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"play[-2], disc[-2]"
i can only confirm what other customers have said - crap ! ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"some movies it played yesterday , it wo n't play today . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,play[-2]
"it wo n't play 80 % of my movies , which are all store boughten . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,play[-2]
tech support from apex is literally - nonexistent . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,tech support[-3]
"amazon , do your customers a big favor , do n't carry this item , and give them refunds ! ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
there should have been a recall on this product . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
fair warning - do not buy . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i repeat - do n't wast your money . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i bought 2 of this model for christmas presents and neither one of them work ! ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3][u]
it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,dvd player[-3]
one stopped working in february and the other in march . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"amazon has been working with me to refund my money , but they reminded me that i have past the 30 day return policy and this was a courtesy return . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"i have had great experience with amazon , but i will probably not buy electronics any more from them to avoid any future return problems . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
the dvd player does not work properly . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,dvd player[-2]
"the player usually plays dvd 's , but has occasional problems such as : 1 ) not recognizing a dvd 2 ) stopping a particular point in a movie every time we played it 3 ) not being able to access certain special features on a rental dvd . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3]
"this has happened with several different dvd 's and occasionally if we keep trying something , it will work when it did not work one time before . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2][p]
"after we discovered the problems , we tried to contact apex ( fkor 3 months ) , but we never got in touch with them.the customer support telephone number is always busy , and they do not answer their web customer support . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,customer support[-3]
i have had this dvd player for about 3 months now . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"nothing has broken on it , and it plays all the dvds i have . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+2][p]
unfortunately it can 't play all of the dvd . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,"play[-2], dvd[-2]"
i have several tv shows on dvd so they are divided by episode . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,dvd[-2]
luckily i also have a ps2 which can play those episodes the player can 't . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"unfortunately i bought a player because the ps2 could n't play all my dvds , and now the player can 't play everything . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2]
i purchased this as a christmas gift for my husband . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
we tried it out christmas night and it worked great . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,work[+2]
even viewed cds full of jpgs . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,jpeg[+2]
"we did n't get to use it again for over a month ( sad , i know ) . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"but when we went to use it again , there was sound but no picture . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"picture[-2], player[-2][p]"
"we saw reviews that said the same thing , and also saw here that their customer service stinks . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"though we were past the deadline for returns ( by a few days ) , i contacted amazon right away and pleaded for help . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"they authorized my late return , and hopefully they are giving apex heck . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"i hate apex but love amazon , and i tell everyone . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,apex[-3]
do not buy this player . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"who knows how many uses you 'll get out of it before it craps out , but it probably will . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3][p]
"we 've purchased 3 universal remotes so far-all claiming to work "" apex "" dvd players and none worked . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,remote[-2]
called customer service and basically was told to either keep buying univ. remotes to try or buy the replacement remote for $ 23 ( which is almost half of what i paid for the whole player ) . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
if anybody knows of a remote to work this-i 'd love to hear from you ! ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"( on here of course ) also , a couple dvd 's would n't play and they were new ones ! ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"dvd[-2], play[-2]"
i had to return the remote on this product because it appeared to be defective . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,remote[-2]
it took over 2 months and repeated follow-up to get it replaced . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,customer service[-3]
i would not be inclined to purchase an apex product again . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,apex[-3]
door broke after a month . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,door[-2]
unit took forever since the begiining to recognize and play discs . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,unit[-3]
3 months of use and it no longer recognizes anything . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2][p]
forget about it . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
it 's money down the drain . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
get cheaper panasonics or toshibas or even sonys . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"well , it was nice while it lasted . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[+1]
"after @ 3 months , it stoppped playing higher number scenes on dvds . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2]
"as an engineer , i am embarrassed for the engineering profession when such crap is released for sale . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3][u]
only used for 3 month before it 's down ! ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3][p]
i had hoped this was bought from walmart so that i could return it ! ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"it sends discoutinous signals to tv , so the tv has the pictures for one moment and has only the white noise for the other moment . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,picture[-2]
the other thing i do n't like about this 2600 is that it makes the color look over saturated . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,color[-2]
"maybe it 's good for tvs with not so good color settings , but not good for my tv that already has very vibrant pictures . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i purchased the ad2600 after feeling comfortable with the reviews i read here on amazon . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"as soon as i lifted the unit out of the box , i questioned my judgement . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
the entire unit was poorly crafted . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,unit[-2][u]
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,screw tip[-2]
"after hooking the thing up , i found that it would only played less than 50 % of the dvds i put in it . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"dvd[-2], play[-2]"
most of the dvds i was trying were fairly new and were in great condition . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
the dvd player just would't recognize them . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-2]
"it would spin , read , spin some more and then show on the display that there was no disc . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,no disc[-2]
i ended up sending the unit back to amazon . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"this dvd player plays raw mpeg2 and mpeg1 videos , jpeg , wma , cdr / cdrw / dvdr / dvdrw , and of course plays dvd movies from uk. i love the aiff , progressive scan feature . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"format[+2][u],progressive scan[+2]"
now it would have gotten 5 stars had this baby come with features to upgrade the firmware and was able to play divx or avi videos . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
but for $ 49.99 go get one ! ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
features and looks this dvd player is overpriced had it come with sony or one of the other top brand names . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i have not even used my new dvd player and already i am disapointed ! ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,player[-3]
i have been trying for over a week to contact apex . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
they will not respond to my emails ( promised turnaround time is 24 hours ) and the phone line is constantly busy . ,1,Apex_AD2600_Progressive-scan_DVD_player.txt,customer service[-3]
all i am looking for is a rebate form ! ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"i accually did n't buy the apex ad-2600 from amazon but , the reviews i found here helped me purchase it . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
i have owned an apex ad-3201 for close to 3 years now and i love that deck . ,0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"because of it 's hidden features ( no macrovision , non-regional ) i keep this baby around to watch non-american region dvd 's . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,feature[+2]
"however , the ad-2600 does n't have this feature ( for now ) . ",0,Apex_AD2600_Progressive-scan_DVD_player.txt,
"the cool thing about the ad-2600 it plays alot of different file like mp3 , wma cds , jpeg and kodak picture cds , dvd 's , dvd - / + r 's . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"play[+2], different file[+2]"
"it 's not a listed feature but , the one thing that sold the unit is that it plays mpeg video . ",1,Apex_AD2600_Progressive-scan_DVD_player.txt,"play[+2], mpeg[+2]"
