,0,1,aspect,prediction
469,i find the lack of entertaining games on this phone quite disturbing . ,Phrase,game,phone|lack
470,i do n't really like bounce,IC,,bounce|bounce|bounce|bounce|bounce
471,i have always known nokia to provide me with good games on their phones,IC,,
472,battery-life is good for a phone of this size,IC,battery life,battery-life
473,you should really look at here,DC,voice dialing,thing|fact|phone
474,great screen and great sound . ,Phrase,screen,screen|sound
475,everybody loves the fm-radio in this,IC,,cell-phone|everybody
476,"the 6610 excels as a cell-phone , thank god . ",Phrase,phone,god
477,the voice-quality is very good,IC,voice quality,coverage|reception|voice-quality
478,the color-screen makes this free-after-rebates phone-shine bright,IC,screen,phone-shine
479,my only gripe about the hardware is the buttons,IC,button,gripe|gripe|gripe|hardware|hardware
480,nokia seems on a campaign to revamp the phone-keypad,IC,,campaign
481,it,IC,key,arrangement|someone
482,build quality,DC,,nokia
483,for flips,DC,phone,phone
484,finally i reiterate my thumbs-down-rating for t-mobile as a carrier,IC,t-mobile,thumbs-down-rating|t-mobile|t-mobile|carrier|carrier
485,their network-coverage is very sporadic,IC,t-mobile,experience|network-coverage
486,if you can get this phone for cingular or at t,DC,,phone|t
487,what a great phone it is,IC,phone,phone|nokia|phone
488,when i first saw the,DC,,
489,after using it i found the size to be perfect for carrying in a pocket,IC,size,size|size|pocket|pocket
490,it is just a tad small to hold to your ear with your shoulder,IC,earpiece,handsfree-ear-piece|tad
491,the ear-piece has a button,IC,,mess|mess|phone|phone|mess
492,it packs outweighs this shortcoming,DC,voice dialing,phone
493,when i turned the phone on,DC,screen,thing
494,the resolution is very good,IC,resolution|color,resolution
495,the phone has several color schemes,IC,,phone
496,i like the default-blue . ,Phrase,,default-blue|default-blue
497,you can also set a background-wallpaper,IC,,background-wallpaper
498,they were polyphonic,DC,ringtone,
499,no more annoying series of beeps . ,Phrase,,series
500,it actually sounds like music,IC,,phone|time|time
501,you can also assign special rings and graphics to special people,IC,ring,
502,the massive phonebook can hold entries with multiple phone-number per entry,IC,,work|work|work|work|work|contact|contact|phonebook
503,even if it is just through an ear-peice,DC,phone,
504,the gprs connection is sometimes slow,IC,gprs,connection
505,you can get weather movies horoscopes and more with a few clicks,IC,,
506,the service deafults to showing the information associated with your billing-zip-code,IC,,default
507,as of this writing t-mobile has n't updated their t-zone-system to fully support the,IC,t-zone,t-mobile|t-mobile|t-mobile|t-mobile|t-zone-system
508,i try to access the game downloads on t-zones,IC,,phone
509,i have been assured,IC,,
510,"now , for the t-mobile service : ",Phrase,,service
511,who answer the phones,DC,,
512,if you have a question,DC,,answer
513,and should they not know it they can find it out pretty quick,IC,,
514,every phone-experience has started with a very brief time on hold followed by a cheerful representative answering the phone,IC,,time|hold
515,all my questions or problems have been quickly and satisfactorily resolved,IC,t-mobile service,
516,my old carrier do that,DC,,carrier
517,the rate plans are also very good at least for me,IC,rate plan,rate
518,the t-mobile plans are priced very well for the minutes and services,IC,,course
519,if the phone had voice-dialing,DC,,phone|game|phone
520,this phone is highly recommended otherwise,IC,phone,phone
521,nokia makes a great phone,IC,phone,phone|phone
522,the menus are easily accessible,IC,menu|feature,quality
523,the one huge disappointment is,IC,menu,manufacturer
524,one of the things t-mobile brags about is the fact,IC,,worldphone|worldphone|worldphone|worldphone|worldphone|etc.|etc.|worldphone|fact
525,that should be in the phone including italian german and dutch,DC,,phone|phone|phone|phone|phone|phone|german|german|german|german
526,because they have deleted the menu options,DC,internet,internet|network
527,if you wanted to travel abroad and pop in a local sim-card,DC,,way|wap-browser|internet|sim-card
528,after spending hours being transferred from one tech-help-person to another i got fed up and have decided to return the phone,IC,,tech-help-person|tech-help-person|phone
529,so you can take it abroad,DC,,feature|line
530,"find another phone , or buy this one in its manufacturer-unlocked form . ",Phrase,,phone|form|form|form
531,this phone is good with a huge array of features built into it,IC,phone|feature,phone
532,i purchased the phone last week and have been using till then,IC,,week
533,i did n't had any problem till now,IC,,problem
534,the design is sleek,IC,design,resolution|design
535,it is very light weight and has a good signal-strength,IC,weight,weight
536,that i think,DC,sound quality,quality|quality
537,it is not as good as the samsung phones,IC,,
538,when talking the voice is not very clear . ,Phrase,voice,voice
539,but i would definately recommend this phone,IC,phone,phone
540,go for it ... ,Phrase,,
541,i have read a lot of the reviews,IC,,phone
542,it is crystal clear,IC,sound quality,
543,this is one of the nicest phones nokia,IC,phone,
544,i do recommend getting the data kit for those geeks,IC,,kit|kit
545,there are a lot of cool websites with games and midi ringtones to download for free,IC,,lot
