,index,sentence,lambda,raw_aspect,sentiment,aspect,target
103,103,warning - i did read the manual ! ,"warning_VB_Ne_1(did_VB_N_0(read_VB_N_0(manual_NN_N_0),i_FW_N_0))",[],[],[],
104,104,"but if you 've used a slr 35mm camera , the controls are very intuitive ! ","CC(ve_VB_N_0(used_VB_N_0(seq(slr_NN_N_0,camera_NN_N_0)),you_PRP_N_0,\X.X))",[],[],[],control[+2]
105,105,once i read the manual i was able to point and shoot without having to fumble around trying to figure out where the controls are located . ,"having_VB_N_0(fumble_VB_Ne_1(trying_VB_N_0(figure_VB_N_0(\X.X))),CC(shoot_NN_N_0,point_NN_N_0),i_FW_N_0)",[],[],[],
106,106,"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality . ","spin_NN_N_0(select_VB_N_0(CC(CC(quality_NN_P_1,\X.selects_VB_N_0(X),camera_NN_N_0,program+mode_NN_N_0),length_NN_N_0,speed_NN_N_0(seq(subjects_NNS_N_0,priority_NN_N_0),priority_NN_N_0)),you_PRP_N_0))",['quality_NN_P_1'],[1],['quality'],dial[+1]
107,107,the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options . ,"seq(selection_NN_P_1,access_NN_P_1,\X.use_VB_N_0(X),mode_NN_N_0)","['selection_NN_P_1', 'access_NN_P_1']","[1, 1]","['selection', 'access']",manual mode[+2]
108,108,it does n't do you any good if a camera has all the features but you can 't access them quickly when you need them ! ,"CC(t_NN_N_0(need_VB_N_0(them_PRP_N_0,you_PRP_N_0,\X.X),you_PRP_N_0),has_VB_N_0(features_NNS_N_0,camera_NN_N_0,good_JJ_P_1(do_VB_N_0(you_PRP_N_0)),it_PRP_N_0))",[],[],[],
109,109,this camera also has a great feel and weight to it . ,"has_VB_N_0(it_PRP_N_0(CC(weight_NN_P_1,feel_NN_N_0)),camera_NN_N_0)",['weight_NN_P_1'],[1],['weight'],"feel[+2],weight[+2]"
110,110,"you feel like you are holding something of substance , not some cheap plastic toy . ","feel_VB_N_0(are_VB_N_0(holding_VB_N_0(something_NN_N_0),you_PRP_N_0),you_PRP_N_0)",[],[],[],feel[+2]
111,111,"the more i work with it , the more i love it ! ","love_VB_P_1(it_PRP_N_0,i_FW_N_0)",[],[],[],camera[+2][p]
112,112,i would recomend that you purchase a lexar media cf for the camera as the sandisk card that comes packaged is too small and too slow ! ,"recomend_VB_P_1(CC(sandisk+card_NN_Ne_2,sandisk+card_NN_N_0,camera_NN_N_0(purchase_VB_N_0(seq(media_NNS_N_0,cf_NN_N_0))),you_PRP_N_0),i_LS_N_0)",['sandisk+card_NN_Ne_2'],[0],['sandisk card'],
113,113,i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! ,"think_VB_N_0(find_VB_N_0(CC(ease_NN_P_1,quality_NN_N_0),i_FW_N_0),i_LS_N_0)",['ease_NN_P_1'],[1],['ease'],camera[+3][u]
114,114,"this is my first digital camera , and i am very pleased with it . ","CC(camera_NN_P_1(it_PRP_N_0,i_FW_N_0))",['camera_NN_P_1'],[1],['camera'],camera[+3]
115,115,"i do not know a whole lot about photography , but i am happy to know that this camera can always perform , even as i grow in skill and knowledge . ","CC(know_VB_N_0(CC(knowledge_NN_P_1,skill_NN_P_1,\X.grow_VB_N_0(X),i_FW_N_0,\X.perform_VB_N_0(X),camera_NN_N_0),i_FW_N_0),know_VB_N_0(seq(photography_NN_N_0,lot_NN_N_0),i_LS_N_0))","['knowledge_NN_P_1', 'skill_NN_P_1']","[1, 1]","['knowledge', 'skill']",
116,116,"seriously , this thing has everything that a pro or expert amateur could want . ","has_VB_N_0(\X.want_VB_N_0(X,CC(seq(everything_NN_N_0,everything_NN_N_0),everything_NN_N_0)),thing_NN_N_0)",[],[],[],camera[+2][u]
117,117,"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it ! ","CC(time_NN_N_0(use_VB_N_0(it_PRP_N_0,me_PRP_N_0(\X.X),auto+mode_NN_N_0(takes_VB_N_0(pictures_NNS_P_1)),it_PRP_N_0)))",[],[],[],"picture[+2], auto mode[+2]"
118,118,four megapixels is great . ,megapixels_NNS_P_1,[],[],[],four megapixel[+1]
119,119,"i know there are five mp cameras out there , but this thing does just fine for me . ","CC(thing_NN_P_1,know_VB_N_0(are_VB_N_0(seq(mp_NN_N_0,cameras_NNS_N_0),\X.X),i_FW_N_0))",['thing_NN_P_1'],[1],['thing'],
120,120,"if you want , check out the canon website and they have some sample images , taken by this camera , for you to download . ","CC(you_PRP_N_0(\X.download_VB_N_0(X),have_VB_N_0(camera_NN_N_0(\X.taken_VB_N_0(X),seq(sample_NN_N_0,images_NNS_N_0))),they_PRP_N_0),want_VB_N_0(check_VB_N_0(canon+website_NN_N_0),you_PRP_N_0))",[],[],[],
121,121,"if you are looking for a very simple point and shoot camera , this is probably not what you are looking for . ","are_VB_N_0(looking_VB_N_0(CC(shoot_VB_N_0(camera_NN_N_0),point_NN_N_0)),you_PRP_N_0,is_VB_N_0(\X.are_VB_N_0(looking_VB_N_0(\X.X),X,you_PRP_N_0),\X.X))",[],[],[],
122,122,"if you are looking for an outstanding camera that can take you from simple to complex , this is it . ","are_VB_N_0(looking_VB_N_0(camera_NN_N_0),you_PRP_N_0,is_VB_N_0(it_PRP_N_0,\X.X))",[],[],[],
123,123,it is a very amazing product . ,"is_VB_N_0(product_NN_P_2,it_PRP_N_0)",['product_NN_P_2'],[1],['product'],product[+3][u]
124,124,i highly recommend it . ,"recommend_VB_P_1(it_PRP_N_0,i_LS_N_0)",[],[],[],camera[+3][p]
125,125,just received this camera two days ago and already love the features it has . ,"CC(love_VB_P_1(has_VB_N_0(features_NNS_N_0,it_PRP_N_0)),received_VB_N_0(camera_NN_N_0),just_RB_N)",[],[],[],feature[+2]
126,126,takes excellent photos . ,takes_VB_N_0(photos_NNS_P_1),[],[],[],photo[+2]
127,127,night mode is clear as day . ,night+mode_NN_P_1,['night+mode_NN_P_1'],[1],['night mode'],night mode[+2]
128,128,"i have not played with all the features yet , but the camera is easy to use once you get used to it . ","CC(camera_NN_P_1,played_VB_N_0(features_NNS_N_0,i_LS_N_0))",['camera_NN_P_1'],[1],['camera'],use[+1][u]
129,129,the only drawback is the viewfinder is slightly blocked by the lens . ,"is_VB_N_0(is_VB_N_0(lens_NN_N_0(\X.blocked_VB_N_0(X)),viewfinder_NN_N_0),drawback_NN_N_0)",[],[],[],viewfinder[-1]
130,130,"however , using the lcd seems to eliminate this minor problem . ","seems_VB_N_0(eliminate_VB_N_0(problem_NN_N_0),using_VB_N_0(lcd_NN_N_0))",[],[],[],
131,131,overall it is the best camera on the market . ,"is_VB_N_0(seq(market_NN_N_0,camera_NN_P_1),it_PRP_N_0)",['camera_NN_P_1'],[1],['camera'],camera[+3]
132,132,i give it 10 stars ! ,"give_VB_N_0(it_PRP_N_0,stars_NNS_N_0,i_LS_N_0)",[],[],[],
133,133,this camera has significantly more noise at iso 100 than the nikon 4500 . ,"iso_NN_N_0(has_VB_N_0(\X.X),camera_NN_N_0)",[],[],[],
134,134,i just bought the camera a few days ago . ,"days_NNS_N_0(bought_VB_N_0(camera_NN_N_0),i_LS_N_0)",[],[],[],
135,135,"before i "" get used to it "" , here are my first feelings : ","get_VB_N_0(used_VB_N_0(it_PRP_N_0),i_FW_N_0,are_VB_N_0(feelings_NNS_N_0))",[],[],[],
136,136,"a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) ) ","one_PRP_N_0(time_NN_N_0(eat_VB_N_0(seq(rice_NN_N_0,grain_NN_N_0))),eliminated_VB_N_0(seq(imaging_NN_P_2,doubt_NN_Ne_1),it_PRP_N_0,picture_NN_N_0(quality_NN_N_0(CC(sharpness_NN_N_0,color_NN_N_0)))))","['imaging_NN_P_2', 'doubt_NN_Ne_1']","[1, 0]","['imaging', 'doubt']",picture quality[+3]
137,137,"b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage . ","seq(b_NN_N_0,lens+cover_NN_Ne_1,CC(cause_VB_N_0(damage_NN_N_0),fingerprinted_VB_N_0(CC(seq(tigt_NN_N_0,au+lens_NN_N_0),seq(times_NNS_N_0,len_NN_N_0))),i_FW_N_0))",['lens+cover_NN_Ne_1'],[0],['lens cover'],lens cover[-2]
138,138,i wish canon would work out some way for that issue . ,"wish_NN_N_0(issue_NN_Ne_1(work_VB_P_1(way_NN_N_0),canon_NN_N_0),i_LS_N_0)",['issue_NN_Ne_1'],[0],['issue'],
139,139,"the zooming lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy . ",zooming_VB_N_0(lever_NN_Ne_1),['lever_NN_Ne_1'],[0],['lever'],zooming lever[-2]
140,140,i bought this last week through amazon . ,"amazon_NN_N_0(bought_VB_N_0(week_NN_N_0),i_LS_N_0)",[],[],[],
141,141,got a great deal from a reputable seller . ,"got_VB_N_0(seq(seller_NN_P_1,deal_NN_P_1))","['seller_NN_P_1', 'deal_NN_P_1']","[1, 1]","['seller', 'deal']",
142,142,i love this camera . ,"seq(love_NN_P_1,camera_NN_N_0,i_LS_N_0)",['love_NN_P_1'],[1],['love'],camera[+2]
143,143,i am still trying to figure out the may options it has . ,"trying_VB_N_0(figure_VB_N_0(has_VB_N_0(options_NNS_N_0,it_PRP_N_0)),i_FW_N_0)",[],[],[],
144,144,took hundreds of pictures and they were great . ,took_VB_N_0(hundreds_NNS_P_1),[],[],[],picture[+2]
145,145,"great colors , pictures and white balance . ","CC(balance_NN_N_0,seq(colors_NNS_P_1,pictures_NNS_N_0))",[],[],[],"color[+2],picture[+2],white balance[+2]"
146,146,has 4x optical zoom which is higher than any other in the same price range . ,"has_VB_N_0(seq(4x_NN_N_0,zoom_NN_N_0))",[],[],[],optical zoom[+1]
147,147,it is generally overpriced a little bit but you get what you are paying for . ,"CC(get_VB_N_0(\X.are_VB_N_0(paying_VB_N_0(\X.X),X,you_PRP_N_0),you_PRP_N_0),bit_NN_N_0(\X.overpriced_VB_Ne_1(X),it_PRP_N_0))",[],[],[],
148,148,"maybe it is my lack of experience , but i found shots with this camera very disappointing . ","CC(seq(camera_NN_N_0,shots_NNS_N_0,lack_NN_Ne_2,i_FW_N_0))",['lack_NN_Ne_2'],[0],['lack'],picture[-3][u]
149,149,it was ( i sold it after a few months ) too expensive for the shots that i got . ,"was_VB_N_0(got_VB_N_0(shots_NNS_N_0,i_FW_N_0,months_NNS_Ne_2(sold_VB_N_0(it_PRP_N_0)),i_FW_N_0),it_PRP_N_0)",[],[],[],price[-3][u]
150,150,"sure it had all the features , but when i tried to shoot a girl 's basketball game it just wan't up to the task . ","CC(tried_VB_N_0(shoot_VB_N_0(girl+basketball+game_NN_N_0),i_FW_N_0,task_NN_N_0(\X.wanot_VB_N_0(X),it_PRP_N_0)),had_VB_N_0(features_NNS_N_0,it_PRP_N_0))",[],[],[],camera[-2][u]
151,151,i do n't think i was asking too much . ,"think_VB_N_0(was_VB_N_0(asking_VB_N_0(much_RB_N),i_FW_N_0),i_LS_N_0)",[],[],[],
152,152,any film zoom p and s would have given superior results with a minimal effort . ,"have_VB_N_0(effort_NN_N_0(given_VB_N_0(results_NNS_P_1)),film_NN_N_0(zoom_NN_N_0(CC(s_NNS_N_0,p_NN_N_0))))",[],[],[],
153,153,and with the 500 you save you could print the results for the life of the camera . ,"CC(save_VB_N_0(\X.X,you_PRP_N_0,print_VB_N_0(seq(life_NN_N_0,results_NNS_N_0),you_PRP_N_0)))",[],[],[],
154,154,i found that low light situations combined with any sort of action left this camera in the dust . ,"found_VB_N_0(dust_NN_Ne_1(left_VB_N_0(camera_NN_N_0),combined_VB_N_0(sort_NN_N_0,situations_NNS_N_0)),i_LS_N_0)",['dust_NN_Ne_1'],[0],['dust'],camera[-3]
155,155,i wanted it to shoot concerts as well . ,"wanted_VB_N_0(it_PRP_N_0,shoot_VB_N_0(concerts_NNS_N_0),i_LS_N_0)",[],[],[],
156,156,that meant even less light and just as much action . ,"meant_VB_N_0(CC(action_NN_N_0,light_JJ_N_0),\X.X)",[],[],[],
157,157,"sure , i adjusted the film speed to 400 . ","adjusted_VB_N_0(film+speed_NN_N_0,i_FW_N_0)",[],[],[],
158,158,the grain was terrible . ,grain_NN_Ne_1,['grain_NN_Ne_1'],[0],['grain'],grain[-3]
159,159,next time i set it at 100 and used the flash . ,"time_NN_N_0(CC(used_VB_N_0(flash_NN_N_0),set_VB_N_0(it_PRP_N_0),i_FW_N_0))",[],[],[],
160,160,"well flash photos are never great , and there was still a lot of noise . ","CC(was_VB_N_0(lot_NN_N_0,\X.X),\X.X)",[],[],[],"flash photo[-3],noise[-2]"
161,161,"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome . ","CC(moving_VB_N_0(objects_NNS_N_0),plenty_NN_N_0(took_VB_N_0(photos_NNS_N_0),i_FW_N_0),photos_NNS_P_1)",[],[],[],photo[+3]
162,162,the camera was a marvel . ,"was_VB_N_0(\X.marvel_VB_P_1(X),camera_NN_N_0)",[],[],[],camera[+1]
163,163,getting the printer to help output them was another tale . ,"was_VB_N_0(tale_NN_N_0,getting_VB_N_0(printer_NN_N_0,help_VB_N_0(output_NN_N_0(them_PRP_N_0))))",[],[],[],
164,164,overall i think that you need to consider what you wan't to do . ,"overall_JJ_N_0(think_VB_N_0(need_VB_N_0(consider_VB_N_0(\X.wanot_VB_N_0(\X.do_VB_N_0(X),X,you_PRP_N_0)),you_PRP_N_0),i_FW_N_0))",[],[],[],
165,165,"for simple point and shoot photography , consider a cheaper digital . ","CC(shoot_VB_N_0(photography_NN_P_1),point_NN_N_0)",['photography_NN_P_1'],[1],['photography'],
166,166,you do n't need the extra resolution or the cost . ,"need_VB_N_0(CC(cost_NN_N_0,resolution_NN_N_0),you_PRP_N_0)",[],[],[],
167,167,then again a one time use camera may do just as well . ,"use_NN_N_0(do_VB_N_0(camera_NN_N_0),time_NN_N_0)",[],[],[],
168,168,"if you shoot in lots of light and desire high quality , this will be your camera . ","CC(seq(desire_NN_N_0,quality_NN_N_0),lots_NNS_N_0(\X.shoot_VB_N_0(X)),you_PRP_N_0,be_VB_N_0(camera_NN_N_0,\X.X))",[],[],[],
169,169,it is versatile and seems to be one of the best . ,"CC(seems_VB_N_0(be_VB_N_0(\X.X)),versatile_JJ_P_1,it_PRP_N_0)",[],[],[],camera[+3][p]
170,170,"me , i am going with a leica minilux ( the g3 was replacing mine which was stolen ) . ","was_VB_N_0(replacing_VB_N_0(was_VB_N_0(\X.stolen_VB_Ne_1(X),mine_NN_N_0)),am_VB_N_0(seq(g3_NN_N_0,leica+minilux_NN_N_0,\X.going_VB_N_0(X)),me_PRP_N_0,i_FW_N_0))",[],[],[],
171,171,sure . ,fail_RB_N,[],[],[],
172,172,"it is less versatile , but i am never disappointed with the output . ","CC(disappointed_VB_Ne_1(output_NN_N_0,i_FW_N_0),versatile_JJ_P_1(it_PRP_N_0))",[],[],[],
173,173,"i am a long-time user of highly responsive film slrs and professional quality external flash equipment , just so you know my bias . ","know_VB_N_0(bias_NN_Ne_1,you_PRP_N_0,am_VB_N_0(user_NN_N_0),i_LS_N_0)",['bias_NN_Ne_1'],[0],['bias'],
174,174,"i have been watching the development of digicams for years , waiting to make my first move . ","have_VB_N_0(been_VB_N_0(waiting_VB_N_0(make_VB_N_0(move_NN_N_0),years_NNS_N_0,watching_VB_N_0(development_NN_N_0))),i_LS_N_0)",[],[],[],
175,175,"what i really want is a $ 1,500 digital slr with a full frame sensor that will take my nikon lenses . ","is_VB_N_0(take_VB_N_0(seq(nikon_NN_N_0,lenses_NNS_N_0),frame+sensor_NN_N_0,slr_NN_N_0),\X.want_VB_N_0(X,i_FW_N_0))",[],[],[],
176,176,"i figure that is at least three years off , and i am getting impatient . ","CC(am_VB_N_0(getting_VB_N_0(figure_NN_Ne_1),i_FW_N_0))",['figure_NN_Ne_1'],[0],['figure'],
177,177,hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations . ,"have_VB_N_0(let_VB_N_0(me_PRP_N_0,get_VB_N_0(limitations_NNS_N_0),features_NNS_N_0),\X.X,pointandshoot+digicam_NN_N_0,decided_VB_N_0(\X.spring_VB_N_0(X)),i_FW_N_0)",[],[],[],
178,178,"i chose the g3 because of its reputation for very high quality , clean images . ","chose_VB_N_0(g3_NN_N_0,i_LS_N_0)",[],[],[],g3[+1]
179,179,"the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash . ","are_VB_N_0(focuslocks_VB_N_0(it_PRP_N_0,lag+time_NN_N_0),knew_VB_N_0(\X.have_VB_N_0(deal_VB_N_0(\X.X),X,i_FW_N_0),limitations_NNS_Ne_1,i_FW_N_0))",[],[],[],"lag time[-2],flash[-2]"
180,180,"as of this writing , technology has not solved the focus-lock lag time problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film slr . ","CC(used_VB_N_0(film+slr_NN_P_1,is_VB_N_0(satisfied_VB_P_1(it_PRP_N_0),anyone_NN_N_0)),solved_VB_N_0(seq(pointandshoot_NN_N_0,digicams_NNS_N_0,seq(focuslock_NN_N_0,lag+time+problem_NN_N_0)),\X.X))",['film+slr_NN_P_1'],[1],['film slr'],
181,181,"at least once youve got focus lock , the shutter release lag time for the g3 is about 1/10 of a second , which from what ive read , is better than just about anything else available . ","got_VB_N_0(focus_NN_N_0,seq(lock_NN_N_0,shutter+release_NN_N_0),youve_NN_N_0,is_VB_N_0(\X.X,seq(g3_NN_N_0,lag+time_NN_N_0)))",[],[],[],
182,182,what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . ,"CC(f8_NN_N_0(shoot_VB_N_0(digicams_NNS_N_0)),is_VB_N_0(depth_NN_P_1),makes_VB_N_0(focuslock+lag+time_NN_N_0,live_VB_N_0(\X.X,something_NN_N_0,i_FW_N_0)))",['depth_NN_P_1'],[1],['depth'],depth[+1]
183,183,"once i get focus lock , i can then wait until my restless subject ( a pet or a child ) strikes an amusing pose and then fire the shutter with some reasonable probability of getting my subject still in focus . ","CC(probability_NN_N_0(fire_VB_N_0(shutter_NN_N_0)),strikes_VB_N_0(subject_NN_P_1(\X.pose_VB_N_0(X))),\X.wait_VB_N_0(X),i_FW_N_0)",['subject_NN_P_1'],[1],['subject'],
184,184,now what about the flash problem ? ,\X.X,[],[],[],
185,185,"relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots . ","produces_VB_N_0(seq(spots_NNS_Ne_1,images_NNS_Ne_1),seq(g3_NN_N_0,flash_NN_N_0),flash_NN_N_0(\X.achieve_VB_N_0(X)),produces_VB_N_0(seq(spots_NNS_Ne_1,images_NNS_Ne_1),seq(g3_NN_N_0,flash_NN_N_0)),i_FW_N_0)",[],[],[],flash[-2]
186,186,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 . ","CC(me_PRP_N_0(owned_VB_N_0(\X.X,i_FW_N_0)),has_VB_N_0(take_VB_N_0(flash_NN_N_0,shoe_NN_P_1),g3_NN_N_0))",['shoe_NN_P_1'],[1],['shoe'],external flash hot shoe[+1]
187,187,"i cant use my nikon external flash on a canon camera , but i can use my metz , with the proper metz module and extension cord connected between the g3 and the 60 ct-4 . ","CC(use_VB_N_0(metz_NN_N_0,CC(ct4_NN_N_0,g3_NN_N_0,\X.connected_VB_N_0(X),metz_NN_P_1(CC(extension+cord_NN_N_0,module_NN_N_0))),i_FW_N_0),cant_FW_N_0(canon+camera_NN_N_0(use_VB_N_0(seq(nikon_NN_N_0,flash_NN_N_0))),i_FW_N_0))",['metz_NN_P_1'],[1],['metz'],
188,188,"for those who have this metz flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz module you need is the sca 3102 and the connector cord is the sca 3000c . ","CC(like_VB_P_1(get_VB_N_0(quality_NN_N_0)),have_VB_N_0(CC(45cl3_NN_N_0,metz+flash_NN_N_0)),\X.X,CC(is_VB_N_0(sca_NN_N_0(\X.X),connector+cord_NN_N_0),is_VB_N_0(sca_NN_N_0(\X.X),need_VB_N_0(metz+module_NN_N_0,you_PRP_N_0))))",[],[],[],
189,189,"in order for this to work , you have to set the camera to manual mode and set the shutter speed and f-stop yourself . ","work_VB_P_1(order_NN_N_0,have_VB_N_0(CC(set_VB_N_0(shutter+speed_NN_N_0),mode_NN_N_0(set_VB_N_0(camera_NN_N_0))),you_PRP_N_0))",[],[],[],
190,190,"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon . ","does_VB_N_0(seq(canon_NN_N_0,flashes_NNS_P_1,\X.does_VB_N_0(X),it_PRP_N_0,sync_NN_N_0(\X.X)),contrary_JJ_N_0(\X.read_VB_N_0(X,ive_RB_N)))",[],[],[],flash[+2]
191,191,"you also have to set the g3 to second shutter sync , which is what youd want to do most of the time anyhow . ","have_VB_N_0(set_VB_N_0(seq(g3_NN_N_0,shutter+sync_NN_N_0)),you_PRP_N_0)",[],[],[],
192,192,"then just forget about all the controls you have on the metz flash head itself and the sca 3102 control panel , because they are all ignored . ","are_VB_N_0(\X.X,\X.ignored_VB_N_0(X),they_PRP_N_0,forget_VB_N_0(CC(seq(sca_NN_N_0,control+panel_NN_N_0),itself_PRP_N_0(metz+flash+head_NN_N_0,\X.have_VB_N_0(X),controls_NNS_N_0,you_PRP_N_0))),just_RB_N)",[],[],[],
193,193,"the g3 completely takes over controlling the duration of the metz flash , and most of the time , the exposure is spot on and when it isnt , its because youve exceeded the range of the metz flash itself . ","takes_VB_N_0(controlling_VB_N_0(duration_NN_N_0),g3_NN_N_0)",[],[],[],
194,194,"this might happen if you get too close to the subject and you are not bounce-flashing , or if you are bounce flashing and the walls are simply too far away . ","CC(CC(\X.X,are_VB_N_0(bounce_VB_N_0(\X.flashing_VB_N_0(X)),you_PRP_N_0)),CC(bounceflashing_VB_N_0(you_PRP_N_0),seq(close_JJ_N_0,subject_JJ_N_0,you_PRP_N_0)),\X.happen_VB_N_0(X),\X.X)",[],[],[],
195,195,"unfortunately , the neutral density filters for the metz flash are no longer available , so the first problem cant easily be solved . ",\X.X,[],[],[],
196,196,the second problem is solved by more direct lighting from the metz ( with the attendant shadows unfortunately ) . ,"is_VB_N_0(shadows_NNS_N_0(seq(metz_NN_N_0,lighting_NN_N_0),\X.solved_VB_N_0(X)),problem_NN_N_0)",[],[],[],
197,197,"but once youve got your exposure within an acceptable range , the g3 is shown to produce utterly stunning images that i can hardly get with my nikon f100 film camera . ","CC(range_NN_N_0(got_VB_N_0(exposure_NN_N_0),youve_NN_N_0,is_VB_N_0(shown_VB_N_0(produce_VB_N_0(seq(nikon_NN_N_0,f100+film+camera_NN_N_0,\X.get_VB_N_0(X),images_NNS_P_2,i_FW_N_0))),g3_NN_N_0)))",[],[],[],
198,198,"the 60 ct-4 flash head can actually be reversed 180 degrees and then tilted , enabling you to bounce the flash off the walls behind you . ","CC(enabling_VB_N_0(you_PRP_N_0,you_PRP_N_0(walls_NNS_N_0(bounce_VB_N_0(flash_NN_N_0)))),be_VB_N_0(reversed_VB_N_0(degrees_NNS_N_0)),seq(ct4_NN_N_0,flash+head_NN_N_0))",[],[],[],
199,199,the results are shadow-free images that look as if theyve been exposed with the gentlest natural light you could imagine . ,"are_VB_N_0(look_VB_N_0(images_NNS_N_0),results_NNS_N_0)",[],[],[],
200,200,"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 ! ","CC(was_VB_N_0(replace_VB_N_0(mbyte+cf_NN_N_0,gives_VB_N_0(me_PRP_N_0,opposed_VB_N_0(images_NNS_N_0),mbyte+cf_NN_N_0)),did_VB_N_0(thing_NN_N_0,i_FW_N_0)),CC(is_VB_N_0(processing_VB_N_0(image+mode_NN_N_0(\X.shoot_VB_N_0(X),images_NNS_N_0,i_FW_N_0),comes_VB_N_0(it_PRP_N_0),software_NN_N_0),\X.X),is_VB_N_0(g3_NN_N_0(\X.have_VB_N_0(X),complaint_NN_N_0,i_FW_N_0),\X.X)))",[],[],[],software[-2]
201,201,"the canon software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image-affecting settings in the camera . ","has_VB_N_0(been_VB_N_0(camera_NN_N_0(imageaffecting_VB_N_0(settings_NNS_N_0),\X.processed_VB_N_0(X))),it_PRP_N_0,CC(image_NN_N_0,\X.X,image_NN_N_0),seq(images_NNS_N_0,canon+software_NN_N_0))",[],[],[],software[-2]
202,202,i believe this is enabled by a second file that comes out of the camera that stores all this information . ,"believe_VB_N_0(is_VB_N_0(seq(stores_NNS_N_0,information_NN_N_0,comes_VB_N_0(file_NN_N_0),\X.enabled_VB_N_0(X)),\X.X),i_LS_N_0)",[],[],[],
203,203,"maybe if you delete those files before you looked at them with the software , youd see the true , raw image that the camera actually produces . ","software_NN_N_0(looked_VB_N_0(them_PRP_N_0),you_PRP_N_0,delete_VB_N_0(files_NNS_N_0),you_PRP_N_0,see_VB_N_0(produces_VB_N_0(image_NN_N_0,camera_NN_N_0),youd_NN_N_0))",[],[],[],
204,204,i didnt wait to experiment . ,"didnt_FW_N_0(wait_VB_N_0(experiment_NN_N_0),i_FW_N_0)",[],[],[],
205,205,"instead , i bought the adobe photoshop camera raw plug-in . ","bought_VB_N_0(adobe_NN_N_0(photoshop_NN_N_0(seq(camera_NN_N_0,plugin_NN_N_0))),i_FW_N_0)",[],[],[],
206,206,what this plug-in reveals is the truly stunning quality of the raw g3 hardware . ,"is_VB_N_0(quality_NN_P_1,\X.reveals_VB_N_0(X,plugin_NN_N_0))",['quality_NN_P_1'],[1],['quality'],g3[+3]
207,207,"without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image ! ","seq(exposure_NN_P_1,tweaking_NN_N_0,CC(is_VB_N_0(image_NN_N_0,\X.X),colors_NNS_N_0))",['exposure_NN_P_1'],[1],['exposure'],color[+3]
208,208,the adobe camera raw plug-in shows once again that hardware is miles ahead of software . ,"shows_VB_N_0(is_VB_N_0(\X.X,hardware_NN_N_0),adobe_NN_N_0(seq(camera_NN_N_0,plugin_NN_N_0)))",[],[],[],"g3[+3],software[-2]"
209,209,what the g3 raw image software gives you is a fantasy world designed to please the uncritical . ,"is_VB_N_0(fantasy+world_NN_N_0,\X.gives_VB_N_0(you_PRP_N_0,X,seq(g3_NN_N_0,image+software_NN_N_0)))",[],[],[],software[-2]
210,210,"what the photoshop plug-in gives you is reality , and then if you want fantasy , you can use photoshop to create it . ","CC(want_VB_N_0(fantasy_NN_N_0,you_PRP_N_0,use_VB_N_0(photoshop_NN_N_0,create_VB_N_0(it_PRP_N_0),you_PRP_N_0)),is_VB_N_0(reality_NN_N_0,\X.gives_VB_N_0(you_PRP_N_0,X,photoshop+plugin_NN_N_0)))",[],[],[],
211,211,but at least youre starting with the most photorealistic images ive ever seen from a camera . ,"CC(seen_VB_N_0(camera_NN_N_0,youre_NN_N_0(starting_VB_N_0(images_NNS_N_0))))",[],[],[],image[+3]
212,212,"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits . ","CC(put_VB_N_0(seq(cameras_NNS_N_0,limitations_NNS_Ne_1)),am_VB_N_0(quality_NN_N_0(CC(\X.amazed_VB_P_1(X),stunned_JJ_P_1))),i_FW_N_0)",[],[],[],raw image[+3]
